"full_name","html_url","clone_url","default_branch","description","matched_frameworks","stars","forks","language","topics","open_issues","size_kb","created_at","updated_at","pushed_at","license","lifetime_days","test_file_count","test_function_count","llm_test_count","clone_status","contributors","total_commits","commits_per_month"
"Chainlit/chainlit","https://github.com/Chainlit/chainlit","https://github.com/Chainlit/chainlit.git","main","Build Conversational AI in minutes ⚡️","langchain","11950","1693","Python","chatgpt,langchain,llm,openai,openai-chatgpt,python,ui","104","12234","2023-03-14T16:54:04Z","2026-04-16T16:14:14Z","2026-04-09T23:51:41Z","Apache-2.0","1122","35","772","0","ok","","",""
"yichuan-w/LEANN","https://github.com/yichuan-w/LEANN","https://github.com/yichuan-w/LEANN.git","main","[MLsys2026]: RAG on Everything with LEANN. Enjoy 97% storage savings while running a fast, accurate, and 100% private RAG application on your personal device.","langchain","10818","949","Python","ai,faiss,gpt-oss,langchain,llama-index,llm,localstorage,offline-first,ollama,privacy,python,rag,retrieval-augmented-generation,vector-database,vector-search,vectors","59","82972","2025-06-09T06:52:59Z","2026-04-16T15:10:50Z","2026-04-16T10:30:36Z","MIT","311","34","320","0","ok","","",""
"microsoft/magentic-ui","https://github.com/microsoft/magentic-ui","https://github.com/microsoft/magentic-ui.git","main","A research prototype of a human-centered web agent","autogen","9773","973","Python","agents,ai,ai-ux,autogen,browser-use,computer-use-agent,cua,ui","82","52879","2025-05-05T20:24:30Z","2026-04-16T12:36:12Z","2026-04-15T17:43:12Z","MIT","344","7","55","0","ok","","",""
"Arize-ai/phoenix","https://github.com/Arize-ai/phoenix","https://github.com/Arize-ai/phoenix.git","main","AI Observability & Evaluation","langchain","9305","822","Python","agents,ai-monitoring,ai-observability,aiengineering,anthropic,datasets,evals,langchain,llamaindex,llm-eval,llm-evaluation,llmops,llms,openai,prompt-engineering,smolagents","530","463385","2022-11-09T23:44:35Z","2026-04-16T16:43:49Z","2026-04-16T16:45:57Z","NOASSERTION","1253","200","2526","271","ok","","",""
"zilliztech/GPTCache","https://github.com/zilliztech/GPTCache","https://github.com/zilliztech/GPTCache.git","main","Semantic cache for LLMs. Fully integrated with LangChain and llama_index. ","langchain","7981","574","Python","aigc,autogpt,babyagi,chatbot,chatgpt,chatgpt-api,dolly,gpt,langchain,llama,llama-index,llm,memcache,milvus,openai,redis,semantic-search,similarity-search,vector-search","88","23248","2023-03-24T05:51:16Z","2026-04-16T04:11:35Z","2025-07-11T09:04:36Z","MIT","840","70","159","0","ok","","",""
"2FastLabs/agent-squad","https://github.com/2FastLabs/agent-squad","https://github.com/2FastLabs/agent-squad.git","main","Flexible and powerful framework for managing multiple AI agents and handling complex conversations","agent-squad","7575","712","Python","agentic-ai,agents,ai-agents,ai-agents-framework,anthropic,anthropic-claude,aws,aws-bedrock,aws-cdk,aws-lambda,chatbot,framework,generative-ai,machine-learning,openai,openaiapi,orchestrator,python,serverless,typescript","94","68107","2024-07-23T12:48:30Z","2026-04-17T23:58:33Z","2026-04-17T14:41:54Z","Apache-2.0","633","23","282","0","ok","31","1168","55.36"
"guofei9987/scikit-opt","https://github.com/guofei9987/scikit-opt","https://github.com/guofei9987/scikit-opt.git","master","Genetic Algorithm, Particle Swarm Optimization, Simulated Annealing, Ant Colony Optimization Algorithm,Immune Algorithm, Artificial Fish Swarm Algorithm, Differential Evolution and TSP(Traveling salesman) ","swarms","6404","1094","Python","ant-colony-algorithm,artificial-intelligence,fish-swarms,genetic-algorithm,heuristic-algorithms,immune,immune-algorithm,optimization,particle-swarm-optimization,pso,simulated-annealing,travelling-salesman-problem,tsp","70","389","2017-12-05T10:20:41Z","2026-04-15T20:59:03Z","2026-03-25T09:12:13Z","MIT","3031","2","12","0","ok","24","345","3.41"
"langchain-ai/chat-langchain","https://github.com/langchain-ai/chat-langchain","https://github.com/langchain-ai/chat-langchain.git","master","","langchain","6303","1465","Python","","20","12670","2023-01-16T20:43:13Z","2026-04-17T14:13:36Z","2026-04-16T18:32:55Z","MIT","1185","6","27","0","ok","37","312","7.9"
"zenml-io/zenml","https://github.com/zenml-io/zenml","https://github.com/zenml-io/zenml.git","main","ZenML 🙏: One AI Platform from Pipelines to Agents. https://zenml.io.","agentops","5343","605","Python","agentops,agents,ai,automl,data-science,deep-learning,devops-tools,genai,llm,llmops,machine-learning,metadata-tracking,ml,mlops,pipelines,production-ready,pytorch,tensorflow,workflow,zenml","148","844315","2020-11-19T09:25:46Z","2026-04-17T22:49:03Z","2026-04-17T19:43:30Z","Apache-2.0","1975","249","1362","1","ok","129","8618","130.91"
"Gen-Verse/OpenClaw-RL","https://github.com/Gen-Verse/OpenClaw-RL","https://github.com/Gen-Verse/OpenClaw-RL.git","main","OpenClaw-RL: Train any agent simply by talking","any-agent","5021","531","Python","async,coding,grpo,gui-application,memory-systems,on-policy-distillation,open-claw,openclaw-skills,rlhf,sglang,skill-learning,slime,tinker","59","50460","2026-02-26T12:57:42Z","2026-04-18T03:11:39Z","2026-04-16T21:13:37Z","Apache-2.0","49","0","0","0","failed","10","217","132.86"
"xerrors/Yuxi","https://github.com/xerrors/Yuxi","https://github.com/xerrors/Yuxi.git","main","结合知识库管理的 多租户 Agent Harness 平台。 An agent harness that integrates a LightRAG knowledge base and knowledge graphs. Build with LangChain v1 + Vue + FastAPI, support DeepAgents、MinerU PDF、Neo4j 、MCP.","langchain","4938","682","Python","docker,fastapi,harness,kbqa,kgqa,llms,neo4j,rag,vue","76","44649","2024-07-05T10:57:35Z","2026-04-18T00:46:26Z","2026-04-16T07:30:29Z","MIT","649","54","308","0","ok","34","1763","81.49"
"argilla-io/argilla","https://github.com/argilla-io/argilla","https://github.com/argilla-io/argilla.git","develop","Argilla is a collaboration tool for AI engineers and domain experts to build high-quality datasets","langchain","4934","479","Python","active-learning,ai,annotation-tool,developer-tools,gpt-4,human-in-the-loop,langchain,llm,machine-learning,mlops,natural-language-processing,nlp,rlhf,text-annotation,text-labeling,weak-supervision,weakly-supervised-learning","25","809031","2021-04-28T14:37:42Z","2026-04-17T20:24:57Z","2026-04-13T21:51:33Z","Apache-2.0","1811","0","0","0","failed","110","3629","60.12"
"aipotheosis-labs/aci","https://github.com/aipotheosis-labs/aci","https://github.com/aipotheosis-labs/aci.git","main","ACI.dev is the open source tool-calling platform that hooks up 600+ tools into any agentic IDE or custom AI agent through direct function calling or a unified MCP server. The birthplace of VibeOps.","any-agent","4753","455","Python","agents,ai,ai-agents,api,developer-tools,function-calling,integration,llm,mcp,oauth2,open-source,permissions,tools,vibeops","54","20483","2024-09-19T15:06:53Z","2026-04-17T14:36:39Z","2026-01-08T15:35:45Z","Apache-2.0","476","44","158","0","ok","28","834","52.56"
"TencentCloudADP/youtu-agent","https://github.com/TencentCloudADP/youtu-agent","https://github.com/TencentCloudADP/youtu-agent.git","main","A simple yet powerful agent framework that delivers with open-source models","openai-agents","4512","464","Python","agent-framework,agents,openai-agents,python","57","34639","2025-08-21T07:58:13Z","2026-04-18T05:35:13Z","2026-03-21T07:18:28Z","NOASSERTION","211","53","146","3","ok","17","1225","174.17"
"ag2ai/ag2","https://github.com/ag2ai/ag2","https://github.com/ag2ai/ag2.git","main","AG2 (formerly AutoGen): The Open-Source AgentOS.Join us at: https://discord.gg/sNGSwQME3x","autogen","4415","590","Python","a2a,ag2,agent-framework,agentic,agentic-ai,ai,ai-agents-framework,aiagents,genai,llm,llms,mcp,multi-agent,multi-agent-system,open-source,python","247","3140587","2024-11-11T20:43:34Z","2026-04-18T04:03:29Z","2026-04-17T21:47:49Z","Apache-2.0","522","393","4720","97","ok","479","5077","291.78"
"JoshuaC215/agent-service-toolkit","https://github.com/JoshuaC215/agent-service-toolkit","https://github.com/JoshuaC215/agent-service-toolkit.git","main","Full toolkit for running an AI agent service built with LangGraph, FastAPI and Streamlit","langgraph","4195","694","Python","agents,langgraph,streamlit","20","2089","2024-08-04T23:13:44Z","2026-04-18T02:35:21Z","2026-03-07T04:50:42Z","MIT","579","20","126","0","ok","35","189","9.79"
"pydantic/logfire","https://github.com/pydantic/logfire","https://github.com/pydantic/logfire.git","main","AI observability platform for production LLM and agent systems.","pydantic-ai","4172","226","Python","agent-observability,ai,ai-observability,ai-tools,evals,fastapi,llm-observability,logging,metrics,observability,openai,opentelemetry,pydantic,pydantic-ai,python,trace","211","74279","2024-04-23T11:50:23Z","2026-04-17T13:50:53Z","2026-04-18T01:23:10Z","MIT","724","81","1310","62","ok","96","1718","71.19"
"LazyAGI/LazyLLM","https://github.com/LazyAGI/LazyLLM","https://github.com/LazyAGI/LazyLLM.git","main","Easiest and laziest way for  building multi-agent LLMs applications.","langchain","3802","380","Python","agents,ai-agent,data,deep-learning,documentation-tool,finetuning,framework,knowlege-graph,langchain,lazyllm,llamaindex,llm,llms,rag","42","21696","2024-06-04T05:01:45Z","2026-04-17T14:13:22Z","2026-04-17T14:13:16Z","Apache-2.0","682","107","1089","0","ok","44","949","41.74"
"langchain-ai/langchain-mcp-adapters","https://github.com/langchain-ai/langchain-mcp-adapters","https://github.com/langchain-ai/langchain-mcp-adapters.git","main","LangChain 🔌 MCP","langchain, langgraph","3488","411","Python","langchain,langgraph,mcp,python,tools","71","1427","2025-02-07T23:08:03Z","2026-04-17T10:42:33Z","2026-04-16T03:31:06Z","MIT","432","8","67","6","ok","27","159","11.04"
"truera/trulens","https://github.com/truera/trulens","https://github.com/truera/trulens.git","main","Evaluation and Tracking for LLM Experiments and AI Agents","agentops","3254","264","Python","agent-evaluation,agentops,ai-agents,ai-monitoring,ai-observability,evals,explainable-ml,llm-eval,llm-evaluation,llmops,llms,machine-learning,neural-networks","67","393166","2020-11-02T21:56:45Z","2026-04-17T23:50:16Z","2026-04-17T15:58:19Z","MIT","1991","104","664","31","ok","69","1706","25.71"
"pipeshub-ai/pipeshub-ai","https://github.com/pipeshub-ai/pipeshub-ai","https://github.com/pipeshub-ai/pipeshub-ai.git","main","PipesHub is a fully extensible and explainable workplace AI platform for enterprise search and workflow automation","langchain, langgraph","2810","444","Python","agent,agents,ai,drive,glean,gmail,knowledge-graph,langchain,langgraph,llamaparse,notion,ollama,perplexity,python,rag,slack","95","39924","2025-03-06T18:51:10Z","2026-04-17T19:25:01Z","2026-04-17T19:24:56Z","Apache-2.0","407","482","36909","23","ok","40","1812","133.56"
"minitap-ai/mobile-use","https://github.com/minitap-ai/mobile-use","https://github.com/minitap-ai/mobile-use.git","main","AI agents can now use real Android and iOS apps, just like a human.","langchain, langgraph","2443","206","Python","agents,ai,browser-use,langchain,langgraph,langgraph-python,mobile,mobile-use,python,qa","11","23651","2025-08-16T21:49:49Z","2026-04-17T19:20:32Z","2026-03-23T16:22:49Z","Apache-2.0","218","5","25","0","ok","14","864","118.9"
"sagemath/sage","https://github.com/sagemath/sage","https://github.com/sagemath/sage.git","develop","Main repository of SageMath","sage","2334","843","Python","","5703","464546","2012-06-08T10:11:02Z","2026-04-17T15:26:47Z","2026-04-12T10:53:31Z","NOASSERTION","5056","16","40","0","ok","1594","138603","822.41"
"aws/sagemaker-python-sdk","https://github.com/aws/sagemaker-python-sdk","https://github.com/aws/sagemaker-python-sdk.git","master","A library for training and deploying machine learning models on Amazon SageMaker","sage","2239","1244","Python","aws,huggingface,machine-learning,mxnet,python,pytorch,sagemaker,tensorflow","397","175301","2017-11-14T01:03:33Z","2026-04-17T21:52:17Z","2026-04-17T20:54:48Z","Apache-2.0","3076","389","6762","45","ok","505","4297","41.91"
"PurpleAILAB/Decepticon","https://github.com/PurpleAILAB/Decepticon","https://github.com/PurpleAILAB/Decepticon.git","main","Autonomous Hacking Agent for Red Team Testing","langchain, langgraph","2177","379","Python","agent,ai,cybersecurity,generative-ai,hacking,langchain,langgraph,llm,pentest,pentesting","4","293769","2025-06-06T12:55:02Z","2026-04-18T05:22:16Z","2026-04-17T20:04:28Z","Apache-2.0","315","47","519","0","ok","5","134","12.76"
"OpenDCAI/Paper2Any","https://github.com/OpenDCAI/Paper2Any","https://github.com/OpenDCAI/Paper2Any.git","main","Turn paper/text/topic into editable research figures, technical route diagrams, and presentation slides.","langgraph","2158","149","Python","agent,ai,aippt,editable-pptx,langgraph,paper2slides,ppt-generator","12","429705","2025-10-17T03:33:30Z","2026-04-18T03:25:52Z","2026-04-15T11:19:26Z","Apache-2.0","180","21","63","0","ok","14","713","118.83"
"nickstenning/honcho","https://github.com/nickstenning/honcho","https://github.com/nickstenning/honcho.git","main","Honcho: a python clone of Foreman. For managing Procfile-based applications.","honcho","1697","147","Python","devtools,operations,python","25","414","2012-03-13T13:44:30Z","2026-04-17T12:55:46Z","2025-06-03T17:22:10Z","MIT","4830","17","104","0","ok","49","417","2.59"
"doobidoo/mcp-memory-service","https://github.com/doobidoo/mcp-memory-service","https://github.com/doobidoo/mcp-memory-service.git","main","Open-source persistent memory for AI agent pipelines (LangGraph, CrewAI, AutoGen) and Claude. REST API + knowledge graph + autonomous consolidation.","autogen, crewai, langgraph","1685","254","Python","agent-memory,agentic-ai,ai-agents,autogen,claude,crewai,knowledge-graph,langgraph,long-term-memory,mcp,mcp-server,memory,model-context-protocol,multi-agent,open-source,rag,semantic-search,sqlite-vec,vector-database,vector-storage","8","25851","2024-12-26T10:15:44Z","2026-04-17T20:54:52Z","2026-04-17T20:52:20Z","Apache-2.0","477","142","1691","0","ok","56","2459","154.65"
"langchain-ai/langgraph-supervisor-py","https://github.com/langchain-ai/langgraph-supervisor-py","https://github.com/langchain-ai/langgraph-supervisor-py.git","main","","langgraph","1555","237","Python","","54","1061","2025-02-05T20:56:08Z","2026-04-17T13:14:20Z","2026-04-14T01:37:18Z","MIT","432","3","11","0","ok","17","125","8.68"
"enoch3712/ExtractThinker","https://github.com/enoch3712/ExtractThinker","https://github.com/enoch3712/ExtractThinker.git","main","ExtractThinker is a Document Intelligence library for LLMs, offering ORM-style interaction for flexible and powerful document workflows.","langchain","1530","152","Python","ai,document-image-analysis,document-intelligence,document-parsing,document-processing,langchain,llm,machine-learning,nlp,ocr,openai,pdf,pdf-to-text,python","34","21518","2024-02-01T17:23:31Z","2026-04-17T23:34:01Z","2025-08-27T23:06:09Z","Apache-2.0","573","27","226","4","ok","7","463","24.24"
"langchain-ai/langgraph-swarm-py","https://github.com/langchain-ai/langgraph-swarm-py","https://github.com/langchain-ai/langgraph-swarm-py.git","main","For your multi-agent needs","langgraph","1469","205","Python","agents,langgraph,llms,multiagent,multiagent-systems,python","21","1205","2025-02-19T15:50:25Z","2026-04-17T14:20:25Z","2026-04-14T02:43:28Z","MIT","418","2","3","0","ok","10","53","3.8"
"chopratejas/headroom","https://github.com/chopratejas/headroom","https://github.com/chopratejas/headroom.git","main","The Context Optimization Layer for LLM Applications","langchain","1406","120","Python","agent,ai,anthropic,compression,context-engineering,context-window,fastapi,langchain,llm,mcp,openai,proxy,python,rag,token-optimization","57","40122","2026-01-07T19:58:51Z","2026-04-18T05:05:04Z","2026-04-17T19:34:11Z","Apache-2.0","99","199","4294","33","ok","22","663","200.91"
"SalesforceAIResearch/enterprise-deep-research","https://github.com/SalesforceAIResearch/enterprise-deep-research","https://github.com/SalesforceAIResearch/enterprise-deep-research.git","main","Salesforce Enterprise Deep Research","langchain","1155","180","Python","deep-research-agent,e2b,fastapi,langchain,llm-benchmarking,multi-agent-systems,react,tailwindcss,tavily","4","5587","2025-09-16T17:27:44Z","2026-04-17T15:42:35Z","2026-01-30T17:35:41Z","Apache-2.0","136","9","10","0","ok","5","36","7.94"
"bowang-lab/MedRAX","https://github.com/bowang-lab/MedRAX","https://github.com/bowang-lab/MedRAX.git","main","MedRAX: Medical Reasoning Agent for Chest X-ray - ICML 2025","langchain","1129","198","Python","agent,agentic-ai,agentic-framework,chest-xray,chest-xrays,healthcare,langchain,medical,medical-imaging,reasoning-agent","3","81981","2025-02-06T15:51:23Z","2026-04-16T16:46:50Z","2025-10-31T00:31:34Z","Apache-2.0","266","1","0","0","ok","5","74","8.35"
"hinthornw/trustcall","https://github.com/hinthornw/trustcall","https://github.com/hinthornw/trustcall.git","main","Tenacious tool calling built on LangGraph","langgraph","1051","84","Python","","36","2643","2024-06-25T05:57:42Z","2026-04-16T09:16:43Z","2025-07-17T20:57:10Z","MIT","387","4","15","0","ok","6","46","3.57"
"vstorm-co/full-stack-ai-agent-template","https://github.com/vstorm-co/full-stack-ai-agent-template","https://github.com/vstorm-co/full-stack-ai-agent-template.git","main","Full-stack AI app generator — FastAPI + Next.js with agents, RAG, streaming, auth, and 20+ integrations out of the box.","crewai, langgraph, pydantic-ai","1045","199","Python","agent-framework,ai-agent-template,ai-agents,crewai,docker,fastapi,full-stack,langchain,langgraph,llm,nextjs,postgresql,pydantic-ai,pydantic-deep,python,rag,react,typescript,vstorm,websocket","5","36600","2025-12-19T12:23:15Z","2026-04-18T04:34:04Z","2026-04-14T17:51:19Z","MIT","116","28","390","0","ok","5","260","67.24"
"JudgmentLabs/judgeval","https://github.com/JudgmentLabs/judgeval","https://github.com/JudgmentLabs/judgeval.git","main","The open source post-building layer for agents. Our environment data and evals power agent post-training (RL, SFT) and monitoring.","langgraph","1019","90","Python","agent,agentic-ai,agents,grpo,langchain,langgraph,llama-index,llm,llm-evaluation,llm-observability,open-source,openai,prompt-engineering,reinforcement-learning,rl","17","230199","2024-10-25T04:49:15Z","2026-04-17T20:56:53Z","2026-04-13T00:48:30Z","Apache-2.0","534","43","546","8","ok","27","1745","98.03"
"BytedTsinghua-SIA/MemAgent","https://github.com/BytedTsinghua-SIA/MemAgent","https://github.com/BytedTsinghua-SIA/MemAgent.git","main","A MemAgent framework that can be extrapolated to 3.5M, along with a training framework for RL training of any agent workflow.","any-agent","1003","69","Python","","17","10774","2025-06-24T15:38:43Z","2026-04-18T05:24:36Z","2025-07-31T09:06:59Z","Apache-2.0","36","33","62","5","ok","4","14","11.67"
"test-zeus-ai/testzeus-hercules","https://github.com/test-zeus-ai/testzeus-hercules","https://github.com/test-zeus-ai/testzeus-hercules.git","main","Hercules is the world’s first open-source testing agent, enabling UI, API, Security, Accessibility, and Visual validations – all without code or maintenance. Automate testing effortlessly and let Hercules handle the heavy lifting! ⚡","autogen","980","150","Python","agent,agentic-ai,agents,ai,autogen,automation,browser,end-to-end-testing,hercules,large-action-model,playwright,qa-automation,rpa,software-testing,test-automation,testing,testing-tools,testzeus","29","18651","2024-11-14T21:19:10Z","2026-04-17T23:56:05Z","2026-04-16T06:43:42Z","AGPL-3.0","517","3","9","0","ok","14","327","18.97"
"Arize-ai/openinference","https://github.com/Arize-ai/openinference","https://github.com/Arize-ai/openinference.git","main","OpenTelemetry Instrumentation for AI Observability","openai-agents, pydantic-ai","924","214","Python","aiops,gemini,hacktoberfest,haystack,langchain,langraph,llamaindex,llmops,llms,mcp,openai,openai-agents,opentelemetry,pydantic-ai,smolagents,telemetry,tracing,vercel,vertex","207","17838","2023-12-26T17:33:58Z","2026-04-17T23:41:05Z","2026-04-17T18:24:52Z","Apache-2.0","843","0","0","0","failed","91","1782","63.42"
"zamalali/DeepGit","https://github.com/zamalali/DeepGit","https://github.com/zamalali/DeepGit.git","main","Deep research agent to help you find the best GitHub repositories 🕵️!","langchain, langgraph","866","90","Python","agent,deep-research,github-search,langchain,langgraph,llm,nlp,open-source,python,seq2seq,transformers","6","5955","2024-12-16T04:43:10Z","2026-04-12T01:10:06Z","2026-04-08T06:14:08Z","","478","11","35","0","ok","5","96","6.03"
"ginlix-ai/LangAlpha","https://github.com/ginlix-ai/LangAlpha","https://github.com/ginlix-ai/LangAlpha.git","main","Claude Code for Finance","langchain","819","115","Python","agent,investment,langchain,langraph,llm,mcp,skills,trading","5","30233","2026-01-18T02:31:54Z","2026-04-18T03:40:57Z","2026-04-18T03:40:53Z","Apache-2.0","90","182","3075","1","ok","7","1165","388.33"
"cryxnet/DeepMCPAgent","https://github.com/cryxnet/DeepMCPAgent","https://github.com/cryxnet/DeepMCPAgent.git","main","Model-agnostic plug-n-play LangChain/LangGraph agents powered entirely by MCP tools over HTTP/SSE.","langchain, langgraph","812","127","Python","agent-framework,agentic-ai,agents,ai,ai-agents,ai-framework,artificial-intelligence,autonomous-agents,deep-agents,developer-tools,langchain,langgraph,llm-agents,mcp,opensource-agents,python,react-agents","4","210","2025-08-29T13:49:43Z","2026-04-14T19:20:29Z","2025-10-18T13:02:42Z","Apache-2.0","49","4","6","0","ok","2","59","36.12"
"aegra/aegra","https://github.com/aegra/aegra","https://github.com/aegra/aegra.git","main","Open source alternative to LangGraph Platform (now LangSmith Deployments) - Self-hosted AI agent backend with FastAPI and PostgreSQL. Zero vendor lock-in, full control over your agent infrastructure.","langchain, langgraph","805","154","Python","fastapi,langchain,langggraph,langgraph-agents,langgraph-platform-alternative,opensource-langgraph-platform,postgres,python","37","3640","2025-07-20T20:31:23Z","2026-04-18T02:50:35Z","2026-04-15T20:45:27Z","Apache-2.0","269","114","1438","0","ok","27","761","84.87"
"danny-avila/rag_api","https://github.com/danny-avila/rag_api","https://github.com/danny-avila/rag_api.git","main","ID-based RAG FastAPI: Integration with Langchain and PostgreSQL/pgvector","langchain","789","350","Python","api,api-rest,embeddings,fastapi,langchain,pgvector,postgresql,psql,python,rag,vector,vector-database","39","29773","2024-03-17T12:20:35Z","2026-04-17T13:55:24Z","2026-04-17T11:59:23Z","MIT","760","15","146","7","ok","35","111","4.38"
"qx-labs/agents-deep-research","https://github.com/qx-labs/agents-deep-research","https://github.com/qx-labs/agents-deep-research.git","main","An implementation of iterative deep research using the OpenAI Agents SDK","openai-agents","753","87","Python","agentic-ai,agents,deep-research,deepresearch,llms,openai","12","184","2025-03-18T19:00:49Z","2026-04-11T06:02:41Z","2025-12-27T02:02:57Z","Apache-2.0","283","5","12","0","ok","6","53","5.62"
