full_name,bucket,matched_frameworks,stars,py_files,test_files,http_llm_files,cli_llm_files,zero_invoker_reason,in_scope,description
biocore/gemelli,no evidence found yet - needs a look,notte,87,46,16,0,0,framework_never_imported,,"Gemelli is a tool box for running Robust Aitchison PCA (RPCA), Joint Robust Aitchison PCA (Joint-RPCA), TEMPoral TEnsor Decomposition (TEMPTED), and Compositional Tensor Factorization (CTF) on sparse "
globocom/GloboNetworkAPI,no evidence found yet - needs a look,notte,87,1016,143,0,0,framework_never_imported,,"API to automate IP Networking management, resource allocation and provisioning."
Linaro/lava,no evidence found yet - needs a look,notte,79,560,127,0,0,framework_never_imported,,Read only mirror https://gitlab.com/lava/lava
EnVision-Research/DualCamCtrl,no evidence found yet - needs a look,omnigent,75,264,5,0,0,framework_never_imported,,[ECCV 2026] DualCamCtrl: Dual-Branch Diffusion Model for Geometry-Aware Camera-Controlled Video Generation
tejoesperanto/pasportaservo,no evidence found yet - needs a look,camel,71,316,59,0,0,framework_never_imported,,La fontkodo de Pasporta Servo
xiaomi-research/drivelaw,no evidence found yet - needs a look,omnigent,71,1687,327,0,0,framework_never_imported,,[CVPR2026] DriveLaW: Unifying Planning and Video Generation in a Latent Driving World
KOSASIH/nexus-revoluter,no evidence found yet - needs a look,swarms,62,309,62,0,0,framework_never_imported,,"Nexus Revoluter is a blockchain node application that enables decentralized transactions and smart contract execution. With a modular design, it offers a robust API for integration, advanced consensus"
qiboteam/qibolab,no evidence found yet - needs a look,dynamiq,59,175,34,0,0,framework_never_imported,,Quantum hardware module and drivers for Qibo.
eavanvalkenburg/pysiaalarm,no evidence found yet - needs a look,sia,55,35,5,0,0,framework_never_imported,,A python package to connect to a SIA DC-09 based alarm system.
TUM-AVS/target-bench,no evidence found yet - needs a look,omnigent,52,174,0,0,0,framework_never_imported,,[ECCV'26] Official repo for Target-Bench: Can World Models Achieve Mapless Path Planning with Semantic Targets?
muyouzhi6/Astrbot-desktop-assistant,no evidence found yet - needs a look,astrbot,52,67,10,0,0,framework_never_imported,,AstrBot 桌面助手客户端 (Desktop Client) - 提供可拖拽的悬浮球界面、多模态对话窗口、桌面感知和主动对话功能，让bot参与你的工作与生活。
JouleCai/geospacelab,no evidence found yet - needs a look,swarm,48,489,30,0,0,framework_never_imported,,"A python-based library to collect, manage, and visualize geospace data (e.g. OMNI, geomagnetic indices, EISCAT, DMSP, SWARM, TEC, AMPERE, etc.). "
cvlab-kaist/APPLE,no evidence found yet - needs a look,omnigent,42,3342,550,0,0,framework_never_imported,,"Official implementation of ""🍎APPLE: Attribute-Preserving Pseudo-Labeling for Diffusion-Based Face Swapping"""
OuyangWenyu/hydrodataset,no evidence found yet - needs a look,camel,41,47,1,0,0,framework_never_imported,,Datasets downloader and reader for Hydrologic Modeling
yazmolod/pynspd,no evidence found yet - needs a look,camel,38,42,15,0,0,framework_never_imported,,Python-библиотека для работы с https://nspd.gov.ru (ex-ПКК)
gip-inclusion/les-emplois,no evidence found yet - needs a look,sia,37,1376,273,0,0,framework_never_imported,,Plate-forme numérique de l'inclusion
360CVGroup/FLUX-Makeup,no evidence found yet - needs a look,omnigent,35,1261,25,0,0,framework_never_imported,,"Transfer face makeup with high fidelity, SoTA and production-ready"
MingXiangL/Teacache-xDiT,no evidence found yet - needs a look,omnigent,33,1603,378,0,0,framework_never_imported,,Combining Teacache with xDiT to Accelerate Visual Generation Models
PyUtilib/pyutilib,no evidence found yet - needs a look,notte,33,229,36,0,0,framework_never_imported,,"A collection of general Python utilities, including logging and file IO, subprocess management, plugin systems, and workflow management."
checkmarx-ts/checkmarx-python-sdk,no evidence found yet - needs a look,camel,31,912,102,0,0,framework_never_imported,,Checkmarx Python SDK
zscaler/zscaler-sdk-python,no evidence found yet - needs a look,camel,29,1009,270,0,0,framework_never_imported,,Official Zscaler SDK Python provides an uniform and easy-to-use interface for each of the Zscaler product APIs.
OuyangWenyu/torchhydro,no evidence found yet - needs a look,camel,27,100,31,0,0,framework_never_imported,,"TorchHydro: datasets, and models for watershed hydrological modeling"
dkweiss31/qontrol,no evidence found yet - needs a look,dynamiq,27,16,2,0,0,framework_never_imported,,"Quantum optimal control based on dynamiqs, diffrax and JAX"
altescy/colt,no evidence found yet - needs a look,camel,26,46,18,0,0,framework_never_imported,,"🐎 Colt: Effortlessly configure and construct Python objects with colt, a lightweight library inspired by AllenNLP and Tango"
aws-controllers-k8s/test-infra,no evidence found yet - needs a look,mem0,26,74,1,0,0,framework_never_imported,,Testing infrastructure and frameworks for ACK
singer-io/target-stitch,no evidence found yet - needs a look,notte,26,7,1,0,0,framework_never_imported,,A Singer.io Target for the Stitch Import API
linux-netdev/nipa,no evidence found yet - needs a look,patchwork,25,88,7,0,0,framework_never_imported,,Netdev Infrastructure for Patch Automation
underworldcode/underworld3,no evidence found yet - needs a look,swarm,24,667,201,0,0,framework_never_imported,,Underworld v3
infobip-community/infobip-api-python-sdk,no evidence found yet - needs a look,camel,19,309,111,0,0,framework_never_imported,,Python SDK for Infobip's API
JuDFTteam/masci-tools,no evidence found yet - needs a look,camel,18,153,46,0,0,framework_never_imported,,Post-processing toolkit for electronic structure calculations
1170300714/Local-DPO,no evidence found yet - needs a look,omnigent,16,1508,351,0,0,framework_never_imported,,Official implementation of Local DPO (CVPR 2026)
edraj/dmart,no evidence found yet - needs a look,camel,15,165,28,0,0,framework_never_imported,,Headless information management system 
sr-857/AstraGuard-AI-Apertre-3.0,no evidence found yet - needs a look,swarms,14,532,164,0,0,framework_never_imported,, 🚀 Autonomous Fault Detection & Recovery System for CubeSats | 🤖 Real-Time Telemetry Simulation • 🛰️ Anomaly Detection • 🔧 State Machine • 📊 Streamlit Dashboard • 🎥 3D Attitude Visualizer
AdventurePilotDev/AdventurePilot,no evidence found yet - needs a look,agno,13,1091,158,0,0,framework_never_imported,,
hasanmehediii/CSE-2216-Project,no evidence found yet - needs a look,agno,13,17,0,0,0,framework_never_imported,,"LangMastero, A Simple designed language learning app for beginners. If you want to learn basics of a language like Spanish or Chinese, can try this app. Also can test your progress with exams"
4teamwork/opengever.core,no evidence found yet - needs a look,patchwork,12,3924,924,0,0,framework_never_imported,,OneGov GEVER core package
debnet/common-framework,no evidence found yet - needs a look,camel,11,52,2,0,0,framework_never_imported,,Framework Django Commun
dhruv-ahuja/backend_burger,no evidence found yet - needs a look,agno,10,52,4,0,0,framework_never_imported,,Demo application to learn and solidify my knowledge of backend and infra; now extending to be a practical project
psi-oss/get-physics-done,shells out to an LLM CLI,clai,847,778,478,0,7,framework_never_imported,,"The first open-source agentic AI physicist, by Physical Superintelligence PBC (PSI)."
RBVI/ChimeraX,shells out to an LLM CLI,camel,259,1359,39,0,1,framework_never_imported,,Source code for molecular graphics program UCSF ChimeraX
Stage-11-Agentics/lattice,shells out to an LLM CLI,clai,39,162,77,0,15,framework_never_imported,,task tracking. upgraded for the agent-native era. event-sourced. file-based. for minds that think in tokens and act in tool calls.
