"category","full_name","github_url","matched_frameworks","frameworks_imported","zero_invoker_reason","stars","py_files","test_files","http_llm_files","cli_llm_files","total_functions","invokers_direct","nd_tests","description"
"2. plugin for a framework (host makes the call)","FlanChanXwO/astrbot_plugin_setu","https://github.com/FlanChanXwO/astrbot_plugin_setu","astrbot","astrbot","plugin","13","99","25","0","0","783","0","0","色图插件，支持接入不同的API中 (lolicon, sexyan等），也可以指定自己的自定义API"
"2. plugin for a framework (host makes the call)","1-20182/astrbot_plugin_phigros","https://github.com/1-20182/astrbot_plugin_phigros","astrbot","astrbot","plugin","11","53","13","0","0","483","0","0","Phigros 音游数据查询插件，支持查询玩家存档、RKS历史、排行榜、歌曲搜索和新曲速递"
"3. imports no tracked framework","getmoto/moto","https://github.com/getmoto/moto","camel","","framework_never_imported","8555","2552","860","0","0","28451","0","0","A library that allows you to easily mock out tests based on AWS infrastructure."
"3. imports no tracked framework","rasbt/mlxtend","https://github.com/rasbt/mlxtend","notte","","framework_never_imported","5152","212","85","0","0","1189","0","0","A library of extension and helper modules for Python's data analysis and machine learning libraries."
"3. imports no tracked framework","Pylons/pyramid","https://github.com/Pylons/pyramid","notte","","framework_never_imported","4086","552","98","0","0","5360","0","0","Pyramid - A Python web framework"
"3. imports no tracked framework","camelot-dev/camelot","https://github.com/camelot-dev/camelot","camel","","framework_never_imported","3767","63","29","0","0","749","0","0","A Python library to extract tabular data from PDFs"
"3. imports no tracked framework","elevenlabs/elevenlabs-python","https://github.com/elevenlabs/elevenlabs-python","patchwork","","framework_never_imported","3014","2425","38","0","0","3448","0","0","The official Python SDK for the ElevenLabs API."
"3. imports no tracked framework","mongodb/motor","https://github.com/mongodb/motor","agno","","framework_never_imported","2530","76","37","0","0","880","0","0","Motor - the async Python driver for MongoDB and Tornado or asyncio"
"3. imports no tracked framework","uriyyo/fastapi-pagination","https://github.com/uriyyo/fastapi-pagination","agno","","framework_never_imported","1670","95","27","0","0","563","0","0","FastAPI pagination 📖"
"3. imports no tracked framework","NVIDIA/NVFlare","https://github.com/NVIDIA/NVFlare","swarms","","framework_never_imported","942","2858","506","0","0","23370","0","0","NVIDIA Federated Learning Application Runtime Environment"
"3. imports no tracked framework","logamee/lin-cms-flask","https://github.com/logamee/lin-cms-flask","camel","","framework_never_imported","841","104","3","0","0","380","0","0","🎀A simple and practical CMS implememted by Flask"
"3. imports no tracked framework","yt-project/yt","https://github.com/yt-project/yt","notte","","framework_never_imported","556","899","218","0","0","5870","0","0","Main yt repository"
"3. imports no tracked framework","cevoaustralia/aws-google-auth","https://github.com/cevoaustralia/aws-google-auth","notte","","framework_never_imported","550","19","10","0","0","181","0","0","Provides AWS STS credentials based on Google Apps SAML SSO auth (what a jumble!)"
"3. imports no tracked framework","adafruit/Adafruit_Blinka","https://github.com/adafruit/Adafruit_Blinka","agno","","framework_never_imported","534","446","5","0","0","857","0","0","Add CircuitPython hardware API and libraries to MicroPython & CPython devices"
"3. imports no tracked framework","frostming/marko","https://github.com/frostming/marko","camel","","framework_never_imported","460","36","6","0","0","438","0","0","A markdown parser with high extensibility."
"3. imports no tracked framework","aliyun/aliyun-odps-python-sdk","https://github.com/aliyun/aliyun-odps-python-sdk","camel","","framework_never_imported","449","511","130","0","0","6885","0","0","ODPS Python SDK and data analysis framework"
"3. imports no tracked framework","Kotti/Kotti","https://github.com/Kotti/Kotti","camel","","framework_never_imported","410","77","30","0","0","970","0","0","Kotti is a high-level, Pythonic web application framework based on Pyramid and SQLAlchemy. It includes an extensible Content Management System called the Kotti CMS."
"3. imports no tracked framework","koldakov/futuramaapi","https://github.com/koldakov/futuramaapi","camel","","framework_never_imported","403","187","10","0","0","396","0","0","Futurama inspired REST and GraphQL API, blending characters exploration with real-time updates. Tech playground featuring FastAPI, Docker, and more!"
"3. imports no tracked framework","ansible-collections/amazon.aws","https://github.com/ansible-collections/amazon.aws","camel","","framework_never_imported","388","471","189","0","0","4123","0","0","Ansible Collection for Amazon AWS"
"3. imports no tracked framework","dynamiqs/dynamiqs","https://github.com/dynamiqs/dynamiqs","dynamiq","","framework_never_imported","299","139","44","0","0","1405","0","0","High-performance quantum systems simulation with JAX (GPU-accelerated & differentiable solvers)."
"3. imports no tracked framework","sonic-net/sonic-mgmt","https://github.com/sonic-net/sonic-mgmt","headroom","","imports_fw_no_call_site","263","2151","836","0","0","24269","0","0","Configuration management examples for SONiC"
"3. imports no tracked framework","MaxApiTeam/PyMax","https://github.com/MaxApiTeam/PyMax","camel","","framework_never_imported","214","176","18","0","0","794","0","0","Асинхронный Python-враппер для работы с внутренним API MAX Manager (Userbot). Упрощает автоматизацию и интеграцию."
"3. imports no tracked framework","Leggin/dirigera","https://github.com/Leggin/dirigera","camel","","framework_never_imported","210","37","13","0","0","188","0","0","This repository provides an unofficial Python client for controlling the IKEA Dirigera Smart Home Hub."
"3. imports no tracked framework","ansible-collections/community.aws","https://github.com/ansible-collections/community.aws","camel","","framework_never_imported","202","197","19","0","0","1459","0","0","Ansible Collection for Community AWS"
"3. imports no tracked framework","pk-hack/CoilSnake","https://github.com/pk-hack/CoilSnake","notte","","framework_never_imported","200","131","20","0","0","1132","0","0",""
"3. imports no tracked framework","volcengine/volcengine-python-sdk","https://github.com/volcengine/volcengine-python-sdk","graphrag, mem0","","framework_never_imported","175","25941","14","0","0","273214","0","0",""
"3. imports no tracked framework","SilvioBaratto/optimizer","https://github.com/SilvioBaratto/optimizer","camel","","framework_never_imported","168","996","416","0","0","10700","0","0","Quantitative portfolio construction and optimization platform built on skfolio and scikit-learn."
"3. imports no tracked framework","accelero-cloud/appkernel","https://github.com/accelero-cloud/appkernel","agno","","framework_never_imported","163","52","27","0","0","1159","0","0","API development made easy: a smart Python 3 API framework"
"3. imports no tracked framework","blue-marble/gridpath","https://github.com/blue-marble/gridpath","headroom","","framework_never_imported","134","949","296","0","0","3643","0","0","A versatile simulation and optimization platform for power-system planning and operations."
"3. imports no tracked framework","mricon/b4","https://github.com/mricon/b4","patchwork","","framework_never_imported","134","62","27","0","0","2851","0","0","Tool to help with email-based patch workflows"
"3. imports no tracked framework","HALFpipe/HALFpipe","https://github.com/HALFpipe/HALFpipe","camel","","framework_never_imported","126","452","79","0","0","1907","0","0","ENIGMA HALFpipe is a user-friendly software that facilitates reproducible analysis of fMRI data"
"3. imports no tracked framework","BluePilotDev/bluepilot","https://github.com/BluePilotDev/bluepilot","agno","","framework_never_imported","124","1283","165","0","0","8353","0","0",""
"3. imports no tracked framework","Netflix-Skunkworks/service-capacity-modeling","https://github.com/Netflix-Skunkworks/service-capacity-modeling","headroom","","framework_never_imported","92","109","53","0","0","1077","0","0",""
"3. imports no tracked framework","opencord/voltha","https://github.com/opencord/voltha","notte","","framework_never_imported","89","640","90","0","0","15686","0","0","Virtual OLT Hardware Abstraction"
"3. imports no tracked framework","globocom/GloboNetworkAPI","https://github.com/globocom/GloboNetworkAPI","notte","","framework_never_imported","87","1016","143","0","0","4841","0","0","API to automate IP Networking management, resource allocation and provisioning."
"3. imports no tracked framework","biocore/gemelli","https://github.com/biocore/gemelli","notte","","framework_never_imported","87","46","16","0","0","245","0","0","Gemelli is a tool box for running Robust Aitchison PCA (RPCA), Joint Robust Aitchison PCA (Joint-RPCA), TEMPoral TEnsor Decomposition (TEMPTED), and Compositional Tensor Factorization (CTF) on sparse"
"3. imports no tracked framework","Linaro/lava","https://github.com/Linaro/lava","notte","","framework_never_imported","79","560","127","0","0","4830","0","0","Read only mirror https://gitlab.com/lava/lava"
"3. imports no tracked framework","tejoesperanto/pasportaservo","https://github.com/tejoesperanto/pasportaservo","camel","","framework_never_imported","71","316","59","0","0","2021","0","0","La fontkodo de Pasporta Servo"
"3. imports no tracked framework","KOSASIH/nexus-revoluter","https://github.com/KOSASIH/nexus-revoluter","swarms","","framework_never_imported","62","309","62","0","0","1960","0","0","Nexus Revoluter is a blockchain node application that enables decentralized transactions and smart contract execution. With a modular design, it offers a robust API for integration, advanced consensus"
"3. imports no tracked framework","qiboteam/qibolab","https://github.com/qiboteam/qibolab","dynamiq","","framework_never_imported","59","175","34","0","0","953","0","0","Quantum hardware module and drivers for Qibo."
"3. imports no tracked framework","muyouzhi6/Astrbot-desktop-assistant","https://github.com/muyouzhi6/Astrbot-desktop-assistant","astrbot","","framework_never_imported","52","67","10","0","0","1126","0","0","AstrBot 桌面助手客户端 (Desktop Client) - 提供可拖拽的悬浮球界面、多模态对话窗口、桌面感知和主动对话功能，让bot参与你的工作与生活。"
"3. imports no tracked framework","JouleCai/geospacelab","https://github.com/JouleCai/geospacelab","swarm","","framework_never_imported","48","489","30","0","0","1915","0","0","A python-based library to collect, manage, and visualize geospace data (e.g. OMNI, geomagnetic indices, EISCAT, DMSP, SWARM, TEC, AMPERE, etc.)."
"3. imports no tracked framework","OuyangWenyu/hydrodataset","https://github.com/OuyangWenyu/hydrodataset","camel","","framework_never_imported","41","47","1","0","0","401","0","0","Datasets downloader and reader for Hydrologic Modeling"
"3. imports no tracked framework","yazmolod/pynspd","https://github.com/yazmolod/pynspd","camel","","framework_never_imported","38","42","15","0","0","262","0","0","Python-библиотека для работы с https://nspd.gov.ru (ex-ПКК)"
"3. imports no tracked framework","PyUtilib/pyutilib","https://github.com/PyUtilib/pyutilib","notte","","framework_never_imported","33","229","36","0","0","1531","0","0","A collection of general Python utilities, including logging and file IO, subprocess management, plugin systems, and workflow management."
"3. imports no tracked framework","checkmarx-ts/checkmarx-python-sdk","https://github.com/checkmarx-ts/checkmarx-python-sdk","camel","","framework_never_imported","31","912","102","0","0","3846","0","0","Checkmarx Python SDK"
"3. imports no tracked framework","zscaler/zscaler-sdk-python","https://github.com/zscaler/zscaler-sdk-python","camel","","framework_never_imported","29","1009","270","0","0","6039","0","0","Official Zscaler SDK Python provides an uniform and easy-to-use interface for each of the Zscaler product APIs."
"3. imports no tracked framework","OuyangWenyu/torchhydro","https://github.com/OuyangWenyu/torchhydro","camel","","framework_never_imported","27","100","31","0","0","754","0","0","TorchHydro: datasets, and models for watershed hydrological modeling"
"3. imports no tracked framework","dkweiss31/qontrol","https://github.com/dkweiss31/qontrol","dynamiq","","framework_never_imported","27","16","2","0","0","87","0","0","Quantum optimal control based on dynamiqs, diffrax and JAX"
"3. imports no tracked framework","altescy/colt","https://github.com/altescy/colt","camel","","framework_never_imported","26","46","18","0","0","203","0","0","🐎 Colt: Effortlessly configure and construct Python objects with colt, a lightweight library inspired by AllenNLP and Tango"
"3. imports no tracked framework","aws-controllers-k8s/test-infra","https://github.com/aws-controllers-k8s/test-infra","mem0","","framework_never_imported","26","74","1","0","0","308","0","0","Testing infrastructure and frameworks for ACK"
"3. imports no tracked framework","singer-io/target-stitch","https://github.com/singer-io/target-stitch","notte","","framework_never_imported","26","7","1","0","0","124","0","0","A Singer.io Target for the Stitch Import API"
"3. imports no tracked framework","linux-netdev/nipa","https://github.com/linux-netdev/nipa","patchwork","","framework_never_imported","25","88","7","0","0","1020","0","0","Netdev Infrastructure for Patch Automation"
"3. imports no tracked framework","underworldcode/underworld3","https://github.com/underworldcode/underworld3","swarm","","framework_never_imported","24","667","201","0","0","4217","0","0","Underworld v3"
"3. imports no tracked framework","infobip-community/infobip-api-python-sdk","https://github.com/infobip-community/infobip-api-python-sdk","camel","","framework_never_imported","19","309","111","0","0","871","0","0","Python SDK for Infobip's API"
"3. imports no tracked framework","JuDFTteam/masci-tools","https://github.com/JuDFTteam/masci-tools","camel","","framework_never_imported","18","153","46","0","0","1829","0","0","Post-processing toolkit for electronic structure calculations"
"3. imports no tracked framework","edraj/dmart","https://github.com/edraj/dmart","camel","","framework_never_imported","15","165","28","0","0","1090","0","0","Headless information management system"
"3. imports no tracked framework","Edraak/edraak-platform","https://github.com/Edraak/edraak-platform","notte","","framework_never_imported","14","3450","845","0","0","24277","0","0","The Edraak (Hawthorn) Open edX platform code."
"3. imports no tracked framework","sr-857/AstraGuard-AI-Apertre-3.0","https://github.com/sr-857/AstraGuard-AI-Apertre-3.0","swarms","","framework_never_imported","14","532","164","0","0","6795","0","0","🚀 Autonomous Fault Detection & Recovery System for CubeSats | 🤖 Real-Time Telemetry Simulation • 🛰️ Anomaly Detection • 🔧 State Machine • 📊 Streamlit Dashboard • 🎥 3D Attitude Visualizer"
"3. imports no tracked framework","AdventurePilotDev/AdventurePilot","https://github.com/AdventurePilotDev/AdventurePilot","agno","","framework_never_imported","13","1091","158","0","0","7377","0","0",""
"3. imports no tracked framework","hasanmehediii/CSE-2216-Project","https://github.com/hasanmehediii/CSE-2216-Project","agno","","framework_never_imported","13","17","0","0","0","32","0","0","LangMastero, A Simple designed language learning app for beginners. If you want to learn basics of a language like Spanish or Chinese, can try this app. Also can test your progress with exams"
"3. imports no tracked framework","4teamwork/opengever.core","https://github.com/4teamwork/opengever.core","patchwork","","framework_never_imported","12","3924","924","0","0","21495","0","0","OneGov GEVER core package"
"3. imports no tracked framework","debnet/common-framework","https://github.com/debnet/common-framework","camel","","framework_never_imported","11","52","2","0","0","447","0","0","Framework Django Commun"
"3. imports no tracked framework","The-Swarm-Corporation/swarms-client","https://github.com/The-Swarm-Corporation/swarms-client","swarms","","imports_fw_no_call_site","10","120","27","0","0","886","0","0","A production-grade Python client for the Swarms API, providing a simple and intuitive interface for creating and managing AI swarms."
"3. imports no tracked framework","dhruv-ahuja/backend_burger","https://github.com/dhruv-ahuja/backend_burger","agno","","framework_never_imported","10","52","4","0","0","153","0","0","Demo application to learn and solidify my knowledge of backend and infra; now extending to be a practical project"
"3. imports no tracked framework — has HTTP/CLI evidence","invoice-x/invoice2data","https://github.com/invoice-x/invoice2data","camel","","framework_never_imported","2169","116","51","2","0","564","0","0","Extract structured data from PDF invoices"
"3. imports no tracked framework — has HTTP/CLI evidence","larksuite/oapi-sdk-python","https://github.com/larksuite/oapi-sdk-python","patchwork","","framework_never_imported","528","12266","80","25","0","74220","0","0","Larksuite development interface SDK"
"3. imports no tracked framework — has HTTP/CLI evidence","alireza787b/mavsdk_drone_show","https://github.com/alireza787b/mavsdk_drone_show","swarm, swarms","","imports_fw_no_call_site","303","560","182","2","1","9029","0","0","Open-source MAVLink fleet operations for PX4: SITL, drone shows, search and rescue, cooperative autonomy, and field validation"
"3. imports no tracked framework — has HTTP/CLI evidence","RBVI/ChimeraX","https://github.com/RBVI/ChimeraX","camel","","framework_never_imported","259","1359","39","0","1","17173","0","0","Source code for molecular graphics program UCSF ChimeraX"
"3. imports no tracked framework — has HTTP/CLI evidence","professorpalmer/Puppetmaster","https://github.com/professorpalmer/Puppetmaster","swarms","","framework_never_imported","86","180","43","13","32","4340","0","0","Provider-neutral control plane for durable-state agent swarms: subprocess workers, leases, artifacts, memory, and deterministic stitching."
"3. imports no tracked framework — has HTTP/CLI evidence","strangeadvancedmarketing/Adam","https://github.com/strangeadvancedmarketing/Adam","swarm","","framework_never_imported","44","16","4","2","0","184","0","0","5-layer persistent memory and identity architecture for AI agents. Production-validated over 353+ sessions. First documented case of emergent values in persistent AI -- quantum-verified on IBM hardwar"
"3. imports no tracked framework — has HTTP/CLI evidence","spurbey/agent-memory-orchestrator","https://github.com/spurbey/agent-memory-orchestrator","graphrag","","framework_never_imported","16","668","115","10","2","3857","0","0","Persistent Memory and Agent Orchestator"
"3. imports no tracked framework — has HTTP/CLI evidence","JSONbored/mem0-aio","https://github.com/JSONbored/mem0-aio","mem0","","framework_never_imported","16","8","4","1","1","47","0","0","Unraid CA template and Docker build for Mem0 (OpenMemory). This mega-container utilizes s6-overlay to seamlessly bundle the pre-compiled Qdrant Vector Database, the Python FastAPI/MCP server, and the"
"3. imports no tracked framework — has HTTP/CLI evidence","nottelabs/bua","https://github.com/nottelabs/bua","notte, notte_sdk","","imports_fw_no_call_site","14","19","1","1","0","139","0","0","Browser using agent (bua) notte model on any browser environment"
"5. imports a tracked framework, no call site matched","xtekky/gpt4free","https://github.com/xtekky/gpt4free","pydantic_ai","openai, langchain_community, pydantic_ai","imports_fw_no_call_site","66460","293","19","24","1","1733","0","0","The official gpt4free repository | various collection of powerful language models | opus 4.6 gpt 5.3 kimi 2.5 deepseek v3.2 gemini 3"
"5. imports a tracked framework, no call site matched","google/adk-samples","https://github.com/google/adk-samples","clai","vertexai, agents, phoenix, langchain_community","framework_never_imported","9780","1721","495","0","5","8933","0","0","A collection of sample agents built with Agent Development Kit (ADK)"
"5. imports a tracked framework, no call site matched","AuvaLab/itext2kg","https://github.com/AuvaLab/itext2kg","langchain, langchain_mistralai","langchain_openai, langchain_mistralai, langchain_anthropic, openai","imports_fw_no_call_site","950","55","3","0","0","316","0","0","We build KGs the way nature builds matter"
"5. imports a tracked framework, no call site matched","meta-llama/prompt-ops","https://github.com/meta-llama/prompt-ops","dspy","dspy, litellm","imports_fw_no_call_site","824","70","19","2","0","406","0","0","An open-source tool for LLM prompt optimization."
"5. imports a tracked framework, no call site matched","huggingface/screenenv","https://github.com/huggingface/screenenv","smolagents","smolagents","imports_fw_no_call_site","452","18","1","0","0","104","0","0","A powerful Python library for creating and managing isolated desktop environments using Docker containers."
"5. imports a tracked framework, no call site matched","OWASP/DockSec","https://github.com/OWASP/DockSec","langchain_openai","langchain_core, langchain_ollama, langchain_openai, langchain_google_genai, langchain_anthropic","imports_fw_no_call_site","446","32","13","1","1","396","0","0","AI-powered Docker security scanner that explains vulnerabilities in plain English. An OWASP Lab Project."
"5. imports a tracked framework, no call site matched","awslabs/graphrag-toolkit","https://github.com/awslabs/graphrag-toolkit","graphrag","langchain_huggingface, langchain_aws","imports_fw_no_call_site","414","471","171","0","1","3904","0","0","Python toolkit for building graph-enhanced GenAI applications"
"5. imports a tracked framework, no call site matched","flepied/second-brain-agent","https://github.com/flepied/second-brain-agent","langchain_huggingface","langchain_community, langchain_huggingface","imports_fw_no_call_site","306","11","2","0","0","83","0","0","🧠 Second Brain AI agent"
"5. imports a tracked framework, no call site matched","Vocab-Apps/anki-hyper-tts","https://github.com/Vocab-Apps/anki-hyper-tts","pydantic_ai","agents, pydantic_ai, openai, anthropic, cohere, langchain_mistralai, langchain, langchain_cohere, langchain_aws, langchain_core, langchain_huggingface, langchain_google_vertexai, langchain_openai, langchain_ollama, langgraph, litellm","imports_fw_no_call_site","273","784","108","2","0","10789","0","0","HyperTTS Addon for Anki"
"5. imports a tracked framework, no call site matched","cytoflow/cytoflow","https://github.com/cytoflow/cytoflow","camel","camel","imports_fw_no_call_site","219","329","92","0","0","2842","0","0","A Python toolbox for quantitative, reproducible flow cytometry analysis"
"5. imports a tracked framework, no call site matched","conveyordata/data-product-portal","https://github.com/conveyordata/data-product-portal","agno","agno","imports_fw_no_call_site","201","1028","75","0","0","5152","0","0","Data Product Portal created by Dataminded"
"5. imports a tracked framework, no call site matched","deepsense-ai/db-ally","https://github.com/deepsense-ai/db-ally","dspy","dspy, litellm, openai","imports_fw_no_call_site","168","170","23","0","0","752","0","0","Efficient, consistent and secure library for querying structured data with natural language"
"5. imports a tracked framework, no call site matched","darinkishore/codex_dspy","https://github.com/darinkishore/codex_dspy","dspy","dspy","imports_fw_no_call_site","161","25","5","0","0","279","0","0","DSPy module for OpenAI Codex SDK - signature-driven agentic workflows"
"5. imports a tracked framework, no call site matched","Azure/app-service-linux-docs","https://github.com/Azure/app-service-linux-docs","langchain","langchain","imports_fw_no_call_site","150","8","0","0","0","17","0","0","Azure App Service: Frequently Asked Questions on Linux App Service"
"5. imports a tracked framework, no call site matched","pyinstaller/pyinstaller-hooks-contrib","https://github.com/pyinstaller/pyinstaller-hooks-contrib","langchain_classic","langchain","imports_fw_no_call_site","120","727","9","0","1","368","0","0","Community maintained hooks for PyInstaller."
"5. imports a tracked framework, no call site matched","dealfluence/adeu","https://github.com/dealfluence/adeu","langchain_tests","langchain_core, langchain","imports_fw_no_call_site","116","230","154","0","2","2485","0","0","docx ↔ LLM translator. Projects .docx to Markdown for editing. Projects edits back to OOXML as tracked changes. Python and Node.js implementations."
"5. imports a tracked framework, no call site matched","Portkey-AI/portkey-python-sdk","https://github.com/Portkey-AI/portkey-python-sdk","crewai","openai, langchain, langchain_core","","114","0","0","0","0","4065","1","1","Build reliable, secure, and production-ready AI apps easily."
"5. imports a tracked framework, no call site matched","microsoft/pgtoolsservice","https://github.com/microsoft/pgtoolsservice","semantic_kernel","semantic_kernel","imports_fw_no_call_site","89","470","98","0","0","3196","0","0","PostgreSQL Tools Service that provides PostgreSQL Server data management capabilities."
"5. imports a tracked framework, no call site matched","Azure-Samples/agent-architecture-review-sample","https://github.com/Azure-Samples/agent-architecture-review-sample","agent_framework","agent_framework","imports_fw_no_call_site","88","10","3","0","0","192","0","0","The Architecture Review Agent is an open-source AI agent sample that reviews software architectures and generates interactive diagrams automatically."
"5. imports a tracked framework, no call site matched","datastax/graph-rag","https://github.com/datastax/graph-rag","langchain_chroma, langchain_tests","langchain_core, langchain_community","imports_fw_no_call_site","88","94","23","0","0","331","0","0","Graph traversal for improved RAG"
"5. imports a tracked framework, no call site matched","deltacodes1/Hackotberfest2025","https://github.com/deltacodes1/Hackotberfest2025","langchain_text_splitters","langchain, langchain_core, langchain_community","imports_fw_no_call_site","86","141","7","2","0","472","0","0","Make your first Pull Request on Hacktoberfest 2025. Don't forget to spread love and if you like give us a ⭐️"
"5. imports a tracked framework, no call site matched","m7mdhka/pydantic-ai-production-ready-template","https://github.com/m7mdhka/pydantic-ai-production-ready-template","pydantic_ai","pydantic_ai","imports_fw_no_call_site","82","49","9","0","0","249","0","0","🚀 Production-ready template for building AI applications with Pydantic AI, FastAPI, PostgreSQL, Redis, LiteLLM, and comprehensive monitoring. Includes admin panel, CI/CD, testing, and observability ou"
"5. imports a tracked framework, no call site matched","traccia-ai/traccia-py","https://github.com/traccia-ai/traccia-py","crewai","crewai, agents, anthropic, openai, langchain_openai, langchain_core","imports_fw_no_call_site","79","101","15","0","0","769","0","0","OpenTelemetry-native observability, governance, and compliance for AI agents and LLM applications"
"5. imports a tracked framework, no call site matched","Strategic-Automation/dspy-compounding-engineering","https://github.com/Strategic-Automation/dspy-compounding-engineering","dspy","dspy, agents, litellm, openai","","63","0","0","0","0","550","0","1","A local-first AI engineering agent that learns from your codebase using DSPy."
"5. imports a tracked framework, no call site matched","gleanwork/glean-agent-toolkit","https://github.com/gleanwork/glean-agent-toolkit","crewai","agents, langchain_core, crewai, langchain, langchain_openai, openai","imports_fw_no_call_site","61","79","35","0","0","500","0","0","AI Agent toolkit for adapting Glean's enterprise tools across multiple frameworks"
"5. imports a tracked framework, no call site matched","aws/nova-prompt-optimizer","https://github.com/aws/nova-prompt-optimizer","dspy","dspy, litellm","imports_fw_no_call_site","56","47","17","0","0","353","0","0","A Python SDK for optimizing prompts for Amazon Nova Models."
"5. imports a tracked framework, no call site matched","eneo-ai/eneo","https://github.com/eneo-ai/eneo","langchain_core","litellm, langchain_core","imports_fw_no_call_site","50","1819","477","13","0","13212","0","0",""
"5. imports a tracked framework, no call site matched","timescale/tiger-slack","https://github.com/timescale/tiger-slack","pydantic_ai","pydantic_ai","imports_fw_no_call_site","49","15","1","0","0","81","0","0","Real-time Slack ingest and MCP server to power your agentic Slack bots"
"5. imports a tracked framework, no call site matched","radiantlogicinc/fastworkflow","https://github.com/radiantlogicinc/fastworkflow","dspy","dspy, litellm","","48","0","0","0","0","4040","0","155","A framework for building large-scale, deterministic, interactive workflows with a fault-tolerant, conversational UX"
"5. imports a tracked framework, no call site matched","IvanWng97/TradingAgents-Telegram","https://github.com/IvanWng97/TradingAgents-Telegram","tradingagents","langchain_core","imports_fw_no_call_site","46","50","19","1","0","642","0","0","Telegram bot wrapping TradingAgents — chat-driven watchlist with parallel multi-ticker analysis, cancellation, and Telegraph reports."
"5. imports a tracked framework, no call site matched","maxim-saplin/mcp_safe_local_python_executor","https://github.com/maxim-saplin/mcp_safe_local_python_executor","smolagents","smolagents","imports_fw_no_call_site","44","3","2","0","0","8","0","0","Stdio MCP Server wrapping custom Python runtime (LocalPythonExecutor) from Hugging Faces' `smolagents` framework. The runtime combines the ease of setup (compared to docker, VM, cloud runtimes) while"
"5. imports a tracked framework, no call site matched","microsoft/Build26-LAB520-get-started-with-models-in-microsoft-foundry-to-build-ai-apps","https://github.com/microsoft/Build26-LAB520-get-started-with-models-in-microsoft-foundry-to-build-ai-apps","agent_framework_foundry, agent_framework_foundry_hosting","agent_framework","imports_fw_no_call_site","40","6","1","0","0","40","0","0","Hands-on lab: Get Started with Models in Microsoft Foundry — From First Inference to Deployed Agent (Microsoft Build 2026, LAB520)"
"5. imports a tracked framework, no call site matched","kubeflow/docs-agent","https://github.com/kubeflow/docs-agent","langchain_text_splitters","langchain","imports_fw_no_call_site","39","26","6","2","0","222","0","0","Kubeflow Documentation AI Agent to power the Kubeflow Website"
