framework,pattern,receiver_root,calls
langgraph,.invoke,execute_tool,10
langgraph,.invoke,runtime,10
openai,chat.completions.create,wrapped_client,10
openai,chat.completions.create,registered_async_openai_client,10
langchain_core,.invoke,wrapper,10
langchain,.invoke,_tools_by_name,10
agno,.arun,outer,9
langchain,.run,subprocess,9
langgraph,.ainvoke,glob_search_tool,9
crewai,.call,self,9
autogen,.initiate_chat,assistant,9
autogen,.initiate_chat,user_proxy,9
agno,.run,simple_agent,9
anthropic,messages.create,wrapped_client,9
openai,responses.create,wrapped_client,9
autogen_core,.create,client,9
langchain_core,.ainvoke,template,9
openai,chat.completions.create,registered_async_xai_client,9
agno,.run,runner,9
camel,.step,teammate,9
pydantic_ai,.run,main_agent,9
langchain_core,.invoke,component_tool,8
langchain_core,.invoke,agent,8
langgraph,.astream_events,agent,8
agno,.aprint_response,chat_agent,8
agno,.arun,chat_agent,8
agno,.arun,entity,8
langchain,.ainvoke,_make_agent,8
langchain_core,.ainvoke,agent,8
langgraph,.invoke,llm_with_tools,8
langchain_openai,.invoke,self,8
langchain_community,.invoke,chain,8
crewai,.kickoff_for_each,crew,8
langchain,.predict,pyfunc_model,8
anthropic,messages.stream,wrapped_client,8
langchain,.invoke,llm,8
anthropic,messages.stream,anthropic_client,8
autogen_core,.publish_message,self,8
openai,responses.create,oai,8
openai,chat.completions.create,cloud_registered_openai_client,8
openai,chat.completions.create,cloud_registered_xai_client,8
langchain_core,.run,self,7
langchain_core,.invoke,model,7
langchain_core,.stream,client,7
langgraph,.invoke,model,7
agno,.print_response,blocking_team,7
agno,.print_response,shopping_team,7
agno,.run,member_agent,7
agno,.arun,team_with_members,7
agno,.run,openai_agent,7
langgraph,.invoke,app,7
langchain_core,.ainvoke,chain,7
langchain,.predict,loaded_model,7
pydantic_ai,.run_sync,simple_agent,7
pydantic_ai,.run_stream,self,7
langgraph,.invoke,tracked_graph,7
langgraph,.stream,app,7
pydantic_ai,.run,self,7
langgraph,.ainvoke,chain,7
langchain_core,.ainvoke,prompt_template,7
anthropic,messages.create,cloud_registered_anthropic_client,7
langchain_aws,.invoke,cloud_registered_bedrock_client,7
langchain_core,.ainvoke,wrapper,7
langchain,.acall,tool,7
pydantic_ai,.run_stream,test_agent,7
langchain_core,.arun,mcp_tool,6
langchain_core,.run,mcp_tool,6
langchain_core,.arun,tool,6
agno,.run,st,6
langgraph,.stream,self,6
langgraph,.ainvoke,model,6
langchain_core,.ainvoke,model,6
langgraph,.stream,agent,6
agno,.aprint_response,multi_language_team,6
agno,.print_response,team,6
agno,.run,content_planner,6
agno,.run,evaluation,6
agno,.arun,member_agent,6
agno,.arun,memory_agent,6
agno,.run,park_agent,6
langchain_core,.run,HookEngine,6
langchain_core,.invoke,llm_with_tools,6
langchain_core,.run,Runner,6
pydantic_ai,.run_stream,adapter,6
langchain_community,.ainvoke,runnable,6
anthropic,messages.create,anthropic,6
pydantic_ai,.run_sync,conn,6
pydantic_ai,.run,orchestrator,6
langchain_core,.invoke,synopsis_chain,6
openai,chat.completions.create,guarded,6
langchain_core,.run,guarded,6
langchain_mistralai,.invoke,llm,6
dspy,.forward,agent,6
langchain_google_vertexai,.invoke,llm,6
langgraph,.astream,self,6
openai,chat.completions.create,get_client,6
camel,.step,platform,6
pydantic_ai,.run,test_agent,6
mem0,.add,memory,5
crewai,.kickoff_async,crew,5
langgraph,.ainvoke,ls_tool,5
langgraph,.invoke,explicit,5
agno,.arun,remote_team,5
agno,.print_response,task_workflow,5
agno,.print_response,notion_agent,5
agno,.run,tasks_team,5
langchain,.ainvoke,model,5
langgraph,.ainvoke,parent,5
langgraph,.ainvoke,read_file_tool,5
langgraph,.ainvoke,execute_tool,5
langgraph,.invoke,leader,5
langchain_openai,.invoke,model,5
langchain_openai,.invoke,_proxy_chat_model,5
langchain,.invoke,self,5
langchain,.generate,self,5
mem0,.search,client,5
openai,chat.completions.create,lm_client,5
anthropic,completions.create,client,5
langgraph,.ainvoke,llm,5
agent_framework,.run,analyst,5
anthropic,messages.create,registered_async_anthropic_client,5
anthropic,messages.stream,registered_async_anthropic_client,5
langchain_aws,.ainvoke,registered_bedrock_client,5
agno,.run,r,5
crewai,.kickoff,flow2,5
langchain_core,.stream,self,4
langchain_core,.run,tool,4
langchain_core,.ainvoke,runnable,4
langchain,.invoke,retriever,4
langchain_core,.ainvoke,fake_model,4
langchain,.invoke,_agent,4
agno,.run,validator_agent,4
agno,.run,dev_team,4
agno,.arun,remote_workflow,4
agno,.aprint_response,async_agent,4
agno,.print_response,sync_agent,4
agno,.print_response,self,4
agno,.run,session,4
agno,.run,agent1,4
agno,.arun,guarded_agent_pii_masking,4
agno,.run,guarded_agent_pii_masking,4
agno,.run,team1,4
agno,.run,simple_workflow,4
agno,.run,level1,4
agno,.arun,eval,4
langchain,.invoke,execute_tool,4
langgraph,.invoke,ls_tool,4
langgraph,.ainvoke,delete_tool,4
langgraph,.stream,parent_agent,4
openai,chat.completions.create,openai,4
crewai,.kickoff_async,flow,4
openai,chat.completions.create,aclient,4
agno,.arun,simple_agent,4
dspy,.forward,program,4
langchain,.batch,model,4
langchain,.stream,model,4
semantic_kernel,.invoke_prompt,kernel,4
pydantic_ai,.run_sync,marvin,4
openai,chat.completions.parse,wrapped_client,4
openai,chat.completions.create,mock_client,4
semantic_kernel,.invoke,self,4
crewai,.kickoff,guarded,4
langchain_core,.ainvoke,guarded,4
langchain_core,.invoke,guarded,4
crewai,.kickoff_for_each_async,crew,4
langchain_google_vertexai,.invoke,model,4
autogen_agentchat,.run,team,4
langchain_google_vertexai,.predict,llm,4
openai,chat.completions.create,sync_openai_client,4
autogen_ext,.create,zep,4
agent_framework,.run,agent1,4
langchain_core,.ainvoke,downstream_template,4
langchain_aws,.astream,registered_bedrock_client,4
agno,.arun,Agent,4
langchain_core,.astream,orch,4
openai,chat.completions.create,mock_instance,4
pydantic_ai,.run_stream,node,4
pydantic_ai,.run,agent_a,4
pydantic_ai,.run,agent1,4
crewai,.call,chat_llm,4
crewai,.kickoff,Crew,4
langchain_community,.invoke,llm,4
mem0,.search,memory_instance,4
langchain_core,.generate,nanoid,3
langchain_community,.invoke,model,3
mem0,.search,memory,3
langchain_anthropic,.run,self,3
langchain_core,.arun,self,3
langchain_core,.invoke,executor,3
langchain_core,.invoke,table_tool,3
agno,.run,email_agent,3
agno,.run,product_intelligence_team,3
langchain_community,.run,Runner,3
langchain_openai,.invoke,super,3
langchain,.stream,self,3
langgraph,.ainvoke,oracle_graph,3
langchain_openai,.invoke,graph,3
langgraph,.invoke,ts,3
langgraph,.ainvoke,delta_graph,3
langchain_core,.invoke,async_tool,3
agno,.aprint_response,basic_agent,3
agno,.aprint_response,basic_team,3
agno,.arun,content_planner,3
agno,.print_response,meal_workflow,3
agno,.arun,remote_assistant,3
agno,.arun,writer,3
agno,.run,typer,3
agno,.run,streaming_agent,3
agno,.arun,labeler,3
langgraph,.invoke,ChatOpenAI,3
agno,.print_response,agent_full,3
agno,.arun,multi_guarded_agent,3
agno,.run,agent_1,3
agno,.run,team_1,3
agno,.run,workflow1,3
agno,.run,workflow2,3
agno,.aprint_response,team_show_member_responses_true,3
agno,.print_response,team_show_member_responses_true,3
langchain_core,.astream,agent,3
langgraph,.ainvoke,subagent,3
langgraph,.ainvoke,grader,3
langgraph,.ainvoke,child,3
langgraph,.invoke,fallback,3
haystack,.run,agent,3
openai,chat.completions.create,llm_client,3
crewai,.kickoff,agent,3
langchain_openai,.ainvoke,llm,3
pydantic_ai,.run,builder,3
langchain_openai,.invoke,tools,3
langchain_community,.invoke,tool_model,3
pydantic_ai,.run,wrapped_agent,3
anthropic,completions.create,anthropic_client,3
langchain_community,.invoke,agent_executor,3
langchain_cohere,.ainvoke,overall_chain,3
langchain_cohere,.astream,runnable,3
langchain_cohere,.invoke,overall_chain,3
langchain_cohere,.stream,runnable,3
langchain_cohere,.invoke,chain,3
langchain_community,.invoke,runnable,3
langchain_community,.stream,runnable,3
langchain_core,.stream,chain,3
langchain_core,.astream,chain,3
langchain_openai,.invoke,model_with_structured_output,3
openai,chat.completions.create,async_vllm_openai_client,3
openai,chat.completions.create,vllm_openai_client,3
openai,responses.create,async_openai_client,3
openai,chat.completions.create,OpenAI,3
langgraph,.invoke,model_runnable,3
langchain,.abatch,model,3
langchain,.astream,model,3
langchain,.invoke,runnable,3
semantic_kernel,.invoke,kernel,3
pydantic_ai,.run,task,3
openai,chat.completions.create,_client,3
langchain_openai,.astream,chain,3
openai,responses.parse,wrapped_client,3
autogen_core,.create,guarded,3
pydantic_ai,.run_sync,_make_agent,3
dspy,.forward,detector,3
langchain_openai,.invoke,fallback_llm,3
langchain_openai,.run,sandbox,3
autogen_ext,.create,openai_model_client,3
autogen_core,.send_message,runtime,3
langchain_google_vertexai,.invoke,llm_chain,3
langchain_openai,.invoke,ChatOpenAI,3
openai,chat.completions.parse,llm_client,3
autogen_ext,.create,zep_client,3
agent_framework,.run,agent2,3
agent_framework,.run_stream,workflow,3
openai,completions.create,get_client,3
agent_framework,.run,coordinator,3
agent_framework,.run,mcp_server,3
langchain_openai,.run,agent_app,3
anthropic,completions.create,self,3
langchain_aws,.invoke,client,3
anthropic,messages.stream,registered_anthropic_client,3
langchain_aws,.stream,registered_bedrock_client,3
camel,.step,super,3
langchain_core,.ainvoke,client,3
langgraph,.ainvoke,sub_graph,3
openai,completions.create,aclient,3
langchain,.ainvoke,self,3
mem0,.search,re,3
astrbot,.text_chat,fallback_provider,3
crewai,.kickoff,test_crew,3
crewai,.kickoff,flow1,3
crewai,.kickoff,flow3,3
langchain,.invoke,chat,3
crewai,.call,mocker,3
langchain_core,.run,wrapped_tool,2
langchain_core,.arun,guarded_tool,2
langchain_community,.run,wrapper,2
langchain_community,.run,client,2
langchain_core,.invoke,runnable,2
langchain_core,.stream,runnable,2
langchain_community,.run,self,2
langchain_core,.invoke,prompt,2
langchain_core,.agenerate,self,2
langchain_experimental,.run,python_repl,2
langchain_community,.run,tool,2
langchain_core,.ainvoke,table_tool,2
agno,.run,current_agent,2
agno,.run,market_analysis_agent,2
agno,.run,property_valuation_agent,2
agno,.run,execution_agent,2
agno,.run,coding_agent,2
agno,.run,image_agent,2
agno,.run,scrape_agent,2
agno,.run,podcast_script_agent,2
agno,.run,search_agent,2
agno,.run,analysis_agent,2
agno,.run,browser_agent,2
langchain_core,.invoke,rag_chain,2
langchain_core,.stream,graph,2
langchain_core,.run,super,2
langchain_core,.invoke,chat_model,2
langchain_core,.invoke,retrieval_chain,2
langchain_core,.invoke,fallback_agent,2
langchain_core,.invoke,st,2
langchain_community,.run,asyncio,2
langchain,.run,context,2
langgraph,.ainvoke,full_graph,2
langchain,.invoke,update_agent,2
openai,chat.completions.create,litellm_client,2
agno,.run,ReliabilityEval,2
agno,.arun,AgentAsJudgeEval,2
agno,.arun,_agent,2
agno,.arun,finance_agent,2
agno,.aprint_response,async_summary_team,2
agno,.print_response,consulting_team,2
agno,.print_response,distributed_pgvector_team,2
agno,.print_response,distributed_rag_team,2
agno,.arun,streaming_content_planner,2
agno,.run,streaming_content_planner,2
agno,.run,research_team,2
agno,.print_response,workflow,2
agno,.run,studio_agent,2
agno,.run,worker,2
agno,.arun,researcher,2
agno,.arun,async_agent,2
agno,.arun,evaluation,2
agno,.print_response,regular_agent,2
agno,.print_response,team_leader,2
agno,.run,extractor,2
langchain_core,.astream_events,self,2
agno,.arun,evaluator_agent,2
agno,.run,evaluator_agent,2
agno,.arun,component,2
agno,.aprint_response,self,2
agno,.arun,agent1,2
agno,.run,writer,2
agno,.arun,guarded_agent_pii,2
agno,.run,guarded_agent_pii,2
agno,.arun,guarded_agent_prompt_injection,2
agno,.run,guarded_agent_prompt_injection,2
agno,.run,movie_agent,2
agno,.run,regular_agent,2
agno,.run,interleaved_agent,2
agno,.run,team2,2
agno,.arun,remote_agent,2
agno,.arun,mock_agent,2
agno,.run,mock_session,2
langgraph,.invoke,grader,2
langchain,.run,ctx,2
langgraph,.ainvoke,fallback,2
langgraph,.batch,store,2
langgraph,.invoke,subagent,2
langgraph,.stream_events,agent,2
langgraph,.invoke,compiled,2
langgraph,.ainvoke,edit_file_tool,2
langgraph,.invoke,read_tool,2
langgraph,.invoke,glob_tool,2
haystack,.run_async,agent,2
langgraph,.ainvoke,retain,2
openai,chat.completions.create,wrapped,2
autogen_agentchat,.run,calc_agent,2
langchain_core,.invoke,list_tables_tool,2
langgraph,.stream,graph,2
langgraph,.invoke,read_file,2
agno,.arun,content_seo_workflow,2
agno,.arun,content_strategist_agent,2
langchain_core,.invoke,llm,2
langgraph,.invoke,open_ai_llm,2
langchain_core,.invoke,copilot_agent,2
langchain_community,.invoke,structured_model,2
langchain_community,.invoke,self,2
agno,.run,discussion_team,2
langgraph,.invoke,langgraph,2
langchain_openai,.run,chain,2
openai,chat.completions.create,api_usage_provider_client,2
openai,chat.completions.create,client_openai,2
langchain_community,.ainvoke,chain,2
langchain_openai,.invoke,chain,2
langchain_openai,.invoke,chat,2
langchain_core,.predict,model,2
langchain,.batch,loaded_model,2
langchain,.invoke,retrieval_chain,2
langchain,.predict,loaded_pyfunc_model,2
langchain,.invoke,branch,2
langchain_core,.transform,parser,2
langchain_core,.predict,loaded_model,2
pydantic_ai,.run,agent_with_tool,2
pydantic_ai,.run,simple_agent,2
pydantic_ai,.run_sync,agent_with_tool,2
semantic_kernel,.get_response,agent,2
pydantic_ai,.run,visual_extraction_agent,2
openai,chat.completions.create,request_client,2
openai,chat.completions.create,summary_client,2
langchain_core,.astream,self,2
langchain_openai,.invoke,synopsis_chain,2
langchain_openai,.stream,chain,2
langchain_google_vertexai,.invoke,synopsis_chain,2
langgraph,.invoke,chain,2
langchain,.ainvoke,llm,2
haystack,.run_async,self,2
langchain_core,.agenerate,llm,2
langchain_core,.generate,llm,2
langchain_core,.generate,ragas_llm,2
langchain_core,.generate,translate_statements_prompt,2
langchain_core,.generate,prompt,2
haystack,.run,retriever,2
crewai,.kickoff,self,2
langchain_google_genai,.invoke,llm_with_tools,2
langgraph,.invoke,domain_tool_node,2
haystack,.run,critic,2
haystack,.run,summary_writer,2
agent_framework,.run,result_generator,2
langchain_openai,.invoke,tavily_search,2
langchain_core,.invoke,structured_llm,2
langgraph,.invoke,tavily_search,2
langgraph,.ainvoke,research_graph,2
mem0,.add,client,2
autogen_ext,.create,cache_client,2
autogen_ext,.create_stream,cache_client,2
langchain_google_vertexai,.invoke,agent_executor,2
langchain_google_vertexai,.batch,llm_chain,2
langchain_nvidia_ai_endpoints,.ainvoke,nvidia_client,2
langchain_nvidia_ai_endpoints,.astream,nvidia_client,2
langchain_nvidia_ai_endpoints,.invoke,nvidia_client,2
langchain_nvidia_ai_endpoints,.stream,nvidia_client,2
autogen_ext,.create,model_client,2
haystack,.run_async,retriever,2
haystack,.run,pipeline,2
haystack,.run_async,pipeline,2
langchain_core,.invoke,RunnableLambda,2
autogen_agentchat,.run,agent2,2
crewai,.kickoff,str,2
langgraph,.abatch,self,2
langgraph,.batch,self,2
langgraph,.ainvoke,str,2
langgraph,.ainvoke,search_tool,2
langchain_openai,.ainvoke,mock_langchain_agent,2
langgraph,.ainvoke,agent_executor,2
langchain_community,.arun,retriever_tool,2
langgraph,.ainvoke,app,2
autogen_core,.create_stream,client,2
langchain_core,.ainvoke,query_template,2
langchain_core,.ainvoke,planning_template,2
langgraph,.ainvoke,tool,2
langchain_core,.astream,llm,2
langchain_core,.ainvoke,graph,2
langgraph,.ainvoke,mock_react_graph,2
langgraph,.astream,mock_tool_graph,2
autogen_core,.create,openai_client,2
agent_framework,.run_stream,agent,2
agent_framework,.run,fraud_agent,2
langchain_aws,.ainvoke,client,2
openai,chat.completions.create,cloud_registered_async_openai_client,2
openai,responses.create,cloud_registered_openai_client,2
openai,chat.completions.create,cloud_registered_async_xai_client,2
openai,chat.completions.create,unwrapped_client,2
langchain_aws,.astream,chain,2
langchain_google_genai,.astream,chain,2
langchain_google_genai,.astream,client,2
langchain_openai,.astream,client,2
camel,.astep,self,2
camel,.step,role_play_session,2
smolagents,.run,asyncio,2
camel,.step,scientists,2
langchain_core,.invoke,kg_record,2
langchain_openai,.ainvoke,model,2
langchain,.invoke,tools,2
mem0,.search,m0,2
langchain_core,.run,driver2,2
langchain,.acall,function_tool,2
langchain,.arun,langchain_tool,2
openai,completions.create,mock_instance,2
openai,responses.parse,self,2
pydantic_ai,.run,node,2
pydantic_ai,.run,final,2
pydantic_ai,.run,client_agent,2
astrbot,.text_chat,provider,2
swarm,.run,app,2
smolagents,.run,runner,2
langchain_core,.acall,self,2
crewai,.kickoff,crew_met,2
graphrag,basic_search,basic_search,2
graphrag,local_search,local_search,2
langchain_core,.run,processed_tools,1
langchain_core,.run,guarded_tool,1
langchain_core,.ainvoke,tool1,1
langchain_core,.ainvoke,tool2,1
langchain_core,.ainvoke,tool3,1
langchain_community,.stream,run_client,1
langchain_community,.call,client,1
langchain_core,.stream,actual_agent,1
langchain_community,.invoke,rag,1
langchain_core,.astream_events,runnable,1
langchain_anthropic,.astream_events,runnable,1
langchain_core,.astream,runnable,1
langchain_experimental,.invoke,agent_csv,1
langchain_core,.invoke,llm_auto,1
langchain_core,.invoke,llm_to_use,1
langchain,.invoke,template,1
langchain_core,.invoke,query_writer,1
langchain_core,.stream,httpx_client,1
langchain_experimental,.run,tool,1
langgraph,.astream_events,_agent,1
langgraph,.astream_events,agent2,1
langchain_core,.arun,table_tool,1
langchain_core,.invoke,text_tool,1
langchain,.run,component_class,1
autogen,.generate_reply,agent,1
agno,.run,analyzer,1
agno,.run,scheduler,1
agno,.arun,structured_output_agent,1
agno,.run,vision_agent,1
agno,.run,compile_report_task,1
agno,.run,question_generator,1
agno,.run,research_task,1
agno,.run,_agent,1
langchain_openai,.run,agent,1
agno,.run,coordinator_agent,1
agno,.run,dietary_agent,1
agno,.run,fitness_agent,1
agno,.arun,st,1
langchain_openai,.invoke,research_agent,1
langchain,.run,uvicorn,1
langchain,.invoke,model_with_tool,1
agno,.arun,travel_planner,1
pydantic_ai,.run,rag_agent,1
langchain_core,.run,search,1
langchain_google_genai,.invoke,rag_chain,1
agno,.run,search,1
agno,.run,routing_agent,1
langchain_anthropic,.run,agent,1
langchain_anthropic,.run,asyncio,1
langchain_core,.invoke,bound,1
langchain_anthropic,.invoke,super,1
langchain_aws,.invoke,super,1
langchain_google_genai,.invoke,super,1
langchain_core,.run,pw,1
langchain_deepseek,.stream,self,1
langchain_deepseek,.invoke,self,1
langchain,.run,executor,1
langchain_core,.run,uvicorn,1
langchain,.call,mock,1
langgraph,.invoke,first,1
langgraph,.invoke,second,1
langgraph,.astream_events,graph,1
langchain_core,.invoke,mock_tool,1
langgraph,.ainvoke,_build_answer_graph,1
langgraph,.ainvoke,first_graph,1
langgraph,.ainvoke,second_graph,1
langchain,.astream_events,agent,1
langgraph,.ainvoke,inner_graph,1
langchain,.stream,graph,1
langgraph,.astream,parent_graph,1
langgraph,.ainvoke,explicit,1
langgraph,.ainvoke,run_model,1
langgraph,.invoke,run_model,1
langgraph,.invoke,default_model,1
langgraph,.invoke,primary,1
langgraph,.ainvoke,primary,1
langchain,.ainvoke,_agent,1
langchain,.call,client,1
langgraph,.invoke,resolver,1
langchain_core,.ainvoke,browserless_tools,1
langchain_core,.ainvoke,crawl4ai_tools,1
openai,chat.completions.create,async_client,1
langchain_community,.invoke,chat,1
openai,chat.completions.create,azure_client,1
agno,.aprint_response,case,1
agno,.arun,case,1
agno,.aprint_response,custom_agent,1
agno,.aprint_response,agent_with_validation,1
agno,.aprint_response,brief_agent,1
agno,.aprint_response,agent_simple,1
agno,.run,topics_analyzer_agent,1
agno,.aprint_response,agent_team,1
agno,.arun,research_team,1
agno,.arun,project_team,1
agno,.arun,company_info_team,1
agno,.aprint_response,async_research_team,1
agno,.aprint_response,async_agent_team,1
agno,.print_response,metadata_team,1
agno,.print_response,collab_team,1
agno,.aprint_response,team_with_validation,1
agno,.aprint_response,poor_coordination_team,1
agno,.aprint_response,team_simple,1
agno,.run,formatter_agent,1
agno,.run,transformer_agent,1
agno,.aprint_response,distributed_pgvector_team,1
agno,.aprint_response,distributed_rag_team,1
agno,.print_response,coordinated_rag_team,1
agno,.aprint_response,coordinated_reasoning_team,1
agno,.print_response,coordinated_reasoning_team,1
agno,.aprint_response,distributed_search_team,1
agno,.print_response,distributed_search_team,1
agno,.aprint_response,custom_team,1
agno,.print_response,masked_team,1
agno,.arun,stock_team,1
agno,.arun,blog_post_workflow,1
agno,.arun,streaming_hackernews_agent,1
agno,.run,streaming_hackernews_agent,1
agno,.arun,content_creation_workflow,1
agno,.arun,guardrails_workflow,1
agno,.print_response,adaptive_assistant_workflow,1
agno,.arun,news_agent,1
agno,.arun,release_agent,1
agno,.arun,metrics_agent,1
agno,.run,trace_agent,1
agno,.arun,trace_agent,1
agno,.arun,clickhouse_agent,1
agno,.arun,workspace_agent,1
agno,.arun,agno_a2a_agent,1
agno,.arun,adk_a2a_agent,1
agno,.arun,hybrid_team,1
agno,.run,accuracy_evaluation,1
agno,.print_response,ops_agent,1
agno,.aprint_response,hn_team,1
agno,.print_response,agent_isolated,1
agno,.print_response,agent_shared,1
agno,.arun,async_evaluation,1
agno,.run,agent_with_reasoning_model,1
agno,.run,streaming_agent_with_model,1
agno,.aprint_response,regular_agent,1
agno,.aprint_response,cot_agent,1
agno,.aprint_response,deepseek_agent,1
agno,.print_response,deepseek_plus_claude,1
agno,.run,agent_deepseek,1
agno,.run,agent_llama,1
agno,.print_response,agent_qwq,1
agno,.print_response,agent_deepseek,1
agno,.aprint_response,team_leader,1
agno,.run,streaming_agent_alt,1
agno,.print_response,thinking_agent,1
agno,.print_response,thinking_llama,1
agno,.print_response,ocr_agent,1
agno,.print_response,code_editor,1
agno,.print_response,news_agent,1
agno,.print_response,documentation_agent,1
agno,.print_response,research_agent,1
agno,.run,loaded,1
agno,.run,adjudicator,1
agno,.run,reviewer,1
agno,.run,rater,1
agno,.run,juror,1
agno,.run,user_sim,1
agno,.run,assistant,1
agno,.run,classifier,1
agno,.run,probe_agent,1
agno,.run,screen,1
agno,.run,refusal_judge,1
agno,.arun,analyst,1
agno,.arun,librarian,1
agno,.aprint_response,stock_agent,1
agno,.aprint_response,search_agent,1
agno,.aprint_response,financial_team,1
agno,.print_response,financial_team,1
agno,.run,pool,1
agno,.arun,summarizer,1
agno,.run,attempt,1
agno,.arun,runner,1
agno,.arun,ReliabilityEval,1
agno,.run,uvicorn,1
agno,.arun,accuracy_eval,1
agno,.arun,agent_as_judge_eval,1
agno,.arun,performance_eval,1
agno,.arun,reliability_eval,1
agno,.arun,crawler,1
agno,.run,replicate,1
agno,.arun,guarded_agent_openai_moderation,1
agno,.arun,agent2,1
agno,.run,agent2,1
agno,.arun,park_agent,1
agno,.run,finance_agent,1
agno,.run,web_agent,1
agno,.arun,movie_agent,1
agno,.run,compression_agent,1
agno,.run,run_copy,1
agno,.run,agent_2,1
agno,.run,team_2,1
agno,.arun,team1,1
agno,.arun,team2,1
agno,.arun,tasks_team,1
agno,.run,compression_team,1
agno,.arun,simple_workflow,1
agno,.arun,condition_workflow,1
agno,.arun,custom_function_workflow,1
agno,.arun,loop_workflow,1
agno,.arun,multi_step_workflow,1
agno,.arun,parallel_workflow,1
agno,.arun,router_workflow,1
agno,.arun,team_workflow,1
agno,.arun,simple_workflow_with_async_db,1
agno,.run,workflow_success,1
agno,.run,git_ops,1
agno,.arun,p,1
agno,.arun,production_agent,1
agno,.arun,ran_caller,1
agno,.arun,caller,1
agno,.run,judge,1
agno,.arun,judge,1
agno,.arun,_team,1
agno,.run,_team,1
agno,.run,accuracy_eval,1
agno,.run,performance_eval,1
agno,.run,reliability_eval,1
agno,.run,_Tk,1
agno,.aprint_response,team_show_member_responses_false,1
