"full_name","html_url","description","matched_query","stars","forks","language","topics","open_issues","size_kb","default_branch","created_at","updated_at","pushed_at","latest_default_branch_commit_date","archived","disabled","license","contributors_count","test_file_count","test_function_count","clone_url"
"camel-ai/camel","https://github.com/camel-ai/camel","🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org","AI agent framework stars:>999 language:Python","16594","1857","Python","agent,ai-societies,artificial-intelligence,communicative-ai,cooperative-ai,deep-learning,large-language-models,multi-agent-systems,natural-language-processing","458","486254","master","2023-03-17T21:41:54Z","2026-04-04T20:03:04Z","2026-04-04T01:27:43Z","2026-04-01T00:50:40Z","False","False","Apache-2.0","202","274","2114","https://github.com/camel-ai/camel.git"
"raga-ai-hub/RagaAI-Catalyst","https://github.com/raga-ai-hub/RagaAI-Catalyst","Python SDK for Agent AI Observability, Monitoring and Evaluation Framework. Includes features like agent, llm and tools tracing, debugging multi-agentic system, self-hosted dashboard and advanced analytics with timeline and execution graph view ","AI agent framework stars:>999 language:Python","16128","3620","Python","agentic-ai,agentic-ai-development,agentneo,agents,ai-agent-monitoring,ai-application-debugging,ai-evaluation-tools,ai-performance-optimization,ai-tool-interaction-monitoring,llm-testing,llm-tracing,llmops","33","58519","main","2024-08-26T12:13:15Z","2026-04-04T05:31:24Z","2026-02-11T14:43:33Z","2025-05-16T17:18:51Z","False","False","Apache-2.0","28","17","65","https://github.com/raga-ai-hub/RagaAI-Catalyst.git"
"pydantic/pydantic-ai","https://github.com/pydantic/pydantic-ai","AI Agent Framework, the Pydantic way","AI agent framework stars:>999 language:Python","16099","1873","Python","agent-framework,genai,llm,pydantic,python","618","182626","main","2024-06-21T15:55:04Z","2026-04-04T18:23:59Z","2026-04-04T21:10:27Z","2026-04-03T01:24:01Z","False","False","MIT","404","150","3991","https://github.com/pydantic/pydantic-ai.git"
"GreyDGL/PentestGPT","https://github.com/GreyDGL/PentestGPT","Automated Penetration Testing Agentic Framework Powered by Large Language Models","LLM powered agents framework stars:>999 language:Python","12404","2115","Python","large-language-models,llm,penetration-testing,python","54","34782","main","2023-02-27T06:01:53Z","2026-04-04T21:07:39Z","2026-02-23T15:48:40Z","2026-01-02T06:44:38Z","False","False","MIT","24","16","152","https://github.com/GreyDGL/PentestGPT.git"
"TEN-framework/ten-framework","https://github.com/TEN-framework/ten-framework"," Open-source framework for conversational voice AI agents","AI agent framework stars:>999 language:Python","10394","1251","Python","ai,multi-modal,real-time,video,voice","190","125101","main","2024-06-19T14:26:15Z","2026-04-04T19:56:42Z","2026-04-03T07:29:58Z","2026-04-02T14:36:53Z","False","False","NOASSERTION","78","424","951","https://github.com/TEN-framework/ten-framework.git"
"livekit/agents","https://github.com/livekit/agents","A framework for building realtime voice AI agents 🤖🎙️📹 ","AI agent framework stars:>999 language:Python","9927","2975","Python","agents,ai,openai,real-time,video,voice","548","25514","main","2023-10-19T23:00:55Z","2026-04-04T18:23:17Z","2026-04-04T11:33:31Z","2026-04-03T22:41:50Z","False","False","Apache-2.0","335","56","648","https://github.com/livekit/agents.git"
"microsoft/agent-framework","https://github.com/microsoft/agent-framework","A framework for building, orchestrating and deploying AI agents and multi-agent workflows with support for Python and .NET.","AI agent framework stars:>999 language:Python | multi-agent orchestration framework stars:>999 language:Python","8665","1431","Python","agent-framework,agentic-ai,agents,ai,dotnet,multi-agent,orchestration,python,sdk,workflows","726","84134","main","2025-04-28T19:40:42Z","2026-04-04T21:10:17Z","2026-04-04T00:01:20Z","2026-04-03T22:58:25Z","False","False","MIT","112","201","5595","https://github.com/microsoft/agent-framework.git"
"awslabs/agent-squad","https://github.com/awslabs/agent-squad","Flexible and powerful framework for managing multiple AI agents and handling complex conversations","AI agent framework stars:>999 language:Python","7554","715","Python","agentic-ai,agents,ai-agents,ai-agents-framework,anthropic,anthropic-claude,aws,aws-bedrock,aws-cdk,aws-lambda,chatbot,framework,generative-ai,machine-learning,openai,openaiapi,orchestrator,python,serverless,typescript","126","67747","main","2024-07-23T12:48:30Z","2026-04-04T21:09:44Z","2026-02-11T18:19:12Z","2025-10-08T13:55:30Z","False","False","Apache-2.0","31","23","282","https://github.com/awslabs/agent-squad.git"
"MervinPraison/PraisonAI","https://github.com/MervinPraison/PraisonAI","PraisonAI 🦞 - Your 24/7 AI employee team. Automate and solve complex challenges with low-code multi-agent AI that plans, researches, codes, and delivers to Telegram, Discord, and WhatsApp. Handoffs, guardrails, memory, RAG, 100+ LLMs.","AI agent framework stars:>999 language:Python","6578","961","Python","agents,ai,ai-agent-framework,ai-agent-sdk,ai-agents,ai-agents-framework,ai-agents-sdk,ai-framwork,aiagent,aiagentframework,aiagents,aiagentsframework,claw,framework,multi-agent,multi-agent-system,multi-agent-systems,multi-agents,multi-ai-agents,openclaw","52","49488","main","2024-03-19T16:45:25Z","2026-04-04T20:58:42Z","2026-04-04T18:05:50Z","2026-04-04T07:38:01Z","False","False","MIT","38","718","10995","https://github.com/MervinPraison/PraisonAI.git"
"lavague-ai/LaVague","https://github.com/lavague-ai/LaVague","Large Action Model framework to develop AI Web Agents","AI agent framework stars:>999 language:Python","6317","578","Python","ai,browser,large-action-model,llm,oss,rag","102","100444","main","2024-02-26T23:40:23Z","2026-04-04T15:29:36Z","2025-01-21T13:41:48Z","2025-01-21T13:41:48Z","False","False","Apache-2.0","31","1","1","https://github.com/lavague-ai/LaVague.git"
"kyegomez/swarms","https://github.com/kyegomez/swarms","The Enterprise-Grade Production-Ready Multi-Agent Orchestration Framework. Website: https://swarms.ai","AI agent framework stars:>999 language:Python | multi-agent orchestration framework stars:>999 language:Python","6188","798","Python","agentic-ai,agentic-workflow,agents,ai,artificial-intelligence,chatgpt,gpt4,gpt4all,huggingface,langchain,langchain-python,machine-learning,multi-agent-systems,prompt-engineering,prompt-toolkit,prompting,swarms,tree-of-thoughts","94","185884","master","2023-05-11T01:09:00Z","2026-04-04T19:09:33Z","2026-04-04T10:16:01Z","2026-04-04T10:16:01Z","False","False","Apache-2.0","55","87","1064","https://github.com/kyegomez/swarms.git"
"AgentOps-AI/agentops","https://github.com/AgentOps-AI/agentops","Python SDK for AI agent monitoring, LLM cost tracking, benchmarking, and more. Integrates with most LLMs and agent frameworks including CrewAI, Agno, OpenAI Agents SDK, Langchain, Autogen, AG2, and CamelAI","AI agent framework stars:>999 language:Python","5435","559","Python","agent,agentops,agents-sdk,ai,anthropic,autogen,cost-estimation,crewai,evals,evaluation-metrics,groq,langchain,llm,mistral,ollama,openai,openai-agents","138","177578","main","2023-08-15T23:26:23Z","2026-04-04T17:05:20Z","2026-03-19T18:37:57Z","2026-03-19T18:37:57Z","False","False","MIT","48","88","1076","https://github.com/AgentOps-AI/agentops.git"
"superduper-io/superduper","https://github.com/superduper-io/superduper","Superduper: End-to-end framework for building custom AI applications and agents.","AI agent framework stars:>999 language:Python","5265","536","Python","ai,chatbot,data,database,distributed-ml,inference,llm-inference,llm-serving,llmops,ml,mlops,mongodb,pretrained-models,python,pytorch,rag,semantic-search,torch,transformers,vector-search","30","77424","main","2022-08-30T12:51:24Z","2026-04-04T11:40:04Z","2025-09-01T15:20:18Z","2025-09-01T15:20:18Z","False","False","Apache-2.0","49","67","229","https://github.com/superduper-io/superduper.git"
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","🐢 Open-Source Evaluation & Testing library for LLM Agents","LLM agent library stars:>999 language:Python","5219","424","Python","agent-evaluation,ai-red-team,ai-security,ai-testing,fairness-ai,llm,llm-eval,llm-evaluation,llm-security,llmops,ml-testing,ml-validation,mlops,rag-evaluation,red-team-tools,responsible-ai,trustworthy-ai","17","176587","main","2022-03-06T21:45:37Z","2026-04-04T18:15:00Z","2026-04-04T00:39:02Z","2026-04-03T09:00:27Z","False","False","Apache-2.0","73","37","509","https://github.com/Giskard-AI/giskard-oss.git"
"VRSEN/agency-swarm","https://github.com/VRSEN/agency-swarm","Reliable Multi-Agent Orchestration Framework","multi-agent orchestration framework stars:>999 language:Python","4140","1007","Python","","12","40850","main","2023-11-16T02:29:26Z","2026-04-04T06:28:49Z","2026-04-02T14:51:28Z","2026-04-02T14:51:18Z","False","False","MIT","24","137","983","https://github.com/VRSEN/agency-swarm.git"
"SylphAI-Inc/AdalFlow","https://github.com/SylphAI-Inc/AdalFlow","AdalFlow: The library to build & auto-optimize LLM applications.","AI agent framework stars:>999 language:Python | LLM agent library stars:>999 language:Python","4092","368","Python","agent,ai,auto-prompting,bm25,chatbot,faiss,framework,generative-ai,information-retrieval,llm,machine-learning,nlp,optimizer,python,question-answering,rag,reranker,retriever,summarization,trainer","56","120453","main","2024-04-19T05:05:13Z","2026-04-04T17:47:56Z","2026-03-15T00:12:53Z","2026-02-10T06:13:13Z","False","False","MIT","42","53","542","https://github.com/SylphAI-Inc/AdalFlow.git"
"Intelligent-Internet/ii-agent","https://github.com/Intelligent-Internet/ii-agent","II-Agent: a new open-source framework to build and deploy intelligent agents","AI agent framework stars:>999 language:Python","3281","496","Python","agent,agentic-ai,ai,ai-agent,ai-agent-framework,llm,manus","1","46517","main","2025-04-07T17:45:48Z","2026-04-04T19:10:05Z","2026-04-03T06:38:29Z","2026-04-02T13:42:32Z","False","False","Apache-2.0","9","323","8193","https://github.com/Intelligent-Internet/ii-agent.git"
"i-am-bee/beeai-framework","https://github.com/i-am-bee/beeai-framework","Build production-ready AI agents in both Python and Typescript.","AI agent framework stars:>999 language:Python","3201","424","Python","agents,ai,ai-agent,beeai,framework,llm,multiagent,python,typescript","9","14170","main","2024-08-23T14:03:06Z","2026-04-04T18:32:06Z","2026-03-27T01:50:16Z","2026-03-24T18:02:55Z","False","False","Apache-2.0","68","33","148","https://github.com/i-am-bee/beeai-framework.git"
"cheshire-cat-ai/core","https://github.com/cheshire-cat-ai/core","AI agent microservice","AI agent framework stars:>999 language:Python","3012","394","Python","ag-ui-protocol,agent,ai,assistant,chatbot,conversational,docker,framework,function-calling,llm,mcp,mcp-client,plugin,python,vector-search","12","15026","main","2023-02-08T23:41:18Z","2026-04-04T19:38:32Z","2026-03-14T21:20:37Z","2025-06-30T15:22:52Z","False","False","GPL-3.0","86","47","181","https://github.com/cheshire-cat-ai/core.git"
"SolaceLabs/solace-agent-mesh","https://github.com/SolaceLabs/solace-agent-mesh","An event-driven framework designed to build and orchestrate multi-agent AI systems. It enables seamless integration of AI agents with real-world data sources and systems, facilitating complex, multi-step workflows.","AI agent framework stars:>999 language:Python | multi-agent orchestration framework stars:>999 language:Python","2872","177","Python","a2a,agentframework,agentic,agentic-ai,agentic-framework,agentic-workflow,agenticai,agents,ai,ai-agents,aiagentframework,aiframework,enterprise,event-driven-architecture,framework,mcp,multi-agent,multi-agent-systems,multiagent,rag","61","29346","main","2025-01-10T17:11:47Z","2026-04-04T18:18:25Z","2026-04-04T15:38:44Z","2026-04-04T04:12:44Z","False","False","Apache-2.0","51","331","5503","https://github.com/SolaceLabs/solace-agent-mesh.git"
"griptape-ai/griptape","https://github.com/griptape-ai/griptape","Modular Python framework for AI agents and workflows with chain-of-thought reasoning, tools, and memory. ","AI agent framework stars:>999 language:Python","2506","226","Python","ai,anthropic,claude,gpt,huggingface,llm,openai,python","76","22498","main","2023-01-14T18:02:16Z","2026-04-03T21:07:31Z","2026-04-03T21:19:03Z","2026-04-03T20:59:55Z","False","False","Apache-2.0","41","302","1394","https://github.com/griptape-ai/griptape.git"
"openlit/openlit","https://github.com/openlit/openlit","Open source platform for AI Engineering: OpenTelemetry-native LLM Observability, GPU Monitoring, Guardrails, Evaluations, Prompt Management, Vault, Playground. 🚀💻 Integrates with 50+ LLM Providers, VectorDBs, Agent Frameworks and GPUs.","AI agent framework stars:>999 language:Python","2339","267","Python","ai-observability,amd-gpu,clickhouse,distributed-tracing,genai,gpu-monitoring,grafana,langchain,llmops,llms,metrics,monitoring-tool,nvidia-smi,observability,open-source,openai,opentelemetry,otlp,python,tracing","28","139351","main","2024-01-23T17:40:59Z","2026-04-04T16:55:56Z","2026-04-02T16:38:51Z","2026-04-02T12:38:25Z","False","False","Apache-2.0","64","19","405","https://github.com/openlit/openlit.git"
"dot-agent/nextpy","https://github.com/dot-agent/nextpy","🤖Self-Modifying Framework from the Future 🔮 World's First AMS","AI agent framework stars:>999 language:Python","2336","182","Python","agent,agi,ai,ai-agents,autogpt,fastapi,fastapi-framework,fastapi-template,fullstack-development,gpt,llm,llmops,mlops,openai,pydantic,python,sqlmodel,streamlit,webdev,webdevelopment","23","59373","main","2023-08-07T12:36:03Z","2026-04-04T15:22:46Z","2024-05-01T09:46:55Z","2024-05-01T09:46:54Z","False","False","Apache-2.0","13","90","554","https://github.com/dot-agent/nextpy.git"
"trypromptly/LLMStack","https://github.com/trypromptly/LLMStack","No-code multi-agent framework to build LLM Agents, workflows and applications with your data","AI agent framework stars:>999 language:Python","2295","340","Python","agents,ai,ai-agents-framework,generative-ai,llm-agents,llm-chain,llm-framework,llmops,llms,no-code-ai,platform","18","108502","main","2023-08-06T00:39:25Z","2026-04-04T07:42:55Z","2024-12-11T19:59:51Z","2024-12-11T19:59:47Z","False","False","NOASSERTION","8","17","56","https://github.com/trypromptly/LLMStack.git"
"InternLM/lagent","https://github.com/InternLM/lagent","A lightweight framework for building LLM-based agents","LLM-based agent framework stars:>999 language:Python","2231","226","Python","agent,gpt,llm,transformers","18","498","main","2023-08-20T12:45:45Z","2026-04-03T23:24:01Z","2026-03-24T10:00:04Z","2026-01-26T08:41:41Z","False","False","Apache-2.0","34","5","11","https://github.com/InternLM/lagent.git"
"agentuniverse-ai/agentUniverse","https://github.com/agentuniverse-ai/agentUniverse","agentUniverse is a LLM multi-agent framework that allows developers to easily build multi-agent applications. ","AI agent framework stars:>999 language:Python","2182","375","Python","agent,ai,ai-agents,autonomous,awesome,awesome-list,llm,multi-agent,python","99","101459","master","2024-04-23T11:28:18Z","2026-04-03T16:02:28Z","2026-04-01T07:14:06Z","2025-11-17T15:21:20Z","False","False","Apache-2.0","62","63","363","https://github.com/agentuniverse-ai/agentUniverse.git"
"nottelabs/notte","https://github.com/nottelabs/notte","🌸 Best framework to build web agents, and deploy serverless web automation functions on reliable browser infra.","AI agent framework stars:>999 language:Python","1929","173","Python","agent,ai,anthropic,automation,browser,llm,openai,web","11","69904","main","2024-12-08T02:06:30Z","2026-04-03T03:44:34Z","2026-04-04T00:39:54Z","2026-04-03T03:44:28Z","False","False","NOASSERTION","13","79","589","https://github.com/nottelabs/notte.git"
"melih-unsal/DemoGPT","https://github.com/melih-unsal/DemoGPT","🤖 Everything you need to create an LLM Agent—tools, prompts, frameworks, and models—all in one place.","AI agent framework stars:>999 language:Python","1888","225","Python","agent,agents,ai,artificial-intelligence,autogpt,autonomous-agents,chatgpt,chatgpt-api,deepseek,demo,gpt-4,langchain,langchain-app,langchain-python,llms,o1,openai,python,streamlit,streamlit-application","7","26340","main","2023-06-07T09:56:20Z","2026-04-01T17:16:34Z","2026-04-01T12:30:12Z","2026-04-01T12:30:09Z","False","False","MIT","8","3","4","https://github.com/melih-unsal/DemoGPT.git"
"GH05TCREW/pentestagent","https://github.com/GH05TCREW/pentestagent","PentestAgent is an AI agent framework for black-box security testing, supporting bug bounty, red-team, and penetration testing workflows.","AI agent framework stars:>999 language:Python","1850","380","Python","ai,ai-agents,ai-assistant,ai-cybersecurity,ai-hacking,ai-security-tool,blackbox-testing,ctf-tools,knowledge-graph,llm,mcp-tools,penetration-testing,pentesting-tools,red-teaming,security-automation","10","7582","main","2025-05-15T22:28:38Z","2026-04-04T18:24:18Z","2026-03-25T20:52:47Z","2026-03-25T20:52:47Z","False","False","MIT","8","1","1","https://github.com/GH05TCREW/pentestagent.git"
"samugit83/redamon","https://github.com/samugit83/redamon","An AI-powered agentic red team framework that automates offensive security operations, from reconnaissance to exploitation to post-exploitation, with zero human intervention.","AI agent framework stars:>999 language:Python","1702","355","Python","agentic-ai,ai,cybersecurity,ethical-hacking,ethical-hacking-tools,exploitation,metasploit,osint,penetration-testing,red-team","16","181876","master","2025-12-29T14:59:18Z","2026-04-04T18:44:23Z","2026-04-04T14:31:36Z","2026-04-04T14:31:33Z","False","False","MIT","10","42","1293","https://github.com/samugit83/redamon.git"
"plastic-labs/honcho","https://github.com/plastic-labs/honcho"," Memory library for building stateful agents","LLM agent library stars:>999 language:Python","1621","187","Python","agent-memory,ai,ai-agents,ai-memory,anthropic,context-engineering,continual-learning,embeddings,fastapi,langchain,llm,long-term-memory,memory,openai,personalization,python,rag,state-management,typescript,vector-database","37","19564","main","2023-09-10T21:29:54Z","2026-04-04T20:43:26Z","2026-04-03T20:57:27Z","2026-04-03T16:38:48Z","False","False","AGPL-3.0","18","79","819","https://github.com/plastic-labs/honcho.git"
"fetchai/uAgents","https://github.com/fetchai/uAgents","A fast and lightweight framework for creating decentralized agents with ease.","AI agent framework stars:>999 language:Python","1584","350","Python","agents,ai,ai-agents,llm,multi-agent-systems","43","33152","main","2022-09-28T17:31:19Z","2026-04-02T20:24:47Z","2026-04-03T14:13:36Z","2026-04-01T10:41:00Z","False","False","Apache-2.0","64","15","107","https://github.com/fetchai/uAgents.git"
"openakita/openakita","https://github.com/openakita/openakita","An open-source AI assistant framework with skills and agent architecture","AI agent framework stars:>999 language:Python","1577","199","Python","agent,ai,assistant,automation,claw,clawd,clawdbot,openclaw,python","92","144950","main","2026-01-30T17:36:05Z","2026-04-04T16:45:07Z","2026-04-04T16:45:03Z","2026-04-04T16:44:33Z","False","False","Apache-2.0","7","176","2815","https://github.com/openakita/openakita.git"
"patched-codes/patchwork","https://github.com/patched-codes/patchwork","Agentic AI framework for enterprise workflow automation.","AI agent framework stars:>999 language:Python","1548","100","Python","automation,codereview,devops,devtools,hacktoberfest,llms,workflows","188","6088","main","2024-04-05T14:07:29Z","2026-04-03T03:32:22Z","2025-04-18T08:13:52Z","2025-04-18T08:13:52Z","False","False","AGPL-3.0","16","18","53","https://github.com/patched-codes/patchwork.git"
"agi-inc/agent-protocol","https://github.com/agi-inc/agent-protocol","Common interface for interacting with AI agents. The protocol is tech stack agnostic - you can use it with any framework for building agents.","AI agent framework stars:>999 language:Python","1458","180","Python","agents,ai,ai-agent,api,auto-gpt,gpt-4,javascript,llms,openapi,protocol,python,typescript","44","1159","main","2023-07-06T14:39:13Z","2026-04-04T18:47:32Z","2025-04-08T06:10:21Z","2025-04-08T06:10:21Z","False","False","MIT","16","11","9","https://github.com/agi-inc/agent-protocol.git"
"NPC-Worldwide/npcpy","https://github.com/NPC-Worldwide/npcpy","The python library for research and development in NLP, multimodal LLMs, Agents, ML, Knowledge Graphs, and more.","LLM agent library stars:>999 language:Python","1272","90","Python","agents,ai,llm,mcp,mcp-client,mcp-server,ollama,perplexity,python,sql,yaml","7","45889","main","2024-09-27T07:18:20Z","2026-04-04T16:50:50Z","2026-04-04T16:50:46Z","2026-04-04T16:50:45Z","False","False","MIT","12","32","432","https://github.com/NPC-Worldwide/npcpy.git"
"polyuiislab/infiAgent","https://github.com/polyuiislab/infiAgent","Build your own Cowork, AI Scientist and other SoTA Agents just by editing config files. Support anthropic skills. An infinite-horizon agent framework designed for long-running, complex tasks.","AI agent framework stars:>999 language:Python","1156","45","Python","academic,agent,deepresearch","1","28860","main","2025-12-24T09:22:22Z","2026-04-03T19:50:36Z","2026-03-30T20:34:53Z","2026-03-30T20:32:39Z","False","False","GPL-3.0","9","17","109","https://github.com/polyuiislab/infiAgent.git"
"mozilla-ai/any-agent","https://github.com/mozilla-ai/any-agent","A single interface to use and evaluate different agent frameworks ","AI agent framework stars:>999 language:Python","1137","89","Python","a2a,agent-evaluation,agents,ai,mcp","16","12378","main","2025-03-25T08:14:43Z","2026-04-02T05:40:47Z","2026-04-04T07:16:52Z","2026-03-30T12:50:30Z","False","False","Apache-2.0","18","40","160","https://github.com/mozilla-ai/any-agent.git"
"ZHangZHengEric/Sage","https://github.com/ZHangZHengEric/Sage","Multi-Agent System Framework For Complex Tasks","AI agent framework stars:>999 language:Python","1069","87","Python","agents,ai,llm,manus,muilt-agents,workflow","1","63975","main","2025-05-25T05:33:11Z","2026-04-04T20:18:19Z","2026-04-04T17:06:16Z","2026-04-04T17:06:06Z","False","False","MIT","16","8","47","https://github.com/ZHangZHengEric/Sage.git"
"dynamiq-ai/dynamiq","https://github.com/dynamiq-ai/dynamiq","Dynamiq is an orchestration framework for agentic AI and LLM applications","AI agent framework stars:>999 language:Python","1043","125","Python","agents,ai,generative-ai,gpt,llm,llmops,rag","7","8510","main","2024-09-26T10:20:26Z","2026-04-03T14:50:17Z","2026-04-03T22:22:41Z","2026-04-03T14:50:12Z","False","False","Apache-2.0","17","186","1163","https://github.com/dynamiq-ai/dynamiq.git"
