clone_slug,imports
oceanbase_powerrag,graphrag:18;openai:6;dashscope:5;anthropic:4;litellm:2;mistralai:2;replicate:2;ollama:2;cohere:2;vertexai:1;zhipuai:1
skygazer42_Weaver,langchain_core:50;langchain:18;langchain_openai:16;langgraph:8;openai:2;dashscope:2;langchain_anthropic:1;mem0:1
FromCSUZhou_Econometrics-Agent,metagpt:294;openai:16;langchain_core:6;semantic_kernel:5;langchain:4;dashscope:2;zhipuai:2;langchain_community:2;langchain_openai:2;agentops:1;anthropic:1;langchain_experimental:1;litellm:1
agiresearch_AIOS,litellm:4;openai:3;mem0:2
WenJinfeng_FaaSLight,
HUST-AI-HYZ_MemoryAgentBench,mem0:54;openai:40;anthropic:16;litellm:8;langchain:7;langchain_community:5;deepeval:4;langchain_openai:4;langchain_core:3;ollama:2;together:2;vertexai:1;groq:1;langchain_google_genai:1
oceanbase_obdiag,langchain_core:13;langchain:12;langgraph:11
avibe-bot_avibe,agents:1
agno-agi_pal,
phil65_agentpool,pydantic_ai:121;openai:5;anthropic:1
trpc-group_trpc-agent-python,langchain_core:26;langgraph:13;langchain:11;mem0:8;langchain_community:6;langchain_huggingface:6;anthropic:3;openai:1
agntcy_agentic-apps,agents:11;autogen_ext:3;langchain_mistralai:2;langchain_openai:2;langchain_ollama:2;langchain_core:2;autogen_agentchat:2;langgraph:1;langchain:1;autogen_core:1
yaalalabs_agent-kernel,agents:72;langgraph:13;crewai:12;langchain_openai:12;pydantic_ai:9;langchain_core:8;smolagents:6;litellm:4;openai:2;ragas:1
oracle_wayflow,litellm:3;langchain_community:2;openai:2;langchain_core:1
plexe-ai_plexe,smolagents:17;litellm:2
arc53_DocsGPT,langchain_core:5;langchain_community:4;openai:3;agents:1;anthropic:1;langchain:1;langchain_openai:1
nativ3ai_hermes-agent-camel,openai:27;honcho:3;mistralai:2;anthropic:1;mem0:1
EvoScientist_EvoScientist,langchain_core:57;langgraph:43;langchain:31;langchain_openai:3;anthropic:2;langchain_openrouter:2;openai:1;langchain_nvidia_ai_endpoints:1;langchain_deepseek:1;langchain_anthropic:1
modelscope_evalscope,openai:12;ragas:7;langchain_openai:6;anthropic:4;langchain_core:3;langchain_huggingface:2;langchain_community:1;litellm:1
OPPO-PersonalAI_Agent-KB,litellm:35;smolagents:26;openai:11;langchain:4;camel:3;anthropic:2;langchain_community:1;langchain_huggingface:1;mistralai:1;cohere:1;agentops:1
chaosblade-io_chaosblade,langchain_core:81;langgraph:18;openai:3;langchain_openai:1
femto_minion,openai:9;mem0:1;smolagents:1;anthropic:1;litellm:1
traceloop_openllmetry,openai:63;langchain_core:18;agents:16;langchain_openai:13;anthropic:12;litellm:9;agno:7;groq:5;langgraph:5;langchain_community:5;replicate:5;vertexai:5;ollama:4;mistralai:3;cohere:2;crewai:2;haystack:2;langchain_cohere:2;langchain_anthropic:2;together:2;langchain:1;langchain_aws:1
aivrar_portable-hermes-agent,openai:22;honcho:3;mem0:2;mistralai:2;anthropic:1
google_adk-samples,vertexai:74;agents:2;phoenix:2;langchain_community:1
NJUxlj_Travel-Agent-based-on-Qwen2-RLHF,langchain_core:8;openai:7;langchain:6;langchain_community:6;agent_framework:5;zhipuai:5;langchain_openai:2;agents:2;langchain_huggingface:1;anthropic:1
marcgs_lob-agent-evaluation,agent_framework:8
mcasalaina_QuestionnaireAgent_v3,agent_framework:8;agents:8
shibing624_agentica,openai:10;anthropic:3;litellm:3;ollama:2;zhipuai:2;langchain_core:1;cohere:1;langchain_openai:1;langchain_community:1
neo4j-labs_agent-memory,pydantic_ai:10;agent_framework:9;openai:5;crewai:3;vertexai:2;langchain_core:2;opik:2;langchain_openai:1;langchain_anthropic:1;anthropic:1;litellm:1
Azure_contentflow,agent_framework:52;openai:1
Alex8791-cyber_cognithor,autogen_agentchat:5;autogen_ext:2;ollama:2;agents:1
future-agi_future-agi,litellm:23;openai:8;langchain:3;anthropic:2;langchain_community:2;dspy:1;langchain_core:1;livekit:1
shellphish_artiphishell,openlit:74;langchain_core:33;langchain:14;litellm:8;langchain_openai:5;openai:4;langchain_anthropic:3;langchain_community:3;langchain_google_genai:2;together:1;langchain_together:1;anthropic:1;cohere:1;groq:1;mistralai:1
PlagueHO_microsoft-foundry-jumpstart,agent_framework:6;openai:2;semantic_kernel:2
Azure_multi-agent-doc-research,agent_framework:14;semantic_kernel:14;langchain:11;openai:6;graphrag:5
AzulClaw_AzulClaw-Core,agent_framework:14;openai:1
Azure_gpt-rag-orchestrator,agent_framework:29;openai:6
agentscope-ai_agentscope-runtime,dashscope:20;openai:14;langchain_core:7;langgraph:6;langchain:6;langchain_openai:5;agno:4;agent_framework:3;autogen_core:2;autogen_ext:1;autogen_agentchat:1
pratikxpanda_agentskills-sdk,agent_framework:11;langchain_core:5;langchain_openai:4;langchain:4
oracle_agent-spec,crewai:16;langgraph:15;langchain_core:14;langchain_openai:13;agents:13;autogen_agentchat:10;autogen_ext:9;langchain:8;autogen_core:5;agent_framework:4;langchain_ollama:4;openai:4;langchain_community:1;litellm:1
microsoft_promptflow,openai:53;agent_framework:50;langchain:8;langchain_community:1;langchain_core:1
Rishabh-Bajpai_Chanakya-Local-Friend,agent_framework:19;openai:1
microsoft_spec-to-agents,agent_framework:27
Azure-Samples_Prism-Transform-Data-into-Queryable-Knowledge,agent_framework:3;langchain_core:1;openai:1
neo4j-labs_neo4j-maf-provider,agent_framework:3;openai:1
microsoft_Multi-Agent-Custom-Automation-Engine-Solution-Accelerator,agent_framework:7;agents:4
Azure-Samples_agent-architecture-review-sample,agent_framework:2
Arindam200_awesome-ai-apps,openai:49;agno:34;langchain_core:21;agents:17;langchain_openai:9;langgraph:8;agent_framework:7;livekit:7;crewai:6;langchain:3;langchain_community:2;anthropic:2;pydantic_ai:2;together:1;autogen:1;litellm:1;ragas:1;phoenix:1;agentops:1;langchain_google_genai:1;autogen_ext:1;autogen_core:1;autogen_agentchat:1;camel:1;dspy:1;semantic_kernel:1;smolagents:1
aymenfurter_slidefinder,agent_framework:11
microsoft_content-generation-solution-accelerator,openai:4;agents:4;agent_framework:2
microsoft_Sico,agent_framework:27;openai:2;mem0:1
Qredence_agentic-fleet,agent_framework:46;dspy:29;openai:5;litellm:3
Yagami360_ai-product-dev-tips,langchain:16;openai:15;langgraph:6;deepeval:4;agent_framework:4;dspy:3;langchain_core:2;ollama:2;langchain_google_genai:1;langchain_ollama:1
victordibia_designing-multiagent-systems,openai:13;agent_framework:13;autogen_agentchat:9;autogen_ext:9;langchain_openai:8;autogen_core:7;langgraph:6;langchain_core:5;langchain:4;agents:1;pydantic_ai:1;semantic_kernel:1;anthropic:1
bonigarcia_context-engineering,openai:14;langchain_core:11;langchain_openai:11;agno:6;dspy:6;crewai:6;langgraph:6;agent_framework:6;langchain_community:5;haystack:4;pydantic_ai:4;semantic_kernel:3;anthropic:2;langchain_huggingface:1;langchain_ollama:1;mem0:1;agents:1;ragas:1;deepeval:1;langchain:1;litellm:1;parlant:1
microsoft_Prior-Authorization-Multi-Agent-Solution-Accelerator,agent_framework:5
microsoft_content-processing-solution-accelerator,agent_framework:20;openai:2;mem0:2
opinionated-systems_markspace,agent_framework:1
rhesis-ai_rhesis,langchain_core:24;agent_framework:12;haystack:12;langgraph:10;langchain_google_genai:10;litellm:9;pydantic_ai:7;deepeval:5;ragas:2;langchain:2;crewai:1;anthropic:1;openai:1;autogen:1
microsoft_agent-governance-toolkit,openai:14;agents:8;crewai:5;langchain_core:5;langchain:4;anthropic:3;autogen_core:3;semantic_kernel:3;litellm:3;langgraph:2;agent_framework:2;haystack:2;autogen_agentchat:2;langchain_community:1;swarm:1;mistralai:1;pydantic_ai:1;smolagents:1;autogen_ext:1;langchain_openai:1
UiPath_uipath-integrations-python,agent_framework:28;agents:20;pydantic_ai:13;openai:4;anthropic:2
getzep_zep,openai:15;autogen_core:13;pydantic_ai:12;langchain_core:11;livekit:9;agent_framework:8;autogen:7;crewai:7;langgraph:7;agents:5;autogen_ext:5;autogen_agentchat:5;anthropic:3;langchain_openai:2
microsoft_OpenAIWorkshop,agent_framework:19;agents:6;openai:6;autogen_agentchat:2;langgraph:1;langchain_openai:1;langchain_core:1;autogen_core:1;autogen_ext:1
Scottcjn_rustchain-bounties,langchain:4;anthropic:4;langgraph:2;agent_framework:2;agents:1;langchain_openai:1;langchain_core:1
microsoft_Build26-LAB520-get-started-with-models-in-microsoft-foundry-to-build-ai-apps,agent_framework:1
microsoft_Conversation-Knowledge-Mining-Solution-Accelerator,openai:4;agent_framework:3
microsoft_Agent365-python,langchain_core:6;agents:6;agent_framework:5;openai:4;langchain_openai:2;semantic_kernel:1
sola-st_RepairAgent,openai:6;langchain:2;agent_protocol:2;langchain_anthropic:1;anthropic:1
learntocloud_learn-to-cloud-app,openai:2;agent_framework:1
rush86999_atom,openai:8;langchain:2;litellm:2;ollama:1;cohere:1;anthropic:1
nduckmink_arkon,anthropic:1;openai:1
Azure-Samples_holiday-peak-hub,agent_framework:5
skynetcmd_m3-memory,agent_protocol:7;langchain_core:7;langgraph:6;pydantic_ai:6;crewai:5;mem0:2;langchain:1
RenqiChen_Virtual-Scientists-v2,camel:140;openai:29;agentops:13;anthropic:3;mistralai:3;litellm:2;cohere:1;ollama:1
ustc-ai4science_Science-Star,smolagents:15;openai:6;camel:3;mistralai:1;cohere:1;agentops:1;anthropic:1;litellm:1
Significant-Gravitas_AutoGPT,openai:38;replicate:8;anthropic:7;groq:3;mem0:1;ollama:1
af-74413592_DeepWerewolf,agentops:8;openai:5;litellm:2;autogen_ext:2;autogen_agentchat:2;agents:2;langgraph:2;langchain_community:2;langchain:2;langchain_core:2;autogen_core:1;langchain_openai:1
IBM_ibm-watsonx-orchestrate-adk,langgraph:3;langchain_core:3;langchain_openai:2;agentops:2
lupantech_AgentFlow,openai:9;agentops:6;litellm:2;anthropic:1;dashscope:1;ollama:1;together:1;autogen_ext:1
rysweet_amplihack,anthropic:3;agent_framework:2
lupantech_Eubiota,openai:14;agentops:6;litellm:2;anthropic:1;dashscope:1;ollama:1;together:1
Azure_agentops,agentops:164;agent_framework:1
LINs-lab_MASArena,agentops:13;langchain_core:11;langchain_openai:10;openai:8;langchain:7;langchain_community:1;langgraph:1
microsoft_agent-lightning,openai:23;agentops:9;litellm:7;langchain_core:5;autogen_core:5;autogen_agentchat:4;autogen_ext:4;langgraph:3;langchain:3;agents:3;crewai:3;langchain_community:2;anthropic:1;langchain_openai:1
Skyvern-AI_skyvern,agents:26;litellm:17;openai:10;anthropic:3
agentstack-ai_AgentStack,agentops:15;crewai:13;langchain:3;langgraph:3;swarm:3;mem0:2;langchain_anthropic:2;langchain_openai:2;autogen:1;anthropic:1
timbal-ai_timbal,openai:10;langgraph:7;langchain_core:7;anthropic:6;agno:4;crewai:4;agents:3;langchain:2;agentops:1;pydantic_ai:1
sahiee-dev_Tesserae,langchain_core:2;langchain:1;langchain_openai:1
apache_airflow,pydantic_ai:50;vertexai:8;langchain_core:4;openai:4;langchain:3;cohere:2;langchain_community:2;anthropic:1
kyryl-opens-ml_ml-in-production-practice,openai:5;agentops:2;agents:1
meth04_vn_stock_rag,crewai:8;ragas:2;langchain_google_genai:2;langchain_core:1;agents:1;mistralai:1
MervinPraison_PraisonAI-Tools,openai:7;litellm:2;anthropic:2;agentops:1;phoenix:1;openlit:1;opik:1;mem0:1;replicate:1
getsentry_sentry,honcho:2
AgentToolkit_agent-mentor,langgraph:8;langchain_core:6;crewai:5;langchain_openai:2;openai:1;litellm:1
techloset_agentic-ai,agents:57;openai:54;langchain_google_genai:30;langgraph:22;crewai:20;langchain:17;langchain_core:16;langchain_community:12;langchain_openai:7;litellm:2;langchain_huggingface:1
Scale3-Labs_langtrace-python-sdk,openai:26;langchain_openai:11;crewai:11;cohere:10;dspy:10;langchain_core:9;langchain:6;agents:3;langchain_anthropic:3;langchain_community:3;langgraph:3;mistralai:3;anthropic:2;langchain_ollama:2;langchain_cohere:2;groq:2;autogen:1;langchain_aws:1;langchain_google_genai:1;litellm:1;ollama:1;vertexai:1
LeapLabTHU_cooragent,langchain_core:8;langgraph:7;langchain:5;langchain_community:3;dashscope:2;langchain_deepseek:1;langchain_openai:1;langchain_experimental:1
run-llama_llama_index,openai:40;cohere:8;vertexai:8;langchain:7;langchain_core:4;ollama:4;anthropic:4;dashscope:3;litellm:3;zhipuai:3;mistralai:2;semantic_kernel:1;haystack:1;langchain_community:1;agentops:1;phoenix:1;opik:1;langchain_openai:1;replicate:1;mem0:1
Arize-ai_openinference,openai:65;beeai_framework:25;langchain_core:22;anthropic:21;vertexai:19;agno:18;phoenix:15;haystack:15;mistralai:14;smolagents:14;langchain_openai:13;litellm:13;agents:12;autogen_ext:11;autogen_agentchat:10;crewai:9;dspy:9;langchain:9;together:8;groq:7;langgraph:5;ollama:5;agent_framework:4;autogen_core:4;langchain_community:4;openlit:4;pydantic_ai:4;langchain_google_vertexai:2;semantic_kernel:2;autogen:1;langchain_google_genai:1;langchain_experimental:1;langchain_anthropic:1;langchain_aws:1
zyhuang-gif_agent_project,langchain_core:10;langchain_community:4;langgraph:3;dashscope:2;openai:1;langchain_ollama:1;langchain_deepseek:1
cisco-ai-defense_ai-defense-python-sdk,openai:11;langchain_core:8;crewai:5;vertexai:4;langchain_openai:3;cohere:2;mistralai:2;langchain_google_genai:2;langchain_google_vertexai:2;litellm:1;autogen:1;langgraph:1;langchain_aws:1
cloudera_CAI_STUDIO_AGENT,crewai:12;phoenix:1;litellm:1
CoDS-GCS_Chatty-KG,langchain:12;langchain_core:10;langchain_openai:7;langchain_deepseek:3;langchain_google_vertexai:3;langchain_community:3;langgraph:2;vertexai:1;langchain_ollama:1
EpicStaff_EpicStaff,graphrag:229;crewai:140;mem0:63;langchain:52;openai:26;langchain_community:22;litellm:20;langgraph:17;langchain_core:9;langchain_openai:5;agentops:4;ollama:4;langchain_aws:2;langchain_cohere:2;langchain_mistralai:2;langchain_nvidia_ai_endpoints:2;langchain_google_vertexai:2;together:2;langchain_huggingface:1;langchain_anthropic:1;langchain_groq:1;langchain_together:1;vertexai:1;anthropic:1;groq:1
szczyglis-dev_py-gpt,agents:30;openai:14;anthropic:4;langchain_core:1;mistralai:1;ollama:1
sourangshupal_Agentic-RAG-project,langchain_core:14;langgraph:10;openai:2;langchain_aws:1;langchain_ollama:1;langchain_openai:1
kyaukyuai_gpt-all-star,langchain_core:24;langgraph:2;langchain:2;langchain_community:2;langchain_anthropic:1;openai:1;langchain_openai:1
The-Swarm-Corporation_swarms-client,
microsoft_Agents-for-python,agents:3;openai:2
vstorm-co_pydantic-deepagents,pydantic_ai:105
srtab_daiv,langchain_core:69;langchain:40;langgraph:27;langchain_openai:3;openai:3;langchain_anthropic:3;anthropic:2;langchain_community:1
UiPath_uipath-langchain-python,langchain_core:159;langgraph:102;langchain:38;langchain_anthropic:13;langchain_openai:5;openai:4;langchain_community:2;langchain_experimental:2;langchain_aws:2;langchain_google_genai:2;agents:2
ascending-llc_jarvis-registry,agno:25;langchain_core:9;langchain_aws:2
erfanzar_Xerxes-Agents,
cuga-project_cuga-agent,langchain_core:190;langgraph:37;langchain_openai:8;langchain_groq:4;langchain_google_genai:2;litellm:2;openai:2;langchain:1;langchain_ollama:1;openlit:1
Larens94_codedna,agno:9;openai:5;anthropic:4;litellm:1
snowsky_yourfinanceworks,litellm:12;langchain_community:7;langchain_ollama:7;langchain_core:5;langchain_openai:3;langchain_anthropic:3;ollama:1
fwornle_agentic-ai-nano,langchain:32;langgraph:13;crewai:10;agno:9;langchain_openai:3;pydantic_ai:3;ragas:2;langchain_core:2;langchain_experimental:1;agents:1
ezyang_codemcp,agno:1
neatlogs_neatlogs,crewai:22;openai:20;langchain_core:15;langchain_openai:12;agents:10;langgraph:9;anthropic:5;langchain_community:4;dspy:4;litellm:4;langchain_google_genai:3;agno:3;pydantic_ai:3;langchain_cohere:2;langchain_aws:1;langchain:1
Sumanth077_Hands-On-AI-Engineering,langchain_core:16;openai:14;agno:11;mistralai:10;langchain_community:9;crewai:9;agents:8;langchain_mistralai:7;langgraph:5;langchain_openai:4;langchain:4;langchain_google_genai:2;haystack:2;autogen:2;smolagents:2;mem0:1;ollama:1;langchain_ollama:1;cohere:1
Shubhamsaboo_awesome-llm-apps,agno:105;agents:59;openai:26;langchain:20;langchain_core:15;langchain_openai:12;langchain_community:11;langgraph:8;mem0:6;autogen:5;anthropic:5;langchain_google_genai:3;pydantic_ai:3;crewai:2;langchain_ollama:2;ollama:2;litellm:2;langchain_anthropic:2;together:2;agency_swarm:1;groq:1;headroom:1;dspy:1;langchain_cohere:1;cohere:1
benseverndev-oss_goldenmatch,openai:15;anthropic:5;graphrag:1
mindroom-ai_mindroom,agno:351;openai:20;anthropic:11;livekit:5;mem0:4
manthanguptaa_water,openai:4;anthropic:3;agno:1;crewai:1;langchain:1;langchain_openai:1
GetBindu_Bindu,agno:31;langchain_openai:3;autogen:2;langchain_core:2;langgraph:2;dspy:1;agents:1
mongodb_motor,
ValueCell-ai_valuecell,agno:13
NVIDIA_NeMo-Agent-Toolkit,langchain_core:94;langgraph:26;langchain_community:6;litellm:6;haystack:5;semantic_kernel:5;autogen_core:5;ragas:5;agno:4;openai:4;langchain_nvidia_ai_endpoints:4;crewai:3;langchain_openai:3;autogen_agentchat:2;autogen_ext:2;langchain_huggingface:2;mem0:2;phoenix:2;langchain_aws:1
BerriAI_litellm,litellm:3819;openai:176;anthropic:7;vertexai:7;langchain_openai:2;opik:1;mistralai:1;langgraph:1;langchain_community:1;langchain_core:1
justinlietz93_Cogito,agno:2;anthropic:2;openai:1
MemoriLabs_Memori,openai:24;agno:12;langchain_core:12;anthropic:9;langchain_google_genai:5;langchain_aws:4;langchain_openai:4;litellm:2;langchain_community:2;langchain_google_vertexai:1
Rimuwu_DinoGochi,openai:3
sunnypilot_sunnypilot,
bibinprathap_VeritasGraph,openai:5;agno:4;graphrag:2;ollama:2;litellm:1;groq:1;anthropic:1
NuGuardAI_nuguard,langchain_core:7;langchain_openai:6;vertexai:5;litellm:4;langgraph:4;agents:4;langchain_anthropic:3;crewai:2;openai:2;langchain:2;langchain_community:2;autogen:1
dhruv-ahuja_backend_burger,
conveyordata_data-product-portal,agno:1
accelero-cloud_appkernel,
braintrustdata_braintrust-sdk-python,openai:14;langchain_core:9;anthropic:7;litellm:7;pydantic_ai:7;agno:6;dspy:6;crewai:5;langchain_openai:5;agents:4;autogen_agentchat:3;cohere:3;langchain_anthropic:3;mistralai:3;autogen_ext:2;livekit:2;autogen_core:1;langgraph:1;langchain:1
BluePilotDev_bluepilot,
AdventurePilotDev_AdventurePilot,
Checkmk_checkmk,agents:5
adafruit_Adafruit_Blinka,
hasanmehediii_CSE-2216-Project,
uriyyo_fastapi-pagination,
soliplex_soliplex,pydantic_ai:30
semantica-agi_semantica,agno:4;openai:4;litellm:1;ollama:1;groq:1;anthropic:1
chattermate_chattermate.chat,agno:39;agents:1
ggozad_haiku.rag,pydantic_ai:28;cohere:2;anthropic:1
Serverless-Devs_agentrun-sdk-python,langchain_core:10;langchain:9;litellm:6;langchain_openai:4;langgraph:3;crewai:3;openai:2;langchain_deepseek:2;pydantic_ai:2
TencentBlueKing_bk-aidev-agent,langchain_core:107;langgraph:46;openai:6;langchain_openai:4;langchain:2
alibaba_loongsuite-python,langchain_core:25;openai:13;litellm:11;dashscope:9;agents:8;langchain_openai:7;anthropic:7;vertexai:7;crewai:7;langchain:4;langgraph:4;agno:3;agent_framework:3;mem0:2;langchain_google_genai:1;langchain_aws:1;langchain_community:1
YasodGinige_AutoPentester,openai:8;langchain:4;langchain_openai:3;langchain_community:3;langchain_core:3;anthropic:1
Wh1isper_ya-mono,pydantic_ai:207;openai:4;anthropic:1
agentscope-ai_agentscope,openai:8;dashscope:5;mem0:4;ollama:2;anthropic:1
Cisco-Talos_PEAK-Assistant,autogen_agentchat:13;autogen_core:5;autogen_ext:3;anthropic:1;openai:1
gizmax_Sandcastle,anthropic:2;mem0:1
ccbogel_QualCoder,langchain_core:2;langchain_community:2;langchain_openai:1;openai:1
hepai-lab_hepai,openai:30;anthropic:10;autogen_agentchat:7;autogen_core:5;autogen_ext:5
mpfaffenberger_code_puppy,pydantic_ai:86;anthropic:6;openai:3
mutx-dev_mutx-dev,langchain_core:6;openai:6;langchain_openai:3;langchain:3;autogen:2;crewai:2;langchain_ollama:2;anthropic:2;langchain_anthropic:1;langchain_huggingface:1;dspy:1
mycustomai_ACES,langchain_core:10;anthropic:7;openai:6;langchain_google_genai:3;langchain_anthropic:2;langchain_openai:2;langchain_aws:1;langchain_huggingface:1;langchain:1
maseval_MASEval,smolagents:10;langchain_core:9;langgraph:8;openai:7;litellm:5;anthropic:3;langchain_google_genai:2;camel:2;langchain_openai:1
vertelab_odoo-ai,langchain_core:27;langchain_community:11;langchain:10;langgraph:4;langchain_openai:3;langchain_anthropic:1;langchain_mistralai:1;openai:1;anthropic:1;langchain_ollama:1;mistralai:1
wandb_weave,openai:15;litellm:10;agents:8;langchain_core:5;dspy:4;anthropic:3;autogen_ext:2;cohere:2;crewai:2;groq:2;mistralai:2;vertexai:2;autogen_core:1;autogen_agentchat:1;langchain_google_genai:1;langchain_google_vertexai:1;langchain_cohere:1;langchain_community:1;langchain_anthropic:1;langchain_openai:1;langchain:1;langchain_nvidia_ai_endpoints:1;smolagents:1
EDEAI_NexusAI,openai:21;langchain_core:16;langchain_community:8;zhipuai:5;agents:2;langchain_openai:2;anthropic:2;langchain_huggingface:1;langchain_groq:1;langchain_nvidia_ai_endpoints:1;langchain_aws:1;langchain_anthropic:1;langchain_google_genai:1;langchain_mistralai:1;langchain_cohere:1;dashscope:1;mistralai:1
microsoft_semanticworkbench,openai:99;semantic_kernel:12;anthropic:5;smolagents:5;pydantic_ai:3
iii-org_akasha,langchain_core:53;langchain_community:10;langchain:4;langchain_openai:4;langchain_huggingface:2;anthropic:2;openai:2;langchain_anthropic:2;langchain_google_genai:2;langchain_ollama:2;langgraph:1;langchain_experimental:1
open-jarvis_OpenJarvis,openai:10;anthropic:6;mistralai:1;litellm:1;dspy:1
ggozad_oterm,pydantic_ai:24;ollama:4;openai:1;mistralai:1;anthropic:1;cohere:1
wenhaochai_aurora,openai:28;anthropic:7;lagent:2;dashscope:1;dspy:1;litellm:1;vertexai:1
mozilla-ai_agent-factory,any_agent:21;litellm:7;openai:1
mozilla-ai_surf-spot-finder,any_agent:7;litellm:2;langchain_core:1
mozilla-ai_mcpd-sdk-python,pydantic_ai:2;any_agent:1
gptme_gptme,anthropic:7;openai:6;dspy:6
kagenti_adk,openai:23;beeai_framework:8
i-am-bee_agentstack,openai:25;beeai_framework:23;langchain_core:4;langchain_openai:2;langchain:1;langgraph:1
FreedomIntelligence_OpenClaw-Medical-Skills,langchain_core:31;langchain_openai:12;langgraph:11;langchain_anthropic:10;openai:7;langchain_community:5;agents:4;anthropic:3;langchain:2;litellm:2;pydantic_ai:1;langchain_aws:1;langchain_ollama:1
