import_name,distinct_repos_matched,kept_candidates,n_source_frameworks,source_frameworks
sessions,1070,32,1,Intelligent-Internet/ii-agent
utils,1012,6,4,Intelligent-Internet/ii-agent; langchain-ai/langgraph; patched-codes/patchwork; polyuiislab/infiAgent
websocket_server,1002,7,1,TEN-framework/ten-framework
langchain_qdrant,991,11,1,langchain-ai/langchain
_internal,988,25,1,langchain-ai/langgraph
agno,971,41,1,AgentOps-AI/agentops
services,971,12,4,ZHangZHengEric/Sage; camel-ai/camel; mozilla-ai/any-agent; polyuiislab/infiAgent
minimax,970,8,1,livekit/agents
sitemap,964,22,1,dot-agent/nextpy
bey,939,31,1,livekit/agents
e2e,936,64,1,headroomlabs-ai/headroom
dalle,877,21,1,dot-agent/nextpy
cerebras,875,42,1,livekit/agents
langgraph_sdk,872,15,1,langchain-ai/langgraph
_bundle,868,39,1,lavague-ai/LaVague
clai,863,49,1,pydantic/pydantic-ai
astrbot,847,28,1,AstrBotDevs/AstrBot
web,825,8,1,simonlin1212/TradingAgents-astock
langchain_deepseek,823,17,1,langchain-ai/langchain
langchain_fireworks,800,11,1,langchain-ai/langchain
pregel,794,16,1,langchain-ai/langgraph
did,785,52,1,livekit/agents
baseten,762,18,1,livekit/agents
langchain_xai,761,13,1,langchain-ai/langchain
graphrag,758,27,1,microsoft/autogen
keyframe,757,40,1,livekit/agents
v4,736,8,1,AgentOps-AI/agentops
autogen_core,734,23,1,microsoft/autogen
agent_framework,726,39,1,microsoft/agent-framework
autogen_agentchat,705,24,1,microsoft/autogen
langchain_perplexity,699,5,1,langchain-ai/langchain
sarvam,683,16,1,livekit/agents
clova,677,2,1,livekit/agents
managed,669,47,1,langchain-ai/langgraph
agentops,666,23,1,AgentOps-AI/agentops
rss,662,19,1,dot-agent/nextpy
fireworksai,655,8,1,livekit/agents
web_scraper,649,5,1,camel-ai/camel
minimal,641,31,1,livekit/agents
conformance,636,48,1,langchain-ai/langgraph
asyncai,634,22,1,livekit/agents
mattermost,621,46,1,AstrBotDevs/AstrBot
smolagents,618,26,1,AgentOps-AI/agentops
autogen_ext,611,18,1,microsoft/autogen
prebuilt,607,29,1,langchain-ai/langgraph
clingo,574,19,1,TEN-framework/ten-framework
use_cases,566,5,1,SylphAI-Inc/AdalFlow
durable,530,44,1,livekit/agents
task_scheduler,525,14,1,ZHangZHengEric/Sage
strategies,523,6,1,AstrBotDevs/AstrBot
notte,497,16,1,nottelabs/notte
honcho,496,15,1,plastic-labs/honcho
runway,494,8,1,livekit/agents
hume,490,20,1,livekit/agents
semantic_kernel,480,9,1,microsoft/autogen
silero,472,11,1,livekit/agents
langchain_classic,461,9,1,langchain-ai/langchain
swarms,460,9,1,kyegomez/swarms
patchwork,438,9,1,patched-codes/patchwork
speak,428,1,1,camel-ai/camel
swarm,413,6,1,openai/swarm
v1,411,4,1,AgentOps-AI/agentops
langchain_openrouter,398,5,1,langchain-ai/langchain
ultravox,386,19,1,livekit/agents
murf,386,4,1,livekit/agents
pprof,385,10,1,TEN-framework/ten-framework
skills,384,22,1,Intelligent-Internet/ii-agent
search,383,7,1,ZHangZHengEric/Sage
xai,355,19,1,livekit/agents
tradingagents,346,4,1,simonlin1212/TradingAgents-astock
code_execution,337,42,1,microsoft/autogen
dynamiq,333,4,1,dynamiq-ai/dynamiq
agui,330,32,1,cheshire-cat-ai/core
uagents_core,328,2,1,fetchai/uAgents
subagents,312,30,1,openonion/connectonion
blingfire,311,4,1,livekit/agents
langchain_nomic,307,2,1,langchain-ai/langchain
_skills,300,18,1,agent0ai/agent-zero
pydantic_graph,283,16,1,pydantic/pydantic-ai
coursera,274,3,1,camel-ai/camel
serde,271,5,1,langchain-ai/langgraph
graph_db,267,10,1,samugit83/redamon
sia,260,1,1,hexo-ai/sia
video_analysis,252,2,1,ZHangZHengEric/Sage
simple_web,246,5,1,dot-agent/nextpy
omnigent,244,25,1,omnigent-ai/omnigent
pydantic_evals,237,18,1,pydantic/pydantic-ai
tutorials,236,5,1,SylphAI-Inc/AdalFlow
speechmatics,233,9,1,livekit/agents
anam,229,3,1,livekit/agents
google_genai,223,11,1,AgentOps-AI/agentops
gladia,217,11,1,livekit/agents
rime,206,18,1,livekit/agents
fishaudio,200,10,1,livekit/agents
metagpt,198,9,1,FoundationAgents/MetaGPT
jockey,192,0,1,AgentOps-AI/agentops
langchain_tests,183,21,1,langchain-ai/langchain
lagent,183,15,1,InternLM/lagent
openai_agents,182,18,1,AgentOps-AI/agentops
headroom,180,13,1,headroomlabs-ai/headroom
agency_swarm,180,2,1,VRSEN/agency-swarm
sandboxes,170,8,1,Intelligent-Internet/ii-agent
simple_chat,155,8,1,dot-agent/nextpy
lmnt,151,7,1,livekit/agents
tavus,150,7,1,livekit/agents
t2i,146,8,1,AstrBotDevs/AstrBot
agent_protocol,141,6,1,agi-inc/agent-protocol
plugin_test,134,5,1,superduper-io/superduper
soniox,132,10,1,livekit/agents
ag2,128,12,1,AgentOps-AI/agentops
create_qr_code,127,3,1,camel-ai/camel
beeai_framework,121,9,1,i-am-bee/beeai-framework
langchain_exa,121,5,1,langchain-ai/langchain
async_web,121,1,1,dot-agent/nextpy
telnyx,116,9,1,livekit/agents
simli,116,4,1,livekit/agents
griptape,115,3,1,griptape-ai/griptape
autoscrum,112,0,1,dot-agent/nextpy
neuphonic,102,6,1,livekit/agents
krisp,101,7,1,livekit/agents
resemble,101,7,1,livekit/agents
agent_framework_foundry_hosting,98,3,1,microsoft/agent-framework
inworld,95,11,1,livekit/agents
gradium,89,6,1,livekit/agents
google_adk,86,6,1,AgentOps-AI/agentops
langgraph_cli,84,2,1,langchain-ai/langgraph
adalflow,81,4,1,SylphAI-Inc/AdalFlow
pentestagent,81,3,1,GH05TCREW/pentestagent
esearch,79,2,1,dot-agent/nextpy
autogenstudio,74,2,1,microsoft/autogen
agent_framework_ag_ui,67,1,1,microsoft/agent-framework
superagi,64,0,1,TransformerOptimus/SuperAGI
hedra,63,2,1,livekit/agents
agent_framework_devui,60,2,1,microsoft/agent-framework
deepteam,56,5,1,confident-ai/deepteam
agent_protocol_client,54,0,1,agi-inc/agent-protocol
liveavatar,51,4,1,livekit/agents
pentestgpt,50,2,1,GreyDGL/PentestGPT
langchain_model_profiles,48,1,1,langchain-ai/langchain
praisonai,48,1,1,MervinPraison/PraisonAI
spitch,47,0,1,livekit/agents
agbench,45,1,1,microsoft/autogen
agent_framework_orchestrations,43,5,1,microsoft/agent-framework
anytool,41,11,1,ZHangZHengEric/Sage
uagents_adapter,41,1,1,fetchai/uAgents
agent_framework_openai,40,3,1,microsoft/agent-framework
speechify,40,1,1,livekit/agents
agent_framework_foundry,38,3,1,microsoft/agent-framework
smallestai,37,4,1,livekit/agents
blockguard,36,0,1,livekit/agents
klarna,33,2,1,camel-ai/camel
fashionai,33,0,1,TEN-framework/ten-framework
cartesia_tts,32,2,1,TEN-framework/ten-framework
salesGPT,32,0,1,dot-agent/nextpy
any_agent,31,3,1,mozilla-ai/any-agent
agent_framework_redis,31,2,1,microsoft/agent-framework
autogen_test_utils,29,1,1,microsoft/autogen
bithuman,29,0,1,livekit/agents
agent_framework_a2a,28,2,1,microsoft/agent-framework
image_providers,28,1,1,ZHangZHengEric/Sage
nextpy,28,0,1,dot-agent/nextpy
superduper,28,0,1,superduper-io/superduper
lemonslice,27,3,1,livekit/agents
rest_api_server,26,3,1,dot-agent/nextpy
cambai,24,4,1,livekit/agents
agent_framework_mem0,23,1,1,microsoft/agent-framework
agent_framework_copilotstudio,22,1,1,microsoft/agent-framework
pyautogen,21,2,1,microsoft/autogen
agent_framework_declarative,21,1,1,microsoft/agent-framework
agent_framework_lab_gaia,21,1,1,microsoft/agent-framework
agent_framework_lab_lightning,21,1,1,microsoft/agent-framework
agent_framework_lab_tau2,20,1,1,microsoft/agent-framework
agent_framework_purview,20,1,1,microsoft/agent-framework
notte_sdk,19,3,1,nottelabs/notte
agent_framework_anthropic,19,2,1,microsoft/agent-framework
turn_detector,19,0,1,livekit/agents
connectonion,18,1,1,openonion/connectonion
crewai_files,18,0,1,crewAIInc/crewAI
agent_framework_foundry_local,17,1,1,microsoft/agent-framework
phonic,17,1,1,livekit/agents
ragaai_catalyst,17,1,1,raga-ai-hub/RagaAI-Catalyst
agent_squad,17,0,1,2FastLabs/agent-squad
llmstack,17,0,1,trypromptly/LLMStack
nasa_apod,17,0,1,camel-ai/camel
agent_framework_chatkit,16,1,1,microsoft/agent-framework
agent_framework_github_copilot,16,1,1,microsoft/agent-framework
agent_framework_ollama,16,1,1,microsoft/agent-framework
LightAgent,16,0,1,wanxingai/LightAgent
biztoc,15,2,1,camel-ai/camel
agent_framework_azurefunctions,15,1,1,microsoft/agent-framework
ollama_python,15,0,1,TEN-framework/ten-framework
npcpy,14,2,1,NPC-Worldwide/npcpy
agent_framework_claude,14,1,1,microsoft/agent-framework
avatartalk,13,0,1,livekit/agents
xpander,13,0,1,AgentOps-AI/agentops
prd_agent,12,1,1,dot-agent/nextpy
trufflehog_scan,12,1,1,samugit83/redamon
agent_framework_azure_ai_search,11,2,1,microsoft/agent-framework
agent_framework_bedrock,11,1,1,microsoft/agent-framework
concurrent_futures,11,1,1,AgentOps-AI/agentops
web_surfer,11,1,1,microsoft/autogen
deepgram_tts,11,0,1,TEN-framework/ten-framework
gperftools,11,0,1,TEN-framework/ten-framework
ii_agent,11,0,1,Intelligent-Internet/ii-agent
agent_framework_azure_cosmos,10,2,1,microsoft/agent-framework
agent_framework_durabletask,10,2,1,microsoft/agent-framework
agent_framework_ag_ui_examples,10,1,1,microsoft/agent-framework
respeecher,10,0,1,livekit/agents
agent_evals,9,0,1,headroomlabs-ai/headroom
agent_framework_gemini,9,0,1,microsoft/agent-framework
rime_tts,9,0,1,TEN-framework/ten-framework
context_strategy,8,1,1,patched-codes/patchwork
polly_tts,8,0,1,TEN-framework/ten-framework
rtzr,8,0,1,livekit/agents
ten_runtime,8,0,1,TEN-framework/ten-framework
computer_tools,7,1,1,AstrBotDevs/AstrBot
infiagent,7,1,1,polyuiislab/infiAgent
avatario,7,0,1,livekit/agents
demogpt,7,0,1,melih-unsal/DemoGPT
llm_eval_plotly,7,0,1,dot-agent/nextpy
nextpy_chat,7,0,1,dot-agent/nextpy
orchestrator_helpers,7,0,1,samugit83/redamon
agent_framework_hyperlight,6,0,1,microsoft/agent-framework
agentuniverse,6,0,1,agentuniverse-ai/agentUniverse
bytedance_tts_duplex,6,0,1,TEN-framework/ten-framework
crewai_devtools,6,0,1,crewAIInc/crewAI
cypherfix_codefix,6,0,1,samugit83/redamon
cypherfix_triage,6,0,1,samugit83/redamon
fish_audio_tts_python,6,0,1,TEN-framework/ten-framework
github_secret_hunt,6,0,1,samugit83/redamon
gnani,6,0,1,livekit/agents
gvm_scan,6,0,1,samugit83/redamon
minimax_tts_websocket_python,6,0,1,TEN-framework/ten-framework
stepfun_tts_python,6,0,1,TEN-framework/ten-framework
omnigent_client,5,0,1,omnigent-ai/omnigent
openakita,5,0,1,openakita/openakita
sagents,5,0,1,ZHangZHengEric/Sage
graphql_scan,4,1,1,samugit83/redamon
agent_framework_azure_contentunderstanding,4,0,1,microsoft/agent-framework
aliyun_asr,4,0,1,TEN-framework/ten-framework
conversation_recorder,4,0,1,TEN-framework/ten-framework
crewai_cli,4,0,1,crewAIInc/crewAI
crewai_core,4,0,1,crewAIInc/crewAI
headroom_oauth2,4,0,1,headroomlabs-ai/headroom
honcho_cli,4,0,1,plastic-labs/honcho
notte_core,4,0,1,nottelabs/notte
simplismart,4,0,1,livekit/agents
tencent_tts_python,4,0,1,TEN-framework/ten-framework
agent_framework_tools,3,0,1,microsoft/agent-framework
gemini_tts_python,3,0,1,TEN-framework/ten-framework
letsfg,3,0,1,LetsFG/LetsFG
main_recon_modules,3,0,1,samugit83/redamon
media_ai,3,0,1,openakita/openakita
media_report,3,0,1,openakita/openakita
neuphonic_tts,3,0,1,TEN-framework/ten-framework
notte_agent,3,0,1,nottelabs/notte
openai_tts2_python,3,0,1,TEN-framework/ten-framework
pytest_ten,3,0,1,TEN-framework/ten-framework
simple_crud,3,0,1,dot-agent/nextpy
slng,3,0,1,livekit/agents
agent_framework_mistral,2,0,1,microsoft/agent-framework
agent_framework_monty,2,0,1,microsoft/agent-framework
config_portal,2,0,1,SolaceLabs/solace-agent-mesh
cz_commitizen,2,0,1,i-am-bee/beeai-framework
humeai_tts_python,2,0,1,TEN-framework/ten-framework
notte_browser,2,0,1,nottelabs/notte
notte_eval,2,0,1,nottelabs/notte
notte_integrations,2,0,1,nottelabs/notte
omnigent_ui_sdk,2,0,1,omnigent-ai/omnigent
openakita_plugin_sdk,2,0,1,openakita/openakita
ten_vad_python,2,0,1,TEN-framework/ten-framework
upliftai,2,0,1,livekit/agents
protoface,1,1,1,livekit/agents
agent_framework_hosting,1,0,1,microsoft/agent-framework
agent_framework_hosting_responses,1,0,1,microsoft/agent-framework
agentuniverse_product,1,0,1,agentuniverse-ai/agentUniverse
blaze_stt_python,1,0,1,TEN-framework/ten-framework
blaze_tts_python,1,0,1,TEN-framework/ten-framework
bytedance_asr,1,0,1,TEN-framework/ten-framework
bytedance_llm_based_asr,1,0,1,TEN-framework/ten-framework
file_surfer,1,0,1,microsoft/autogen
gridx_portfolio,1,0,1,dot-agent/nextpy
ii_agent_tools,1,0,1,Intelligent-Internet/ii-agent
ii_server,1,0,1,Intelligent-Internet/ii-agent
im_server,1,0,1,ZHangZHengEric/Sage
magentic_one,1,0,1,microsoft/autogen
media_fetchers,1,0,1,openakita/openakita
media_inline,1,0,1,openakita/openakita
murf_tts_python,1,0,1,TEN-framework/ten-framework
nvidia_riva_tts_python,1,0,1,TEN-framework/ten-framework
openai_gpt_image_python,1,0,1,TEN-framework/ten-framework
oracle_asr_python,1,0,1,TEN-framework/ten-framework
oracle_tts_python,1,0,1,TEN-framework/ten-framework
pentestgpt_legacy,1,0,1,GreyDGL/PentestGPT
quoted_message,1,0,1,AstrBotDevs/AstrBot
simple_animation,1,0,1,dot-agent/nextpy
tongyi_inline,1,0,1,openakita/openakita
tool_server_lite,1,0,1,polyuiislab/infiAgent
whisper_stt_python,1,0,1,TEN-framework/ten-framework
xai_asr_python,1,0,1,TEN-framework/ten-framework
xai_tts_python,1,0,1,TEN-framework/ten-framework
agent_framework_hosting_telegram,0,0,1,microsoft/agent-framework
agent_framework_meta,0,0,1,microsoft/agent-framework
agentuniverse_connector,0,0,1,agentuniverse-ai/agentUniverse
agentuniverse_extension,0,0,1,agentuniverse-ai/agentUniverse
ai_attack_surface_scan,0,0,1,samugit83/redamon
aio_http_server_python,0,0,1,TEN-framework/ten-framework
aliyun_asr_bigmodel_python,0,0,1,TEN-framework/ten-framework
anam_avatar_python,0,0,1,TEN-framework/ten-framework
asr_guarder,0,0,1,TEN-framework/ten-framework
assemblyai_asr_python,0,0,1,TEN-framework/ten-framework
audio_file_player_python,0,0,1,TEN-framework/ten-framework
aws_asr_python,0,0,1,TEN-framework/ten-framework
azure_asr_python,0,0,1,TEN-framework/ten-framework
azure_mllm_python,0,0,1,TEN-framework/ten-framework
azure_tts_python,0,0,1,TEN-framework/ten-framework
beautiful_soup_web,0,0,1,dot-agent/nextpy
bedrock_llm_python,0,0,1,TEN-framework/ten-framework
bingsearch_tool_python,0,0,1,TEN-framework/ten-framework
component_schema_gen,0,0,1,microsoft/autogen
computer_tool_python,0,0,1,TEN-framework/ten-framework
cosy_tts_python,0,0,1,TEN-framework/ten-framework
coze_llm2_python,0,0,1,TEN-framework/ten-framework
deepgram_asr_python,0,0,1,TEN-framework/ten-framework
deepgram_ws_asr_python,0,0,1,TEN-framework/ten-framework
default_asr_extension_python,0,0,1,TEN-framework/ten-framework
default_async_extension_python,0,0,1,TEN-framework/ten-framework
default_extension_python,0,0,1,TEN-framework/ten-framework
default_llm_extension_python,0,0,1,TEN-framework/ten-framework
default_mllm_extension_python,0,0,1,TEN-framework/ten-framework
default_tts_extension_python,0,0,1,TEN-framework/ten-framework
demogpt_agenthub,0,0,1,melih-unsal/DemoGPT
dify_llm2_python,0,0,1,TEN-framework/ten-framework
dingtalk_bot_tool_python,0,0,1,TEN-framework/ten-framework
dubverse_tts,0,0,1,TEN-framework/ten-framework
elevenlabs_asr_python,0,0,1,TEN-framework/ten-framework
elevenlabs_tts2_python,0,0,1,TEN-framework/ten-framework
ezai_asr,0,0,1,TEN-framework/ten-framework
faiss_impl,0,0,1,AstrBotDevs/AstrBot
gemini_llm2_python,0,0,1,TEN-framework/ten-framework
gemini_mllm_python,0,0,1,TEN-framework/ten-framework
generic_video_python,0,0,1,TEN-framework/ten-framework
giskard_pypi_shim,0,0,1,Giskard-AI/giskard-oss
gladia_asr_python,0,0,1,TEN-framework/ten-framework
glm_mllm_python,0,0,1,TEN-framework/ten-framework
glue_python_async,0,0,1,TEN-framework/ten-framework
google_asr_python,0,0,1,TEN-framework/ten-framework
google_tts_python,0,0,1,TEN-framework/ten-framework
gradium_asr_python,0,0,1,TEN-framework/ten-framework
gradium_tts_python,0,0,1,TEN-framework/ten-framework
grok_python,0,0,1,TEN-framework/ten-framework
groq_tts_python,0,0,1,TEN-framework/ten-framework
headroom_retrieve,0,0,1,headroomlabs-ai/headroom
heygen_avatar_python,0,0,1,TEN-framework/ten-framework
inworld_tts_python,0,0,1,TEN-framework/ten-framework
magentic_one_cli,0,0,1,microsoft/autogen
mcp_client_python,0,0,1,TEN-framework/ten-framework
message_collector2,0,0,1,TEN-framework/ten-framework
multiturn_strategy,0,0,1,patched-codes/patchwork
notte_llm,0,0,1,nottelabs/notte
notte_mcp,0,0,1,nottelabs/notte
obsidian_wiki,0,0,1,Ar9av/obsidian-wiki
oceanbase_powerrag_python,0,0,1,TEN-framework/ten-framework
olayer,0,0,1,AstrBotDevs/AstrBot
openai_asr_python,0,0,1,TEN-framework/ten-framework
openai_image_generate_tool,0,0,1,TEN-framework/ten-framework
openai_llm2_python,0,0,1,TEN-framework/ten-framework
openai_mllm_python,0,0,1,TEN-framework/ten-framework
openclaw_gateway_tool_python,0,0,1,TEN-framework/ten-framework
outschool,0,0,1,camel-ai/camel
partial_recon_modules,0,0,1,samugit83/redamon
pcm_file_reader_python,0,0,1,TEN-framework/ten-framework
pil_demo_python,0,0,1,TEN-framework/ten-framework
playht_tts_python,0,0,1,TEN-framework/ten-framework
praisonai_platform,0,0,1,MervinPraison/PraisonAI
queritsearch_tool_python,0,0,1,TEN-framework/ten-framework
qwen3_tts_python,0,0,1,TEN-framework/ten-framework
readability_web,0,0,1,dot-agent/nextpy
rime_http_tts,0,0,1,TEN-framework/ten-framework
sam_rest_client,0,0,1,SolaceLabs/solace-agent-mesh
sarvam_asr_python,0,0,1,TEN-framework/ten-framework
sarvam_http_tts,0,0,1,TEN-framework/ten-framework
simple_echo_python,0,0,1,TEN-framework/ten-framework
soniox_asr_python,0,0,1,TEN-framework/ten-framework
spatius_avatar_python,0,0,1,TEN-framework/ten-framework
speechmatics_asr_python,0,0,1,TEN-framework/ten-framework
stepfun_mllm_python,0,0,1,TEN-framework/ten-framework
streamid_adapter,0,0,1,TEN-framework/ten-framework
superduper_anthropic,0,0,1,superduper-io/superduper
superduper_chromadb,0,0,1,superduper-io/superduper
superduper_cohere,0,0,1,superduper-io/superduper
superduper_jina,0,0,1,superduper-io/superduper
superduper_lance,0,0,1,superduper-io/superduper
superduper_llamacpp,0,0,1,superduper-io/superduper
superduper_mongodb,0,0,1,superduper-io/superduper
superduper_openai,0,0,1,superduper-io/superduper
superduper_pillow,0,0,1,superduper-io/superduper
superduper_qdrant,0,0,1,superduper-io/superduper
superduper_redis,0,0,1,superduper-io/superduper
superduper_sentence_transformers,0,0,1,superduper-io/superduper
superduper_sklearn,0,0,1,superduper-io/superduper
superduper_snowflake,0,0,1,superduper-io/superduper
superduper_sql,0,0,1,superduper-io/superduper
superduper_template,0,0,1,superduper-io/superduper
superduper_torch,0,0,1,superduper-io/superduper
superduper_transformers,0,0,1,superduper-io/superduper
superduper_vllm,0,0,1,superduper-io/superduper
ten_turn_detection,0,0,1,TEN-framework/ten-framework
tencent_asr_python,0,0,1,TEN-framework/ten-framework
text_webhook,0,0,1,TEN-framework/ten-framework
thymia_analyzer_python,0,0,1,TEN-framework/ten-framework
trafilatura_web,0,0,1,dot-agent/nextpy
trugen,0,0,1,livekit/agents
tts_guarder,0,0,1,TEN-framework/ten-framework
unstructured_web,0,0,1,dot-agent/nextpy
vibevoice_tts_websocket_python,0,0,1,TEN-framework/ten-framework
video_surfer,0,0,1,microsoft/autogen
vision_analyze_tool_python,0,0,1,TEN-framework/ten-framework
vision_tool_python,0,0,1,TEN-framework/ten-framework
weatherapi_tool_python,0,0,1,TEN-framework/ten-framework
websocket_server_python,0,0,1,TEN-framework/ten-framework
wecom_ai_bot,0,0,1,AstrBotDevs/AstrBot
xfyun_asr_bigmodel_python,0,0,1,TEN-framework/ten-framework
xfyun_asr_dialect_python,0,0,1,TEN-framework/ten-framework
xfyun_asr_python,0,0,1,TEN-framework/ten-framework
