import_name,auto_bucket,reason,distinct_repos,kept_candidates,source_frameworks
nvidia,REVIEW_provider,provider_or_tool_sdk,1405,77,livekit/agents
langchain_chroma,KEEP,known_framework,1400,14,langchain-ai/langchain
qa,DROP,generic_or_internal,1389,45,lavague-ai/LaVague
parsers,DROP,generic_or_internal,1388,23,AstrBotDevs/AstrBot
fal,REVIEW_provider,provider_or_tool_sdk,1384,66,livekit/agents
mem0,KEEP,known_framework,1380,77,AgentOps-AI/agentops
perplexity,REVIEW_provider,provider_or_tool_sdk,1361,65,livekit/agents
playwright,REVIEW_provider,provider_or_tool_sdk,1328,35,lavague-ai/LaVague
dspy,KEEP,known_framework,1297,62,AgentOps-AI/agentops
web_search,DROP,generic_or_internal,1283,56,SolaceLabs/solace-agent-mesh
pydantic_ai,KEEP,known_framework,1281,80,pydantic/pydantic-ai
ibm_watsonx_ai,REVIEW_provider,provider_or_tool_sdk,1279,42,AgentOps-AI/agentops
contexts,DROP,generic_or_internal,1276,55,lavague-ai/LaVague
plans,DROP,generic_or_internal,1212,53,Intelligent-Internet/ii-agent
actor,DROP,generic_or_internal,1205,71,dot-agent/nextpy
postgres,REVIEW_provider,provider_or_tool_sdk,1197,39,langchain-ai/langgraph
camel,KEEP,known_framework,1179,38,camel-ai/camel
fireworks,REVIEW_provider,provider_or_tool_sdk,1168,51,lavague-ai/LaVague
cartesia,REVIEW_provider,provider_or_tool_sdk,1166,55,livekit/agents
hamming,REVIEW_provider,provider_or_tool_sdk,1147,21,livekit/agents
assemblyai,REVIEW_provider,provider_or_tool_sdk,1137,16,livekit/agents
servers,DROP,generic_or_internal,1134,31,samugit83/redamon
stream,DROP,generic_or_internal,1099,21,langchain-ai/langgraph
crewai_tools,KEEP,known_framework,1091,18,crewAIInc/crewAI
requirement,DROP,generic_or_internal,1086,24,i-am-bee/beeai-framework
sessions,DROP,generic_or_internal,1070,57,Intelligent-Internet/ii-agent
utils,DROP,generic_or_internal,1012,11,Intelligent-Internet/ii-agent; langchain-ai/langgraph; patched-codes/patchwork; polyuiislab/infiAgent
websocket_server,REVIEW,unclassified,1002,18,TEN-framework/ten-framework
langchain_qdrant,KEEP,known_framework,991,11,langchain-ai/langchain
_internal,DROP,generic_or_internal,988,25,langchain-ai/langgraph
agno,KEEP,known_framework,971,41,AgentOps-AI/agentops
services,DROP,generic_or_internal,971,21,ZHangZHengEric/Sage; camel-ai/camel; mozilla-ai/any-agent; polyuiislab/infiAgent
minimax,REVIEW_provider,provider_or_tool_sdk,970,8,livekit/agents
sitemap,DROP,generic_or_internal,964,41,dot-agent/nextpy
bey,REVIEW_provider,provider_or_tool_sdk,939,31,livekit/agents
e2e,DROP,generic_or_internal,936,64,headroomlabs-ai/headroom
dalle,REVIEW_provider,provider_or_tool_sdk,877,21,dot-agent/nextpy
cerebras,REVIEW,unclassified,875,42,livekit/agents
langgraph_sdk,KEEP,matches_source_repo,872,15,langchain-ai/langgraph
_bundle,REVIEW,unclassified,868,39,lavague-ai/LaVague
clai,REVIEW,unclassified,863,49,pydantic/pydantic-ai
astrbot,KEEP,matches_source_repo,847,28,AstrBotDevs/AstrBot
web,REVIEW,unclassified,825,17,simonlin1212/TradingAgents-astock
langchain_deepseek,KEEP,matches_source_repo,823,17,langchain-ai/langchain
langchain_fireworks,KEEP,matches_source_repo,800,11,langchain-ai/langchain
pregel,REVIEW,unclassified,794,16,langchain-ai/langgraph
did,REVIEW,unclassified,785,52,livekit/agents
baseten,REVIEW,unclassified,762,18,livekit/agents
langchain_xai,KEEP,matches_source_repo,761,13,langchain-ai/langchain
graphrag,REVIEW,unclassified,758,27,microsoft/autogen
keyframe,REVIEW,unclassified,757,40,livekit/agents
v4,REVIEW,unclassified,736,34,AgentOps-AI/agentops
autogen_core,KEEP,matches_source_repo,734,23,microsoft/autogen
agent_framework,KEEP,matches_source_repo,726,39,microsoft/agent-framework
autogen_agentchat,KEEP,matches_source_repo,705,24,microsoft/autogen
langchain_perplexity,KEEP,matches_source_repo,699,5,langchain-ai/langchain
sarvam,REVIEW,unclassified,683,16,livekit/agents
clova,REVIEW,unclassified,677,2,livekit/agents
managed,REVIEW,unclassified,669,47,langchain-ai/langgraph
agentops,KEEP,known_framework,666,23,AgentOps-AI/agentops
rss,REVIEW,unclassified,662,19,dot-agent/nextpy
fireworksai,REVIEW,unclassified,655,8,livekit/agents
web_scraper,REVIEW,unclassified,649,6,camel-ai/camel
minimal,REVIEW,unclassified,641,31,livekit/agents
conformance,REVIEW,unclassified,636,48,langchain-ai/langgraph
asyncai,REVIEW,unclassified,634,22,livekit/agents
mattermost,REVIEW,unclassified,621,46,AstrBotDevs/AstrBot
smolagents,REVIEW,unclassified,618,44,AgentOps-AI/agentops
autogen_ext,KEEP,matches_source_repo,611,18,microsoft/autogen
prebuilt,REVIEW,unclassified,607,29,langchain-ai/langgraph
clingo,REVIEW,unclassified,574,19,TEN-framework/ten-framework
use_cases,REVIEW,unclassified,566,14,SylphAI-Inc/AdalFlow
durable,REVIEW,unclassified,530,44,livekit/agents
task_scheduler,REVIEW,unclassified,525,28,ZHangZHengEric/Sage
strategies,REVIEW,unclassified,523,17,AstrBotDevs/AstrBot
notte,KEEP,matches_source_repo,497,16,nottelabs/notte
honcho,KEEP,known_framework,496,15,plastic-labs/honcho
runway,REVIEW,unclassified,494,21,livekit/agents
hume,REVIEW,unclassified,490,20,livekit/agents
semantic_kernel,KEEP,known_framework,480,21,microsoft/autogen
silero,REVIEW,unclassified,472,18,livekit/agents
langchain_classic,KEEP,matches_source_repo,461,9,langchain-ai/langchain
swarms,KEEP,matches_source_repo,460,20,kyegomez/swarms
patchwork,KEEP,matches_source_repo,438,9,patched-codes/patchwork
speak,REVIEW,unclassified,428,4,camel-ai/camel
swarm,KEEP,matches_source_repo,413,17,openai/swarm
v1,REVIEW,unclassified,411,16,AgentOps-AI/agentops
langchain_openrouter,KEEP,matches_source_repo,398,5,langchain-ai/langchain
murf,REVIEW,unclassified,386,4,livekit/agents
ultravox,REVIEW,unclassified,386,29,livekit/agents
pprof,REVIEW,unclassified,385,10,TEN-framework/ten-framework
skills,REVIEW,unclassified,384,39,Intelligent-Internet/ii-agent
search,REVIEW,unclassified,383,9,ZHangZHengEric/Sage
xai,REVIEW_provider,provider_or_tool_sdk,355,24,livekit/agents
tradingagents,KEEP,matches_source_repo,346,10,simonlin1212/TradingAgents-astock
code_execution,REVIEW,unclassified,337,42,microsoft/autogen
dynamiq,KEEP,matches_source_repo,333,4,dynamiq-ai/dynamiq
agui,REVIEW,unclassified,330,32,cheshire-cat-ai/core
uagents_core,KEEP,matches_source_repo,328,3,fetchai/uAgents
subagents,REVIEW,unclassified,312,37,openonion/connectonion
blingfire,REVIEW,unclassified,311,4,livekit/agents
langchain_nomic,KEEP,matches_source_repo,307,2,langchain-ai/langchain
_skills,REVIEW,unclassified,300,18,agent0ai/agent-zero
pydantic_graph,REVIEW,unclassified,283,16,pydantic/pydantic-ai
coursera,REVIEW,unclassified,274,3,camel-ai/camel
serde,REVIEW,unclassified,271,24,langchain-ai/langgraph
graph_db,REVIEW,unclassified,267,10,samugit83/redamon
sia,REVIEW,unclassified,260,2,hexo-ai/sia
video_analysis,REVIEW,unclassified,252,3,ZHangZHengEric/Sage
simple_web,REVIEW,unclassified,246,11,dot-agent/nextpy
omnigent,KEEP,matches_source_repo,244,25,omnigent-ai/omnigent
pydantic_evals,REVIEW,unclassified,237,18,pydantic/pydantic-ai
tutorials,REVIEW,unclassified,236,12,SylphAI-Inc/AdalFlow
speechmatics,REVIEW,unclassified,233,11,livekit/agents
anam,REVIEW,unclassified,229,3,livekit/agents
google_genai,REVIEW,unclassified,223,11,AgentOps-AI/agentops
gladia,REVIEW,unclassified,217,11,livekit/agents
rime,REVIEW,unclassified,206,18,livekit/agents
fishaudio,REVIEW,unclassified,200,10,livekit/agents
metagpt,KEEP,matches_source_repo,198,9,FoundationAgents/MetaGPT
jockey,REVIEW,unclassified,192,0,AgentOps-AI/agentops
lagent,KEEP,matches_source_repo,183,15,InternLM/lagent
langchain_tests,KEEP,matches_source_repo,183,21,langchain-ai/langchain
openai_agents,REVIEW,unclassified,182,18,AgentOps-AI/agentops
agency_swarm,KEEP,matches_source_repo,180,2,VRSEN/agency-swarm
headroom,KEEP,matches_source_repo,180,13,headroomlabs-ai/headroom
sandboxes,REVIEW,unclassified,170,22,Intelligent-Internet/ii-agent
simple_chat,REVIEW,unclassified,155,14,dot-agent/nextpy
lmnt,REVIEW,unclassified,151,7,livekit/agents
tavus,REVIEW,unclassified,150,7,livekit/agents
t2i,REVIEW,unclassified,146,16,AstrBotDevs/AstrBot
agent_protocol,KEEP,matches_source_repo,141,6,agi-inc/agent-protocol
plugin_test,REVIEW,unclassified,134,5,superduper-io/superduper
soniox,REVIEW,unclassified,132,12,livekit/agents
ag2,REVIEW,unclassified,128,12,AgentOps-AI/agentops
create_qr_code,REVIEW,unclassified,127,3,camel-ai/camel
async_web,REVIEW,unclassified,121,1,dot-agent/nextpy
beeai_framework,KEEP,matches_source_repo,121,9,i-am-bee/beeai-framework
langchain_exa,KEEP,matches_source_repo,121,5,langchain-ai/langchain
simli,REVIEW,unclassified,116,6,livekit/agents
telnyx,REVIEW,unclassified,116,10,livekit/agents
griptape,KEEP,matches_source_repo,115,3,griptape-ai/griptape
autoscrum,REVIEW,unclassified,112,0,dot-agent/nextpy
neuphonic,REVIEW,unclassified,102,6,livekit/agents
krisp,REVIEW,unclassified,101,7,livekit/agents
resemble,REVIEW,unclassified,101,7,livekit/agents
agent_framework_foundry_hosting,KEEP,matches_source_repo,98,3,microsoft/agent-framework
inworld,REVIEW,unclassified,95,11,livekit/agents
gradium,REVIEW,unclassified,89,6,livekit/agents
google_adk,REVIEW,unclassified,86,6,AgentOps-AI/agentops
langgraph_cli,KEEP,matches_source_repo,84,2,langchain-ai/langgraph
adalflow,KEEP,matches_source_repo,81,4,SylphAI-Inc/AdalFlow
pentestagent,KEEP,matches_source_repo,81,3,GH05TCREW/pentestagent
esearch,REVIEW,unclassified,79,2,dot-agent/nextpy
autogenstudio,KEEP,matches_source_repo,74,2,microsoft/autogen
agent_framework_ag_ui,KEEP,matches_source_repo,67,1,microsoft/agent-framework
superagi,KEEP,matches_source_repo,64,0,TransformerOptimus/SuperAGI
hedra,REVIEW,unclassified,63,2,livekit/agents
agent_framework_devui,KEEP,matches_source_repo,60,2,microsoft/agent-framework
deepteam,KEEP,matches_source_repo,56,5,confident-ai/deepteam
agent_protocol_client,KEEP,matches_source_repo,54,0,agi-inc/agent-protocol
liveavatar,REVIEW,unclassified,51,4,livekit/agents
pentestgpt,KEEP,matches_source_repo,50,2,GreyDGL/PentestGPT
langchain_model_profiles,KEEP,matches_source_repo,48,1,langchain-ai/langchain
praisonai,KEEP,matches_source_repo,48,1,MervinPraison/PraisonAI
spitch,REVIEW,unclassified,47,0,livekit/agents
agbench,REVIEW,unclassified,45,1,microsoft/autogen
agent_framework_orchestrations,KEEP,matches_source_repo,43,5,microsoft/agent-framework
anytool,REVIEW,unclassified,41,11,ZHangZHengEric/Sage
uagents_adapter,KEEP,matches_source_repo,41,1,fetchai/uAgents
agent_framework_openai,KEEP,matches_source_repo,40,3,microsoft/agent-framework
speechify,REVIEW,unclassified,40,1,livekit/agents
agent_framework_foundry,KEEP,matches_source_repo,38,3,microsoft/agent-framework
smallestai,REVIEW,unclassified,37,5,livekit/agents
blockguard,REVIEW,unclassified,36,0,livekit/agents
fashionai,REVIEW,unclassified,33,0,TEN-framework/ten-framework
klarna,REVIEW,unclassified,33,2,camel-ai/camel
cartesia_tts,REVIEW,unclassified,32,2,TEN-framework/ten-framework
salesGPT,REVIEW,unclassified,32,0,dot-agent/nextpy
agent_framework_redis,KEEP,matches_source_repo,31,2,microsoft/agent-framework
any_agent,KEEP,matches_source_repo,31,3,mozilla-ai/any-agent
autogen_test_utils,KEEP,matches_source_repo,29,1,microsoft/autogen
bithuman,REVIEW,unclassified,29,0,livekit/agents
agent_framework_a2a,KEEP,matches_source_repo,28,2,microsoft/agent-framework
image_providers,REVIEW,unclassified,28,1,ZHangZHengEric/Sage
nextpy,KEEP,known_framework,28,0,dot-agent/nextpy
superduper,KEEP,matches_source_repo,28,0,superduper-io/superduper
lemonslice,REVIEW,unclassified,27,3,livekit/agents
rest_api_server,REVIEW,unclassified,26,3,dot-agent/nextpy
cambai,REVIEW,unclassified,24,4,livekit/agents
agent_framework_mem0,KEEP,matches_source_repo,23,1,microsoft/agent-framework
agent_framework_copilotstudio,KEEP,matches_source_repo,22,1,microsoft/agent-framework
agent_framework_declarative,KEEP,matches_source_repo,21,1,microsoft/agent-framework
agent_framework_lab_gaia,KEEP,matches_source_repo,21,1,microsoft/agent-framework
agent_framework_lab_lightning,KEEP,matches_source_repo,21,1,microsoft/agent-framework
pyautogen,KEEP,matches_source_repo,21,2,microsoft/autogen
agent_framework_lab_tau2,KEEP,matches_source_repo,20,1,microsoft/agent-framework
agent_framework_purview,KEEP,matches_source_repo,20,1,microsoft/agent-framework
agent_framework_anthropic,KEEP,matches_source_repo,19,2,microsoft/agent-framework
notte_sdk,KEEP,matches_source_repo,19,3,nottelabs/notte
turn_detector,REVIEW,unclassified,19,0,livekit/agents
connectonion,KEEP,matches_source_repo,18,1,openonion/connectonion
crewai_files,KEEP,matches_source_repo,18,0,crewAIInc/crewAI
agent_framework_foundry_local,KEEP,matches_source_repo,17,1,microsoft/agent-framework
agent_squad,KEEP,matches_source_repo,17,0,2FastLabs/agent-squad
llmstack,KEEP,matches_source_repo,17,0,trypromptly/LLMStack
nasa_apod,REVIEW,unclassified,17,0,camel-ai/camel
phonic,REVIEW,unclassified,17,1,livekit/agents
ragaai_catalyst,KEEP,matches_source_repo,17,1,raga-ai-hub/RagaAI-Catalyst
LightAgent,KEEP,matches_source_repo,16,0,wanxingai/LightAgent
agent_framework_chatkit,KEEP,matches_source_repo,16,1,microsoft/agent-framework
agent_framework_github_copilot,KEEP,matches_source_repo,16,1,microsoft/agent-framework
agent_framework_ollama,KEEP,matches_source_repo,16,1,microsoft/agent-framework
agent_framework_azurefunctions,KEEP,matches_source_repo,15,1,microsoft/agent-framework
biztoc,REVIEW,unclassified,15,2,camel-ai/camel
ollama_python,REVIEW,unclassified,15,0,TEN-framework/ten-framework
agent_framework_claude,KEEP,matches_source_repo,14,1,microsoft/agent-framework
npcpy,KEEP,matches_source_repo,14,2,NPC-Worldwide/npcpy
avatartalk,REVIEW,unclassified,13,0,livekit/agents
xpander,REVIEW,unclassified,13,0,AgentOps-AI/agentops
prd_agent,REVIEW,unclassified,12,1,dot-agent/nextpy
trufflehog_scan,REVIEW,unclassified,12,2,samugit83/redamon
agent_framework_azure_ai_search,KEEP,matches_source_repo,11,2,microsoft/agent-framework
agent_framework_bedrock,KEEP,matches_source_repo,11,1,microsoft/agent-framework
concurrent_futures,REVIEW,unclassified,11,1,AgentOps-AI/agentops
deepgram_tts,REVIEW,unclassified,11,0,TEN-framework/ten-framework
gperftools,REVIEW,unclassified,11,0,TEN-framework/ten-framework
ii_agent,KEEP,matches_source_repo,11,0,Intelligent-Internet/ii-agent
web_surfer,REVIEW,unclassified,11,1,microsoft/autogen
agent_framework_ag_ui_examples,KEEP,matches_source_repo,10,1,microsoft/agent-framework
agent_framework_azure_cosmos,KEEP,matches_source_repo,10,2,microsoft/agent-framework
agent_framework_durabletask,KEEP,matches_source_repo,10,2,microsoft/agent-framework
respeecher,REVIEW,unclassified,10,0,livekit/agents
agent_evals,REVIEW,unclassified,9,0,headroomlabs-ai/headroom
agent_framework_gemini,KEEP,matches_source_repo,9,0,microsoft/agent-framework
rime_tts,REVIEW,unclassified,9,0,TEN-framework/ten-framework
context_strategy,REVIEW,unclassified,8,1,patched-codes/patchwork
polly_tts,REVIEW,unclassified,8,0,TEN-framework/ten-framework
rtzr,REVIEW,unclassified,8,0,livekit/agents
ten_runtime,REVIEW,unclassified,8,0,TEN-framework/ten-framework
avatario,REVIEW,unclassified,7,0,livekit/agents
computer_tools,REVIEW,unclassified,7,1,AstrBotDevs/AstrBot
demogpt,KEEP,matches_source_repo,7,0,melih-unsal/DemoGPT
infiagent,KEEP,matches_source_repo,7,1,polyuiislab/infiAgent
llm_eval_plotly,REVIEW,unclassified,7,0,dot-agent/nextpy
nextpy_chat,KEEP,matches_source_repo,7,0,dot-agent/nextpy
orchestrator_helpers,REVIEW,unclassified,7,0,samugit83/redamon
agent_framework_hyperlight,KEEP,matches_source_repo,6,0,microsoft/agent-framework
agentuniverse,KEEP,matches_source_repo,6,0,agentuniverse-ai/agentUniverse
bytedance_tts_duplex,REVIEW,unclassified,6,0,TEN-framework/ten-framework
crewai_devtools,KEEP,matches_source_repo,6,0,crewAIInc/crewAI
cypherfix_codefix,REVIEW,unclassified,6,0,samugit83/redamon
cypherfix_triage,REVIEW,unclassified,6,0,samugit83/redamon
fish_audio_tts_python,REVIEW,unclassified,6,0,TEN-framework/ten-framework
github_secret_hunt,REVIEW,unclassified,6,0,samugit83/redamon
gnani,REVIEW,unclassified,6,0,livekit/agents
gvm_scan,REVIEW,unclassified,6,0,samugit83/redamon
minimax_tts_websocket_python,REVIEW,unclassified,6,0,TEN-framework/ten-framework
stepfun_tts_python,REVIEW,unclassified,6,0,TEN-framework/ten-framework
omnigent_client,KEEP,matches_source_repo,5,0,omnigent-ai/omnigent
openakita,KEEP,matches_source_repo,5,0,openakita/openakita
sagents,KEEP,matches_source_repo,5,0,ZHangZHengEric/Sage
agent_framework_azure_contentunderstanding,KEEP,matches_source_repo,4,0,microsoft/agent-framework
aliyun_asr,REVIEW,unclassified,4,0,TEN-framework/ten-framework
conversation_recorder,REVIEW,unclassified,4,0,TEN-framework/ten-framework
crewai_cli,KEEP,matches_source_repo,4,0,crewAIInc/crewAI
crewai_core,KEEP,matches_source_repo,4,0,crewAIInc/crewAI
graphql_scan,REVIEW,unclassified,4,1,samugit83/redamon
headroom_oauth2,KEEP,matches_source_repo,4,0,headroomlabs-ai/headroom
honcho_cli,KEEP,matches_source_repo,4,0,plastic-labs/honcho
notte_core,KEEP,matches_source_repo,4,0,nottelabs/notte
simplismart,REVIEW,unclassified,4,0,livekit/agents
tencent_tts_python,REVIEW,unclassified,4,0,TEN-framework/ten-framework
agent_framework_tools,KEEP,matches_source_repo,3,0,microsoft/agent-framework
gemini_tts_python,REVIEW,unclassified,3,0,TEN-framework/ten-framework
letsfg,KEEP,matches_source_repo,3,0,LetsFG/LetsFG
main_recon_modules,REVIEW,unclassified,3,0,samugit83/redamon
media_ai,REVIEW,unclassified,3,0,openakita/openakita
media_report,REVIEW,unclassified,3,0,openakita/openakita
neuphonic_tts,REVIEW,unclassified,3,0,TEN-framework/ten-framework
notte_agent,KEEP,matches_source_repo,3,0,nottelabs/notte
openai_tts2_python,REVIEW,unclassified,3,0,TEN-framework/ten-framework
pytest_ten,REVIEW,unclassified,3,0,TEN-framework/ten-framework
simple_crud,REVIEW,unclassified,3,0,dot-agent/nextpy
slng,REVIEW,unclassified,3,0,livekit/agents
agent_framework_mistral,KEEP,matches_source_repo,2,0,microsoft/agent-framework
agent_framework_monty,KEEP,matches_source_repo,2,0,microsoft/agent-framework
config_portal,REVIEW,unclassified,2,0,SolaceLabs/solace-agent-mesh
cz_commitizen,REVIEW,unclassified,2,0,i-am-bee/beeai-framework
humeai_tts_python,REVIEW,unclassified,2,0,TEN-framework/ten-framework
notte_browser,KEEP,matches_source_repo,2,0,nottelabs/notte
notte_eval,KEEP,matches_source_repo,2,0,nottelabs/notte
notte_integrations,KEEP,matches_source_repo,2,0,nottelabs/notte
omnigent_ui_sdk,KEEP,matches_source_repo,2,0,omnigent-ai/omnigent
openakita_plugin_sdk,KEEP,matches_source_repo,2,0,openakita/openakita
ten_vad_python,REVIEW,unclassified,2,0,TEN-framework/ten-framework
upliftai,REVIEW,unclassified,2,0,livekit/agents
agent_framework_hosting,KEEP,matches_source_repo,1,0,microsoft/agent-framework
agent_framework_hosting_responses,KEEP,matches_source_repo,1,0,microsoft/agent-framework
agentuniverse_product,KEEP,matches_source_repo,1,0,agentuniverse-ai/agentUniverse
blaze_stt_python,REVIEW,unclassified,1,0,TEN-framework/ten-framework
blaze_tts_python,REVIEW,unclassified,1,0,TEN-framework/ten-framework
bytedance_asr,REVIEW,unclassified,1,0,TEN-framework/ten-framework
bytedance_llm_based_asr,REVIEW,unclassified,1,0,TEN-framework/ten-framework
file_surfer,REVIEW,unclassified,1,0,microsoft/autogen
gridx_portfolio,REVIEW,unclassified,1,0,dot-agent/nextpy
ii_agent_tools,KEEP,matches_source_repo,1,0,Intelligent-Internet/ii-agent
ii_server,REVIEW,unclassified,1,0,Intelligent-Internet/ii-agent
im_server,REVIEW,unclassified,1,0,ZHangZHengEric/Sage
magentic_one,REVIEW,unclassified,1,0,microsoft/autogen
