"full_name","clone_slug","matched_frameworks","stars","size_kb","contributors","pushed_at","description","real_ai_app","analyzed_scope","processed","clone_failed","llm_calls","llm_calls_raw","fp_dropped_calls","invokers_direct","invokers_transitive","nd_tests","nd_tests_direct","nd_tests_transitive","eval_calls","total_functions","pct_functions_direct","cg_source","graph_usable","graph_excluded_files","graph_coverage_pct","slice_status","slice_error","frameworks_imported","framework_suspect","framework_evidence","zero_invoker","zero_invoker_reason","imports_matched_fw","py_files","ipynb_files","test_files","http_llm_files","cli_llm_files","in_scope","notes"
"NousResearch/hermes-agent","NousResearch_hermes-agent","honcho, mem0","205507","444508","1837","2026-06-29","The agent that grows with you","1","1","1","0","33","33","0","27","0","1","1","0","0","68051","0.04","none","False","2","0.0","ok","","openai, honcho, anthropic, langchain_openai, mem0, mistralai","0","","0","","","","","","","","",""
"Yanyutin753/LambChat","Yanyutin753_LambChat","langchain_openai","195","27571","10","2026-06-29","LambChat — Enterprise Agent Infrastructure for governed AI agents. Skills + MCP powered, Loop Agent ready, multi-tenant by design.","1","1","1","0","32","32","0","28","4031","1773","7","1766","0","8353","0.34","pyan_resilient","True","6","118.6","ok","","langchain_core, langchain, langgraph, langchain_openai, langchain_anthropic, langchain_google_genai, openai","0","","0","","","","","","","","",""
"Purewhiter/mobilegym","Purewhiter_mobilegym","smolagents","681","217379","5","2026-06-26","MobileGym: A Verifiable and Highly Parallel Simulation Platform for Mobile GUI Agent Research · 浏览器里运行的安卓模拟器 · Browser-hosted Android Simulator · Verifiable Evaluation · Scalable Online RL Training","1","1","1","0","41","41","0","39","4294","810","16","794","0","10724","0.36","pyan_resilient","True","5","125.3","ok","","openai, litellm, fireworks, langchain_openai, langgraph, langchain_core, agents, smolagents, camel, together","0","","0","","","","","","","","",""
"InternScience/InternAgent","InternScience_InternAgent","agentops, camel, mem0","1339","144067","9","2026-06-10","InternAgent-1.5: A Unified Agentic Framework for Long-Horizon Autonomous Scientific Discovery","1","1","1","0","143","143","0","127","4319","340","0","340","1","8255","1.54","pyan_resilient","True","3","112.7","ok","","camel, openai, agentops, agents, litellm, mistralai, anthropic, cohere, ollama, ragas, mem0","0","","0","","","","","","","","",""
"AsyncFuncAI/deepwiki-open","AsyncFuncAI_deepwiki-open","adalflow","17071","3994","67","2026-06-03","Open Source DeepWiki: AI-Powered Wiki Generator for GitHub/Gitlab/Bitbucket Repositories. Join the discord: https://discord.gg/gMwThUMeme","1","0","1","0","4","4","0","4","12","2","0","2","0","349","1.15","pyan","True","0","119.8","ok","","adalflow, openai, ollama, anthropic","0","","0","","","","","","","","uncovered","real LLM app, but imports only adalflow, anthropic, ollama, openai — outside the top-20, not measured"
"OrionStarAI/DeepV-Ki","OrionStarAI_DeepV-Ki","adalflow","298","4127","2","2026-03-26","DeepV-Ki — Instantly turn your code repository into a beautiful, interactive Wiki. An AI-powered documentation generator with RAG-based code Q&A, automatic architecture diagram generation, and multi-m","1","0","1","0","8","8","0","6","5","0","0","0","0","460","1.3","pyan","True","0","93.9","ok","","adalflow, openai","0","","0","","","","","","","","uncovered","real LLM app, but imports only adalflow, openai — outside the top-20, not measured"
"Super-Chain/N8N-Genie","Super-Chain_N8N-Genie","adalflow","13","6896","4","2025-08-26","N8N Genie helps you to create N8N workflow by AI ","1","0","1","0","3","3","0","2","2","0","0","0","0","106","1.89","pyan","True","0","100.9","ok","","adalflow, openai","0","","0","","","","","","","","uncovered","real LLM app, but imports only adalflow, openai — outside the top-20, not measured"
"tmlr-group/AlphaApollo","tmlr-group_AlphaApollo","adalflow","46","8753","5","2026-05-18","[arXiv:2510.06261] ""AlphaApollo: A System for Deep Agentic Reasoning""","1","0","1","0","14","14","0","12","69","0","0","0","0","2064","0.58","pyan_resilient","True","1","110.8","ok","","adalflow, openai","0","","0","","","","","","","","uncovered","real LLM app, but imports only adalflow, openai — outside the top-20, not measured"
"agentguard-ai/tealtiger","agentguard-ai_tealtiger","haystack, pydantic_ai","14","96340","18","2026-06-28","Powerful protection for AI agents - Open-source security and cost tracking for AI applications","1","1","1","0","22","22","0","16","2","4","4","0","0","1768","0.9","pyan_resilient","True","1","105.3","ok","","haystack, pydantic_ai, langchain, autogen, crewai, langchain_core, langchain_openai, langgraph, phoenix, openai, agents, anthropic, semantic_kernel","0","","0","","","","","","","","",""
"pettingllms-ai/PettingLLMs","pettingllms-ai_PettingLLMs","autogen_core, autogen_ext","196","69798","6","2026-05-15","[ICLR'26] Stronger-MAS: A RL Framework for multi LLM agent system; [arxiv] MetaAgent-X:  End-to-End Reinforcement Learning Automatic Multi-Agent Systems","1","1","1","0","14","14","0","13","149","0","0","0","0","2831","0.46","pyan_resilient","True","1","112.8","ok","","openai, autogen_ext, autogen_agentchat, autogen, vertexai, anthropic, langchain_openai, autogen_core, langchain_core","0","","0","","","","","","","","",""
"massgen/MassGen","massgen_MassGen","mem0","1070","646679","33","2026-06-12","🚀 MassGen is an open-source multi-agent scaling system that runs in your terminal, autonomously orchestrating frontier models and agents to collaborate, reason, and produce high-quality results. | Joi","1","1","1","0","38","38","0","31","7243","3961","0","3961","0","14121","0.22","pyan_resilient","True","5","115.7","ok","","openai, anthropic, litellm, mem0, autogen, dspy, langgraph, langchain_openai, langchain_core, smolagents","0","","0","","","","","","","","0","framework, not an application: self-described multi-agent framework (EXCLUSIONS §12)"
"ababdotai/awesome-agent-quickstart","ababdotai_awesome-agent-quickstart","autogen_agentchat, langgraph, smolagents, swarm","62","2681","2","2025-08-08","Helloworld for agentic frameworks, minimial but runnable! LangGraph, Agno, AutoGen, Smolagents, OpenAI Agents, etc.","1","1","1","0","26","26","0","21","17","0","0","0","0","407","5.16","pyan","True","0","102.7","ok","","langgraph, agents, langchain_core, langchain_openai, agno, langchain, crewai, smolagents, autogen_agentchat, autogen_ext, langchain_community, autogen, langchain_google_genai, semantic_kernel, langchain_deepseek, litellm, swarm","0","","0","","","","","","","","",""
"kenhuangus/ZeroTrustAgent","kenhuangus_ZeroTrustAgent","crewai, haystack","57","3185","7","2026-03-28","Zero Trust Agent","1","1","1","0","4","4","0","3","0","0","0","0","0","742","0.4","pyan","True","0","100.4","ok","","crewai, autogen, anthropic, langchain_community, langchain, langgraph, openai","0","upstream_name?=zta_agent","0","","","","","","","","",""
"runagent-dev/runagent","runagent-dev_runagent","agno, crewai, langgraph","484","29288","6","2026-06-27","RunAgent simplifies serverless deployment of your AI agents. With a powerful CLI, multi-language SDK support, built-in agent invocation & streaming suppprt.","1","1","1","0","49","50","1","47","40","1","1","0","0","828","5.68","pyan","True","0","105.4","ok","","langchain_openai, agno, openai, crewai, langchain_core, langgraph, langchain, langchain_community, autogen, parlant, autogen_agentchat, autogen_ext","0","","0","","","","","","","","",""
"fetchai/innovation-lab-examples","fetchai_innovation-lab-examples","crewai, langchain, notte_sdk, uagents_adapter, uagents_core","1125","49707","30","2026-06-21","A curated collection of comprehensive Fetch.ai Innovation Lab examples, showcasing advanced use cases and detailed implementations beyond the main documentation.","1","1","1","0","81","81","0","77","171","51","0","51","0","2671","2.88","pyan_resilient","True","1","85.3","ok","","uagents, openai, crewai, autogen, agents, anthropic, langchain_openai, agno, langchain_core, langchain, langgraph, pydantic_ai, langchain_google_genai, langchain_community, langchain_anthropic","0","","0","","","","","","","","",""
"ericjiang18/Agent-Q-Mix","ericjiang18_Agent-Q-Mix","agent_framework, agent_framework_a2a, agent_framework_ag_ui, agent_framework_ag_ui_examples, agent_framework_anthropic, agent_framework_azure_ai_search, agent_framework_azure_cosmos, agent_framework_azurefunctions, agent_framework_bedrock, agent_framework_chatkit, agent_framework_claude, agent_framework_copilotstudio, agent_framework_declarative, agent_framework_devui, agent_framework_durabletask, agent_framework_foundry_local, agent_framework_github_copilot, agent_framework_lab_gaia, agent_framework_lab_lightning, agent_framework_lab_tau2, agent_framework_mem0, agent_framework_ollama, agent_framework_orchestrations, agent_framework_purview, agent_framework_redis, autogen_agentchat, autogen_core, autogen_ext, autogen_test_utils, autogenstudio, graphrag, langgraph, langgraph_cli, langgraph_sdk, mem0","18","48269","2","2026-04-09","","1","1","1","0","3911","3943","32","2268","0","1542","1542","0","0","17575","12.9","none","False","7","0.0","ok","","agent_framework, autogen_core, langgraph, autogen_ext, autogen_agentchat, langchain_core, openai, semantic_kernel, langchain_openai, langchain, agents, langchain_community, ollama, anthropic, mem0, langchain_anthropic, graphrag, autogen, langchain_experimental","0","","0","","","","","","","","",""
"datastax/astra-assistants-api","datastax_astra-assistants-api","agency_swarm","208","4494","8","2025-08-18","Drop in replacement for the OpenAI Assistants API ","1","0","1","0","4","4","0","2","0","0","0","0","0","3423","0.06","pyan_resilient","True","8","93.5","ok","","openai, litellm, agency_swarm","0","","0","","","","","","","","uncovered","real LLM app, but imports only agency_swarm, litellm, openai — outside the top-20, not measured"
"VRSEN/agency-swarm-api-railway-template","VRSEN_agency-swarm-api-railway-template","agency_swarm","53","42","3","2025-06-02","Agency Swarm Railway Deployment Template","1","0","1","0","0","0","0","0","0","0","0","0","0","10","0.0","pyan","True","0","200.0","absent","","agency_swarm, openai","0","","1","imports_fw_no_call_site","agency_swarm","9","0","1","0","0","uncovered","real LLM app, but imports only agency_swarm, openai — outside the top-20, not measured"
"jchavezar/vertex-ai-samples","jchavezar_vertex-ai-samples","crewai","42","577225","4","2026-06-26","","1","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","not_processed","","vertexai, agents, langchain, crewai, openai, langchain_google_vertexai, langchain_core, anthropic, langgraph, langchain_community, langchain_experimental","0","","1","clone_failed","crewai","813","28","101","27","7","",""
"huka81/decision-intelligence-runtime","huka81_decision-intelligence-runtime","clai","40","60861","3","2026-06-26","The first open-source implementation blueprint for Intelligent AI Delegation. A deterministic runtime (DIR) and architecture for Responsibility-Oriented Agents (ROA) to bridge the gap between LLM reas","0","0","1","0","5","5","0","4","5","0","0","0","0","1226","0.33","pyan","True","0","103.3","ok","","langchain, langchain_ollama, langchain_core, openai, crewai","0","upstream_name?=dir_core","0","","","","","","","","",""
"aivrar/portable-hermes-agent","aivrar_portable-hermes-agent","honcho, mem0","179","18152","146","2026-05-22","Hermes Agent made portable desktop for Windows — 100 tools, GUI, local models via LM Studio, TTS, Music, ComfyUI, workflows, tool maker. No install. No Docker. No admin rights.","1","1","1","0","42","42","0","22","0","1","1","0","0","56371","0.04","none","False","2","0.0","ok","","openai, honcho, mem0, mistralai, anthropic","0","","0","","","","","","","","",""
"oceanbase/powerrag","oceanbase_powerrag","graphrag","147","91654","425","2026-03-26","PowerRAG: Build smarter, more accurate RAG systems with OceanBase's multi-modal retrieval.","1","1","1","0","20","21","1","20","110","0","0","0","0","5864","0.34","pyan_resilient","True","2","126.0","ok","","graphrag, openai, dashscope, anthropic, litellm, mistralai, replicate, ollama, cohere, vertexai, zhipuai","0","","0","","","","","","","","",""
"nolabs-ai/AgentUp","nolabs-ai_AgentUp","crewai","124","37299","5","2026-06-29","Portable , scalable , secure AI Agents","1","1","1","0","2","2","0","2","3","0","0","0","0","2495","0.08","pyan","True","0","110.6","ok","","crewai","0","","0","","","","","","","","",""
"trpc-group/trpc-agent-python","trpc-group_trpc-agent-python","langchain_huggingface, mem0","89","10765","13","2026-06-29","tRPC-Agent-Python provides an end-to-end foundation for agent building, orchestration, tool integration, session and long-term memory, service deployment, and observability, so you can ship reliable a","1","1","1","0","22","22","0","20","46","8","1","7","0","15738","0.13","pyan","True","0","113.1","ok","","langchain_core, langgraph, langchain, mem0, langchain_community, langchain_huggingface, anthropic, openai","0","","0","","","","","","","","",""
"upsidelab/enthusiast","upsidelab_enthusiast","langchain_text_splitters","157","15394","11","2026-06-23","Open source AI agent for e-commerce","0","0","1","0","6","6","0","6","10","6","0","6","0","924","0.65","pyan","True","0","160.4","ok","","langchain_core, openai, langchain_openai, mistralai, ollama, langchain, langgraph, langchain_anthropic, anthropic, langchain_google_genai, langchain_mistralai, langchain_ollama","0","","0","","","","","","","","",""
"wesleysimplicio/hermes-turbo-agent","wesleysimplicio_hermes-turbo-agent","mem0","16","305035","1822","2026-06-29","Hermes Agent 100x faster: real benchmarks, optimized hot-paths, and performance dashboard. Turbo scoring + low-latency for production-ready AI agents.","1","1","1","0","0","0","0","0","0","0","0","0","0","0","","none","False","0","0.0","absent","","","0","","1","no_python_files","","0","0","0","0","0","",""
"langchain-ai/open-swe","langchain-ai_open-swe","langgraph, langgraph_cli, langgraph_sdk","10062","16263","31","2026-06-29","An Open-Source Asynchronous Coding Agent","1","1","1","0","10","10","0","10","14","15","7","8","0","4117","0.24","pyan","True","0","95.9","ok","","langgraph, langchain_core, langchain, langchain_fireworks, langchain_anthropic, openai, anthropic, langchain_openai, fireworks","0","","0","","","","","","","","","reviewed 2026-08-25: coding-agent APPLICATION (first-party but an app) — KEEP (EXCLUSIONS §11)"
"IPADS-SAI/MobiAgent","IPADS-SAI_MobiAgent","mem0","1850","37124","10","2026-05-28","The Intelligent GUI Agent for Mobile Phones","1","1","1","0","47","47","0","42","37","2","1","1","0","1086","3.87","pyan_resilient","True","1","83.0","ok","","openai, mem0, langchain_core, langchain_openai","0","","0","","","","","","","","",""
"mnemosyne-oss/mnemosyne","mnemosyne-oss_mnemosyne","honcho, mem0","1332","3630","55","2026-06-29","The Zero-Dependency, Sub-Millisecond AI Memory System for Hermes Agents and Everyone Else!","1","1","1","0","1","1","0","1","19","17","0","17","0","4861","0.02","pyan_resilient","True","1","122.6","ok","","honcho, mem0, openai","0","","0","","","","","","","","",""
"HUST-AI-HYZ/MemoryAgentBench","HUST-AI-HYZ_MemoryAgentBench","langchain_openai, mem0","386","2681","2","2026-05-21","Open source code for ICLR 2026 Paper: Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions","1","1","1","0","76","83","7","64","1254","0","0","0","2","3762","1.7","pyan_resilient","True","1","139.1","ok","","mem0, openai, anthropic, litellm, langchain, langchain_community, deepeval, langchain_openai, langchain_core, ollama, together, vertexai, groq, langchain_google_genai","0","","0","","","","","","","","",""
"skygazer42/Weaver","skygazer42_Weaver","clai, mem0","167","6169","3","2026-05-30","基于 LangGraph 的企业级 AI 智能体平台，支持深度研究、代码执行 ，并提供 62+ 内置工具与类Manus的多 Agent 配置。支持 SSE 实时流、任务取消、记忆管理以及多模态交互等能力","1","1","1","0","150","152","2","113","242","98","4","94","0","2126","5.32","pyan","True","0","122.3","ok","","langchain_core, langchain, langchain_openai, langgraph, openai, dashscope, langchain_anthropic, mem0","0","","0","","","","","","","","",""
"FromCSUZhou/Econometrics-Agent","FromCSUZhou_Econometrics-Agent","agentops, metagpt, semantic_kernel","355","16344","3","2025-07-01","Econometrics AI Agent: A specialized LLM-driven agent for automating complex econometric analysis with zero-shot learning, outperforming general AI in expert tasks. 🚀","1","1","1","0","13","13","0","13","170","6","0","6","0","2274","0.57","pyan","True","0","117.5","ok","","metagpt, openai, langchain_core, semantic_kernel, langchain, dashscope, zhipuai, langchain_community, langchain_openai, agentops, anthropic, langchain_experimental, litellm","0","","0","","","","","","","","",""
"nativ3ai/hermes-agent-camel","nativ3ai_hermes-agent-camel","honcho","188","69522","796","2026-05-07","Hermes Agent fork with integrated CaMeL trust boundaries","1","0","1","0","31","31","0","18","0","1","1","0","0","29667","0.06","none","False","4","0.0","ok","","openai, honcho, mistralai, anthropic, mem0","0","","0","","","","","","","","",""
"phil65/agentpool","phil65_agentpool","pydantic_ai","170","32966","4","2026-04-25","A unified agent orchestration hub that lets you configure and manage multiple AI agents (native, ACP, AGUI, Claude Code) via YAML, and exposes them through standardized protocols (ACP/OpenCode Server)","1","1","1","0","121","122","1","104","1532","456","67","389","0","4685","2.22","pyan_resilient","True","1","140.7","ok","","pydantic_ai, openai, anthropic","0","","0","","","","","","","","",""
"oceanbase/obdiag","oceanbase_obdiag","langgraph, langgraph_sdk","159","8866","22","2026-05-19","obdiag (OceanBase Diagnostic Tool)  is designed to help OceanBase users quickly gather necessary information and analyze the root cause of the problem.","1","1","1","0","3","3","0","3","181","0","0","0","0","3786","0.08","pyan_resilient","True","1","103.7","ok","","langchain_core, langchain, langgraph","0","","0","","","","","","","","",""
"agiresearch/AIOS","agiresearch_AIOS","mem0","5992","23228","53","2026-06-22","AIOS: AI Agent Operating System","1","1","1","0","4","4","0","4","11","6","0","6","0","1518","0.26","pyan_resilient","True","1","87.5","ok","","litellm, openai, mem0","0","","0","","","","","","","","",""
"oracle/wayflow","oracle_wayflow","swarm","185","28630","26","2026-06-23","WayFlow is a powerful, intuitive Python library for building sophisticated AI-powered assistants. It is a reference runtime for Agent Spec, with native support for all Agent Spec Agents and Flows.","1","1","1","0","9","9","0","8","0","7","7","0","0","5396","0.15","pyan_resilient","True","3","138.1","ok","","litellm, langchain_community, openai, langchain_core","0","","0","","","","","","","","",""
"yaalalabs/agent-kernel","yaalalabs_agent-kernel","crewai, smolagents","31","60112","15","2026-06-29","The Operating System for Scalable Enterprise AI Agents - Run, orchestrate, and deploy Compliant Enterprise AI Agents at scale across frameworks, without lock-in, rewrites or fragile glue code. Native ","1","1","1","0","34","36","2","33","37","23","13","10","2","3501","0.94","pyan","True","0","113.7","ok","","agents, langgraph, crewai, langchain_openai, pydantic_ai, langchain_core, smolagents, litellm, openai, ragas","0","","0","","","","","","","","",""
"avibe-bot/avibe","avibe-bot_avibe","clai","478","61962","14","2026-06-29","The local-first Agent OS — your AI partner lives on your own machine. Drive the official Claude Code, Codex & OpenCode from your browser or any chat app.","0","0","1","0","0","0","0","0","0","0","0","0","0","23985","0.0","none","False","6","0.0","absent","","agents","0","","1","framework_never_imported","","772","0","368","25","49","uncovered","real LLM app, but imports only agents — outside the top-20, not measured"
"arc53/DocsGPT","arc53_DocsGPT","graphrag","17959","96527","237","2026-06-29","Private AI platform for agents, assistants and enterprise search. Built-in Agent Builder, Deep research, Document analysis, Multi-model support, and API connectivity for agents.","1","1","1","0","6","6","0","6","3","3","0","3","0","13117","0.05","pyan_resilient","True","6","104.3","ok","","langchain_core, langchain_community, openai, agents, anthropic, langchain, langchain_openai","0","","0","","","","","","","","",""
"agno-agi/pal","agno-agi_pal","agno","265","317","4","2026-04-28","Pal is a Personal Agent that Learns how you work by building a compounding knowledge base.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","not_processed","","","1","owner_matches=agno","1","clone_failed","","0","0","0","0","0","",""
"modelscope/evalscope","modelscope_evalscope","langchain_openai","2997","73147","78","2026-06-29","A streamlined and customizable framework for efficient large model (LLM, VLM, AIGC) evaluation and performance benchmarking.","1","1","1","0","12","12","0","11","4145","1067","1","1066","1","7340","0.15","pyan_resilient","True","3","128.2","ok","","openai, ragas, langchain_openai, anthropic, langchain_core, langchain_huggingface, langchain_community, litellm","1","imported_by=2 as `evalscope` (e.g. Osilly/Vision-DeepResearch, ai-bot-pro/achatbot)","0","","","","","","","","",""
"future-agi/future-agi","future-agi_future-agi","smolagents","1255","109470","35","2026-06-29","Open-source, end-to-end platform for evaluating, observing, and improving LLM and AI agent applications. Tracing · Evals · Simulations · Datasets · Gateway · Guardrails. Self-hostable. Apache 2.0.","1","1","1","0","35","35","0","33","0","5","5","0","0","30411","0.11","none","False","2","0.0","ok","","litellm, openai, langchain, anthropic, langchain_community, dspy, langchain_core, livekit","0","","0","","","","","","","","",""
"agntcy/agentic-apps","agntcy_agentic-apps","autogen_ext","116","43008","20","2026-06-22","Agentic Applications built using IoA components","1","1","1","0","7","7","0","7","6","0","0","0","0","303","2.31","pyan","True","0","111.6","ok","","agents, autogen_ext, langchain_mistralai, langchain_openai, langchain_ollama, langchain_core, autogen_agentchat, langgraph, langchain, autogen_core","0","","0","","","","","","","","",""
"google/adk-samples","google_adk-samples","clai","9780","309530","123","2026-06-27","A collection of sample agents built with Agent Development Kit (ADK) ","0","0","1","0","0","0","0","0","0","0","0","0","4","8933","0.0","pyan_resilient","True","1","102.1","absent","","vertexai, agents, phoenix, langchain_community","0","","1","framework_never_imported","","1721","1","495","0","5","",""
"plexe-ai/plexe","plexe-ai_plexe","smolagents","2584","8787","9","2026-03-06","✨ Build a machine learning model from a prompt","1","1","1","0","14","14","0","14","21","12","0","12","0","685","2.04","pyan","True","0","110.4","ok","","smolagents, litellm","0","","0","","","","","","","","",""
"OPPO-PersonalAI/Agent-KB","OPPO-PersonalAI_Agent-KB","agentops, camel, smolagents","443","53336","2","2025-08-19","Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving","1","1","1","0","14","14","0","11","12","0","0","0","0","6514","0.17","pyan_resilient","True","1","104.1","ok","","litellm, smolagents, openai, langchain, camel, anthropic, langchain_community, langchain_huggingface, mistralai, cohere, agentops","0","","0","","","","","","","","",""
"EvoScientist/EvoScientist","EvoScientist_EvoScientist","langchain, langchain_anthropic, langchain_core, langchain_openrouter, langgraph, langgraph_sdk","3901","25908","22","2026-06-29","🔬 Harness Vibe Research with Self-evolving AI Scientists","1","1","1","0","38","38","0","31","2841","1793","13","1780","0","6412","0.48","pyan_resilient","True","3","111.7","ok","","langchain_core, langgraph, langchain, langchain_openai, anthropic, langchain_openrouter, openai, langchain_nvidia_ai_endpoints, langchain_deepseek, langchain_anthropic","0","","0","","","","","","","","",""
"chaosblade-io/chaosblade","chaosblade-io_chaosblade","langchain_core, langgraph","6358","8852","53","2026-06-29","An easy to use and powerful chaos engineering experiment toolkit.（阿里巴巴开源的一款简单易用、功能强大的混沌实验注入工具）","1","1","1","0","62","62","0","37","3234","2267","7","2260","0","6017","0.61","pyan","True","0","100.4","ok","","langchain_core, langgraph, openai, langchain_openai","0","","0","","","","","","","","",""
"rush86999/atom","rush86999_atom","graphrag","773","628195","9","2026-06-29","Atom Agent, Open-Source AI Agent Platform for Self-Hosted Automation","1","1","1","0","16","16","0","8","0","1","1","0","0","115998","0.01","none","False","16","0.0","failed","OutOfMemoryError","openai, langchain, litellm, ollama, cohere, anthropic","0","","0","","","","","","","","",""
"Alex8791-cyber/cognithor","Alex8791-cyber_cognithor","autogen_agentchat, autogen_ext","150","64125","4","2026-06-29","Cognithor · Agent OS: Local-first autonomous agent operating system. 19 LLM providers, 18 channels, 145 MCP tools, 6-tier memory, Agent Packs marketplace, zero telemetry. Python 3.12+, Apache 2.0.","1","1","1","0","1","1","0","1","0","0","0","0","0","29560","0.0","none","False","2","0.0","ok","","autogen_agentchat, autogen_ext, ollama, agents","0","","0","","","","","","","","",""
"getsentry/sentry","getsentry_sentry","camel, honcho","44190","901573","1060","2026-06-29","Developer-first error tracking and performance monitoring","1","1","1","0","0","0","0","0","0","0","0","0","0","64690","0.0","none","False","2","0.0","absent","","honcho","0","imported_by=1 as `sentry` (e.g. temporalio/samples-python)","1","imports_fw_no_call_site","honcho","7939","0","2594","25","0","uncovered","real LLM app, but imports only honcho — outside the top-20, not measured"
"traceloop/openllmetry","traceloop_openllmetry","agno, crewai","7247","67319","109","2026-06-28","Open-source observability for your GenAI or LLM application, based on OpenTelemetry","1","1","1","0","276","278","2","264","66","197","195","2","0","5082","5.19","pyan","True","0","110.0","ok","","openai, langchain_core, agents, langchain_openai, anthropic, litellm, agno, groq, langgraph, langchain_community, replicate, vertexai, ollama, mistralai, cohere, crewai, haystack, langchain_cohere, langchain_anthropic, together, langchain, langchain_aws","0","","0","","","","","","","","",""
