"full_name","html_url","description","matched_query","homepage","owner_login","owner_type","stars","forks","watchers","subscribers_count","network_count","language","import_names","topics","open_issues","size_kb","default_branch","visibility","is_template","allow_forking","has_issues","has_projects","has_wiki","has_pages","has_discussions","has_downloads","has_ci","created_at","updated_at","pushed_at","latest_default_branch_commit_date","archived","disabled","fork","license","contributors_count","test_file_count","test_function_count","clone_url"
"pydantic/pydantic-ai","https://github.com/pydantic/pydantic-ai","AI Agent Framework, the Pydantic way","AI agent framework stars:>=1000 language:Python","https://pydantic.dev/pydantic-ai","pydantic","Organization","18057","2270","18057","113","2270","Python","clai;pydantic_ai;pydantic_evals;pydantic_graph","agent-framework,genai,llm,pydantic,python","660","199547","main","public","False","True","True","False","False","False","False","True","True","2024-06-21T15:55:04Z","2026-06-29T06:22:32Z","2026-06-27T17:46:11Z","2026-06-27T17:46:11Z","False","False","False","MIT","485","163","5454","https://github.com/pydantic/pydantic-ai.git"
"TransformerOptimus/SuperAGI","https://github.com/TransformerOptimus/SuperAGI","<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably.","AI agent framework stars:>=1000 language:Python","https://superagi.com/","TransformerOptimus","Organization","17595","2217","17595","175","2217","Python","superagi","agents,agi,ai,artificial-general-intelligence,artificial-intelligence,autonomous-agents,gpt-4,hacktoberfest,llm,llmops,nextjs,openai,pinecone,python,superagi","267","63451","main","public","False","True","True","True","True","False","True","True","True","2023-05-13T08:55:24Z","2026-06-29T06:57:02Z","2025-01-22T22:14:07Z","2025-01-22T22:14:07Z","False","False","False","MIT","74","121","398","https://github.com/TransformerOptimus/SuperAGI.git"
"camel-ai/camel","https://github.com/camel-ai/camel","🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org","AI agent framework stars:>=1000 language:Python","https://docs.camel-ai.org/","camel-ai","Organization","17297","1971","17297","120","1971","Python","biztoc;camel;coursera;create_qr_code;klarna;nasa_apod;outschool;services;speak;web_scraper","agent,ai-societies,artificial-intelligence,communicative-ai,cooperative-ai,deep-learning,large-language-models,multi-agent-systems,natural-language-processing","446","500032","master","public","False","True","True","True","True","True","True","True","True","2023-03-17T21:41:54Z","2026-06-29T07:13:05Z","2026-06-28T04:53:54Z","2026-06-28T04:53:53Z","False","False","False","Apache-2.0","223","277","2264","https://github.com/camel-ai/camel.git"
"raga-ai-hub/RagaAI-Catalyst","https://github.com/raga-ai-hub/RagaAI-Catalyst","Python SDK for Agent AI Observability, Monitoring and Evaluation Framework. Includes features like agent, llm and tools tracing, debugging multi-agentic system, self-hosted dashboard and advanced analytics with timeline and execution graph view ","AI agent framework stars:>=1000 language:Python","https://catalyst.raga.ai/","raga-ai-hub","Organization","16149","3586","16149","37","3586","Python","ragaai_catalyst","agentic-ai,agentic-ai-development,agentneo,agents,ai-agent-monitoring,ai-application-debugging,ai-evaluation-tools,ai-performance-optimization,ai-tool-interaction-monitoring,llm-testing,llm-tracing,llmops","34","58519","main","public","False","True","True","True","False","True","True","True","True","2024-08-26T12:13:15Z","2026-06-29T05:00:38Z","2026-02-11T14:43:33Z","2025-05-16T17:18:51Z","False","False","False","Apache-2.0","28","17","65","https://github.com/raga-ai-hub/RagaAI-Catalyst.git"
"GreyDGL/PentestGPT","https://github.com/GreyDGL/PentestGPT","Automated Penetration Testing Agentic Framework Powered by Large Language Models","LLM powered agents framework stars:>=1000 language:Python","","GreyDGL","User","14009","2432","14009","341","2432","Python","pentestgpt;pentestgpt_legacy","large-language-models,llm,penetration-testing,python","61","34624","main","public","False","True","True","True","True","False","True","True","True","2023-02-27T06:01:53Z","2026-06-29T05:31:25Z","2026-06-07T07:25:45Z","2026-06-07T07:25:45Z","False","False","False","MIT","24","17","193","https://github.com/GreyDGL/PentestGPT.git"
"microsoft/agent-framework","https://github.com/microsoft/agent-framework","A framework for building, orchestrating and deploying AI agents and multi-agent workflows with support for Python and .NET.","AI agent framework stars:>=1000 language:Python | multi-agent orchestration framework stars:>=1000 language:Python","https://aka.ms/agent-framework","microsoft","Organization","11740","1978","11740","105","1978","Python","agent_framework;agent_framework_a2a;agent_framework_ag_ui;agent_framework_ag_ui_examples;agent_framework_anthropic;agent_framework_azure_ai_search;agent_framework_azure_contentunderstanding;agent_framework_azure_cosmos;agent_framework_azurefunctions;agent_framework_bedrock;agent_framework_chatkit;agent_framework_claude;agent_framework_copilotstudio;agent_framework_declarative;agent_framework_devui;agent_framework_durabletask;agent_framework_foundry;agent_framework_foundry_hosting;agent_framework_foundry_local;agent_framework_gemini;agent_framework_github_copilot;agent_framework_hosting;agent_framework_hosting_responses;agent_framework_hosting_telegram;agent_framework_hyperlight;agent_framework_lab_gaia;agent_framework_lab_lightning;agent_framework_lab_tau2;agent_framework_mem0;agent_framework_meta;agent_framework_mistral;agent_framework_monty;agent_framework_ollama;agent_framework_openai;agent_framework_orchestrations;agent_framework_purview;agent_framework_redis;agent_framework_tools","agent-framework,agentic-ai,agents,ai,dotnet,multi-agent,orchestration,python,sdk,workflows","675","123481","main","public","False","True","True","True","False","False","True","True","True","2025-04-28T19:40:42Z","2026-06-29T07:04:17Z","2026-06-29T02:03:57Z","2026-06-28T18:32:01Z","False","False","False","MIT","155","277","8366","https://github.com/microsoft/agent-framework.git"
"livekit/agents","https://github.com/livekit/agents","A framework for building realtime voice AI agents 🤖🎙️📹 ","AI agent framework stars:>=1000 language:Python","https://docs.livekit.io/agents","livekit","Organization","11168","3265","11168","97","3265","Python","agents;anam;anthropic;assemblyai;asyncai;avatario;avatartalk;aws;azure;baseten;bey;bithuman;blingfire;blockguard;browser;cambai;cartesia;cerebras;clova;deepgram;did;durable;elevenlabs;fal;fireworksai;fishaudio;gladia;gnani;google;gradium;groq;hamming;hedra;hume;inworld;keyframe;krisp;langchain;lemonslice;liveavatar;lmnt;minimal;minimax;mistralai;murf;neuphonic;nltk;nvidia;openai;perplexity;phonic;protoface;realtime;resemble;respeecher;rime;rtzr;runway;sarvam;silero;simli;simplismart;slng;smallestai;soniox;speechify;speechmatics;spitch;tavus;telnyx;trugen;turn_detector;ultravox;upliftai;xai","agents,ai,openai,real-time,video,voice","663","32940","main","public","False","True","True","False","True","False","False","True","True","2023-10-19T23:00:55Z","2026-06-29T06:59:02Z","2026-06-29T01:11:03Z","2026-06-28T19:08:16Z","False","False","False","Apache-2.0","406","109","1272","https://github.com/livekit/agents.git"
"TEN-framework/ten-framework","https://github.com/TEN-framework/ten-framework"," Open-source framework for conversational voice AI agents","AI agent framework stars:>=1000 language:Python","https://agent.theten.ai/","TEN-framework","Organization","10799","1312","10799","71","1312","Python","aio_http_server_python;aliyun_asr;aliyun_asr_bigmodel_python;anam_avatar_python;asr_guarder;assemblyai_asr_python;audio_file_player_python;aws_asr_python;azure_asr_python;azure_mllm_python;azure_tts_python;bedrock_llm_python;bingsearch_tool_python;blaze_stt_python;blaze_tts_python;bytedance_asr;bytedance_llm_based_asr;bytedance_tts_duplex;cartesia_tts;clingo;computer_tool_python;conversation_recorder;cosy_tts_python;coze_llm2_python;deepgram_asr_python;deepgram_tts;deepgram_ws_asr_python;default_asr_extension_python;default_async_extension_python;default_extension_python;default_llm_extension_python;default_mllm_extension_python;default_tts_extension_python;dify_llm2_python;dingtalk_bot_tool_python;dubverse_tts;elevenlabs_asr_python;elevenlabs_tts2_python;ezai_asr;fashionai;fish_audio_tts_python;gemini_llm2_python;gemini_mllm_python;gemini_tts_python;generic_video_python;gladia_asr_python;glm_mllm_python;glue_python_async;google_asr_python;google_tts_python;gperftools;gradium_asr_python;gradium_tts_python;grok_python;groq_tts_python;heygen_avatar_python;humeai_tts_python;inworld_tts_python;mcp_client_python;message_collector2;minimax_tts_websocket_python;murf_tts_python;neuphonic_tts;nvidia_riva_tts_python;oceanbase_powerrag_python;ollama_python;openai_asr_python;openai_gpt_image_python;openai_image_generate_tool;openai_llm2_python;openai_mllm_python;openai_tts2_python;openclaw_gateway_tool_python;oracle_asr_python;oracle_tts_python;pcm_file_reader_python;pil_demo_python;playht_tts_python;polly_tts;pprof;pytest_ten;queritsearch_tool_python;qwen3_tts_python;rime_http_tts;rime_tts;sarvam_asr_python;sarvam_http_tts;simple_echo_python;soniox_asr_python;spatius_avatar_python;speechmatics_asr_python;stepfun_mllm_python;stepfun_tts_python;streamid_adapter;ten_runtime;ten_turn_detection;ten_vad_python;tencent_asr_python;tencent_tts_python;text_webhook;thymia_analyzer_python;tts_guarder;vibevoice_tts_websocket_python;vision_analyze_tool_python;vision_tool_python;weatherapi_tool_python;websocket_server;websocket_server_python;whisper_stt_python;xai_asr_python;xai_tts_python;xfyun_asr_bigmodel_python;xfyun_asr_dialect_python;xfyun_asr_python","ai,multi-modal,real-time,video,voice","217","125489","main","public","False","True","True","True","False","False","True","True","True","2024-06-19T14:26:15Z","2026-06-29T06:05:58Z","2026-06-29T03:25:24Z","2026-06-27T06:52:14Z","False","False","False","NOASSERTION","79","453","1061","https://github.com/TEN-framework/ten-framework.git"
"MervinPraison/PraisonAI","https://github.com/MervinPraison/PraisonAI","PraisonAI 🦞 — Hire a 24/7 AI Workforce. Stop writing boilerplate and start shipping autonomous self-improving agents that research, plan, code, and execute tasks. Deployed in 5 lines of code with built-in memory, RAG, and support for 100+ LLMs.","AI agent framework stars:>=1000 language:Python","https://praison.ai/docs","MervinPraison","User","8312","1286","8312","77","1286","Python","praisonai;praisonai_platform","agents,ai,ai-agent-framework,ai-agent-sdk,ai-agents,ai-agents-framework,ai-agents-sdk,ai-framwork,aiagent,aiagentframework,aiagents,aiagentsframework,framework,hermes,hermes-agent,multi-agent,multi-agent-system,multi-agents,multi-ai-agents,openclaw","95","78700","main","public","False","True","True","True","True","True","True","True","True","2024-03-19T16:45:25Z","2026-06-29T06:41:18Z","2026-06-29T06:41:26Z","2026-06-29T06:41:13Z","False","False","False","MIT","60","1055","14779","https://github.com/MervinPraison/PraisonAI.git"
"2FastLabs/agent-squad","https://github.com/2FastLabs/agent-squad","Flexible and powerful framework for managing multiple AI agents and handling complex conversations","AI agent framework stars:>=1000 language:Python","https://2fastlabs.github.io/agent-squad/","2FastLabs","Organization","7671","723","7671","50","723","Python","agent_squad","agentic-ai,agents,ai-agents,ai-agents-framework,anthropic,anthropic-claude,aws,aws-bedrock,aws-cdk,aws-lambda,chatbot,framework,generative-ai,machine-learning,openai,openaiapi,orchestrator,python,serverless,typescript","122","68603","main","public","False","True","True","True","True","True","True","True","True","2024-07-23T12:48:30Z","2026-06-28T13:57:06Z","2026-06-26T14:31:04Z","2026-06-26T14:31:04Z","False","False","False","Apache-2.0","33","23","282","https://github.com/2FastLabs/agent-squad.git"
"kyegomez/swarms","https://github.com/kyegomez/swarms","The Enterprise-Grade Production-Ready Multi-Agent Orchestration Framework. Website: https://swarms.ai","AI agent framework stars:>=1000 language:Python | multi-agent orchestration framework stars:>=1000 language:Python","https://docs.swarms.world","kyegomez","User","6896","961","6896","66","961","Python","swarms","agentic-ai,agentic-workflow,agents,ai,artificial-intelligence,chatgpt,claude-code,gpt4all,huggingface,langchain,langchain-python,machine-learning,multi-agent-systems,prompt-engineering,prompt-toolkit,prompting,swarms,tree-of-thoughts","78","187205","master","public","False","True","True","True","True","False","True","True","True","2023-05-11T01:09:00Z","2026-06-29T05:53:28Z","2026-06-28T13:17:01Z","2026-06-28T13:17:01Z","False","False","False","Apache-2.0","58","88","1405","https://github.com/kyegomez/swarms.git"
"lavague-ai/LaVague","https://github.com/lavague-ai/LaVague","Large Action Model framework to develop AI Web Agents","AI agent framework stars:>=1000 language:Python","https://docs.lavague.ai/en/latest/","lavague-ai","Organization","6375","574","6375","53","574","Python","_bundle;anthropic;cache;cohere;contexts;core;fireworks;gemini;gradio;openai;playwright;qa;selenium;server","ai,browser,large-action-model,llm,oss,rag","104","100444","main","public","False","True","True","True","True","False","False","True","True","2024-02-26T23:40:23Z","2026-06-28T11:42:02Z","2025-01-21T13:41:48Z","2025-01-21T13:41:48Z","False","False","False","Apache-2.0","31","1","1","https://github.com/lavague-ai/LaVague.git"
"AgentOps-AI/agentops","https://github.com/AgentOps-AI/agentops","Python SDK for AI agent monitoring, LLM cost tracking, benchmarking, and more. Integrates with most LLMs and agent frameworks including CrewAI, Agno, OpenAI Agents SDK, Langchain, Autogen, AG2, and CamelAI","AI agent framework stars:>=1000 language:Python","https://agentops.ai","AgentOps-AI","Organization","5661","602","5661","49","602","Python","ag2;agent;agentops;agents;agno;anthropic;builder;concurrent_futures;crewai;dspy;google_adk;google_genai;haystack;ibm_watsonx_ai;jockey;langchain;langgraph;mem0;openai;openai_agents;smolagents;v1;v4;xpander","agent,agentops,agents-sdk,ai,anthropic,autogen,cost-estimation,crewai,evals,evaluation-metrics,groq,langchain,llm,mistral,ollama,openai,openai-agents","165","177625","main","public","False","True","True","True","True","False","True","True","True","2023-08-15T23:26:23Z","2026-06-28T22:50:19Z","2026-06-25T08:25:03Z","2026-06-25T08:25:03Z","False","False","False","MIT","49","88","1076","https://github.com/AgentOps-AI/agentops.git"
"plastic-labs/honcho","https://github.com/plastic-labs/honcho"," Memory library for building stateful agents","LLM agent library stars:>=1000 language:Python","https://docs.honcho.dev","plastic-labs","Organization","5628","669","5628","23","669","Python","honcho;honcho_cli;src","agent-memory,ai,ai-agents,ai-memory,anthropic,context-engineering,continual-learning,embeddings,fastapi,langchain,llm,long-term-memory,memory,openai,personalization,python,rag,state-management,typescript,vector-database","136","20364","main","public","False","True","True","True","True","False","False","True","True","2023-09-10T21:29:54Z","2026-06-29T07:41:36Z","2026-06-26T21:31:06Z","2026-06-26T16:48:02Z","False","False","False","AGPL-3.0","40","128","1329","https://github.com/plastic-labs/honcho.git"
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","🐢 Open-Source Evaluation & Testing library for LLM Agents","LLM agent library stars:>=1000 language:Python","https://docs.giskard.ai","Giskard-AI","Organization","5472","478","5472","40","478","Python","agents;checks;core;giskard_pypi_shim;llm;scan","agent-evaluation,ai-red-team,ai-security,ai-testing,fairness-ai,llm,llm-eval,llm-evaluation,llm-security,llmops,ml-testing,ml-validation,mlops,rag-evaluation,red-team-tools,responsible-ai,trustworthy-ai","70","176967","main","public","False","True","True","False","True","False","True","True","True","2022-03-06T21:45:37Z","2026-06-29T02:35:07Z","2026-06-29T02:35:04Z","2026-06-29T02:35:01Z","False","False","False","Apache-2.0","82","94","1086","https://github.com/Giskard-AI/giskard-oss.git"
"omnigent-ai/omnigent","https://github.com/omnigent-ai/omnigent","Omnigent is an open-source AI agent framework and meta-harness: orchestrate Claude Code, Codex, Cursor, Pi, and custom agents — swap harnesses without rewriting, enforce policies and sandboxing, and collaborate in real time from any device.","AI agent framework stars:>=1000 language:Python | multi-agent orchestration framework stars:>=1000 language:Python","https://omnigent.ai","omnigent-ai","Organization","5354","683","5354","20","683","Python","dev;omnigent;omnigent_client;omnigent_ui_sdk","agent-framework,agent-governance,agent-orchestration,agents,ai,ai-agent,ai-agents,claude-code,codex,coding-agents,developer-tools,llm,ml,multi-agent,python,sandbox","375","61165","main","public","False","True","True","True","True","False","True","True","True","2026-06-11T12:18:13Z","2026-06-29T07:36:09Z","2026-06-29T07:40:13Z","2026-06-29T07:31:17Z","False","False","False","Apache-2.0","92","887","12068","https://github.com/omnigent-ai/omnigent.git"
"superduper-io/superduper","https://github.com/superduper-io/superduper","Superduper: End-to-end framework for building custom AI applications and agents.","AI agent framework stars:>=1000 language:Python","https://superduper.io","superduper-io","Organization","5298","541","5298","42","541","Python","plugin_test;superduper;superduper_anthropic;superduper_chromadb;superduper_cohere;superduper_jina;superduper_lance;superduper_llamacpp;superduper_mongodb;superduper_openai;superduper_pillow;superduper_qdrant;superduper_redis;superduper_sentence_transformers;superduper_sklearn;superduper_snowflake;superduper_sql;superduper_template;superduper_torch;superduper_transformers;superduper_vllm","ai,chatbot,data,database,distributed-ml,inference,llm-inference,llm-serving,llmops,ml,mlops,mongodb,pretrained-models,python,pytorch,rag,semantic-search,torch,transformers,vector-search","35","77424","main","public","False","True","True","True","False","False","True","True","True","2022-08-30T12:51:24Z","2026-06-26T02:41:53Z","2025-09-01T15:20:18Z","2025-09-01T15:20:18Z","False","False","False","Apache-2.0","49","67","229","https://github.com/superduper-io/superduper.git"
"SolaceLabs/solace-agent-mesh","https://github.com/SolaceLabs/solace-agent-mesh","An event-driven framework designed to build and orchestrate multi-agent AI systems. It enables seamless integration of AI agents with real-world data sources and systems, facilitating complex, multi-step workflows.","AI agent framework stars:>=1000 language:Python | multi-agent orchestration framework stars:>=1000 language:Python","https://solacelabs.github.io/solace-agent-mesh/","SolaceLabs","Organization","4967","261","4967","22","261","Python","cli;config_portal;evaluation;sam_rest_client;src;web_search","a2a,agentframework,agentic,agentic-ai,agentic-framework,agentic-workflow,agenticai,agents,ai,ai-agents,aiagentframework,aiframework,enterprise,event-driven-architecture,framework,mcp,multi-agent,multi-agent-systems,multiagent,rag","72","34420","main","public","False","True","True","True","False","True","True","True","True","2025-01-10T17:11:47Z","2026-06-29T03:03:32Z","2026-06-28T03:18:00Z","2026-06-19T19:04:54Z","False","False","False","Apache-2.0","54","371","6151","https://github.com/SolaceLabs/solace-agent-mesh.git"
"VRSEN/agency-swarm","https://github.com/VRSEN/agency-swarm","Reliable Multi-Agent Orchestration Framework","multi-agent orchestration framework stars:>=1000 language:Python","https://agency-swarm.ai/","VRSEN","User","4463","1057","4463","105","1057","Python","agency_swarm","","7","43825","main","public","False","True","True","True","False","True","True","True","True","2023-11-16T02:29:26Z","2026-06-28T18:09:03Z","2026-06-26T22:13:30Z","2026-06-25T10:31:27Z","False","False","False","MIT","25","153","1252","https://github.com/VRSEN/agency-swarm.git"
"SylphAI-Inc/AdalFlow","https://github.com/SylphAI-Inc/AdalFlow","AdalFlow: The library to build & auto-optimize LLM applications.","AI agent framework stars:>=1000 language:Python | LLM agent library stars:>=1000 language:Python","http://adalflow.sylph.ai/","SylphAI-Inc","Organization","4172","376","4172","22","376","Python","adalflow;integration;tutorials;use_cases","agent,ai,auto-prompting,bm25,chatbot,faiss,framework,generative-ai,information-retrieval,llm,machine-learning,nlp,optimizer,python,question-answering,rag,reranker,retriever,summarization,trainer","64","121135","main","public","False","True","True","True","False","True","True","True","True","2024-04-19T05:05:13Z","2026-06-25T20:06:16Z","2026-05-29T05:49:13Z","2026-05-29T05:49:13Z","False","False","False","MIT","42","54","546","https://github.com/SylphAI-Inc/AdalFlow.git"
"Intelligent-Internet/ii-agent","https://github.com/Intelligent-Internet/ii-agent","II-Agent: a new open-source framework to build and deploy intelligent agents","AI agent framework stars:>=1000 language:Python","https://ii.inc/web/blog/post/ii-agent","Intelligent-Internet","Organization","3352","511","3352","47","511","Python","connector;factory;hooks;ii_agent;ii_agent_tools;ii_server;models;plans;prompts;runs;sandboxes;sessions;skills;src;tools;utils","agent,agentic-ai,ai,ai-agent,ai-agent-framework,llm,manus","14","46567","main","public","False","True","True","True","True","False","False","True","False","2025-04-07T17:45:48Z","2026-06-28T04:01:42Z","2026-04-13T03:54:06Z","2026-04-13T03:53:56Z","False","False","False","Apache-2.0","9","323","8193","https://github.com/Intelligent-Internet/ii-agent.git"
"i-am-bee/beeai-framework","https://github.com/i-am-bee/beeai-framework","Build production-ready AI agents in both Python and Typescript.","AI agent framework stars:>=1000 language:Python","http://framework.beeai.dev","i-am-bee","Organization","3308","455","3308","36","455","Python","beeai_framework;cz_commitizen;eval;requirement","agents,ai,ai-agent,beeai,framework,llm,multiagent,python,typescript","29","15369","main","public","False","True","True","True","False","True","True","True","True","2024-08-23T14:03:06Z","2026-06-28T11:14:51Z","2026-06-28T10:40:08Z","2026-06-28T10:40:07Z","False","False","False","Apache-2.0","85","56","336","https://github.com/i-am-bee/beeai-framework.git"
"cheshire-cat-ai/core","https://github.com/cheshire-cat-ai/core","AI agent microservice","AI agent framework stars:>=1000 language:Python","https://cheshirecat.ai","cheshire-cat-ai","Organization","3062","409","3062","38","409","Python","agui;cat;decorators","ag-ui-protocol,agent,ai,assistant,chatbot,conversational,docker,framework,function-calling,llm,mcp,mcp-client,plugin,python,vector-search","2","15687","main","public","False","True","True","True","False","False","True","True","True","2023-02-08T23:41:18Z","2026-06-29T07:14:20Z","2026-06-23T20:07:42Z","2026-06-23T20:07:41Z","False","False","False","GPL-3.0","87","24","135","https://github.com/cheshire-cat-ai/core.git"
