"rank","score","band","full_name","github_url","imported_by","imported_as","importer_examples","declares_package","stage1_framework","owner_matches","desc_keyword","stars","contributors","total_functions","llm_calls","invokers_direct","nd_tests","nd_tests_direct","frameworks_imported","in_scope","framework_suspect","pypi","description","score_breakdown"
"11","5","strong","InternLM/lmdeploy","https://github.com/InternLM/lmdeploy","17","lmdeploy","FanDongzhe123/RAGSearch, InternLM/InternLM, InternLM/xtuner","lmdeploy","0","","toolkit","7929","140","9817","134","101","133","94","openai, lagent, anthropic","uncovered","0","","LMDeploy is a toolkit for compressing, deploying, and serving LLMs.","imported_by>=2:+3; declares_own_package:+1; desc:toolkit:+1"
"12","5","strong","TauricResearch/TradingAgents","https://github.com/TauricResearch/TradingAgents","7","tradingagents","BSTester/TradingAgentsWeb, IvanWng97/TradingAgents-Telegram, KylinMountain/TradingAgents-AShare","tradingagents","0","","framework","90193","20","820","20","15","126","5","langchain_core, langgraph, langchain_openai, langchain_anthropic, langchain_aws, langchain_google_genai","","0","","TradingAgents: Multi-Agents LLM Financial Trading Framework","imported_by>=2:+3; declares_own_package:+1; desc:framework:+1"
"13","5","strong","eval-protocol/python-sdk","https://github.com/eval-protocol/python-sdk","2","eval_protocol","Osilly/Vision-DeepResearch, Purewhiter/mobilegym","eval_protocol","0","","sdk","107","13","3998","28","24","35","9","openai, litellm, pydantic_ai, langchain_core, fireworks, langgraph, langchain, deepeval, dspy","","1","","The official Python SDK for Eval Protocol","imported_by>=2:+3; declares_own_package:+1; desc:sdk:+1"
"14","5","strong","generative-computing/mellea","https://github.com/generative-computing/mellea","2","mellea","AgentToolkit/altk-boost, docling-project/docling-mcp","mellea","0","","library","481","57","6207","21","16","35","9","openai, ollama, litellm, langchain_core, smolagents, langchain_community","","1","","Mellea is a library for writing generative programs.","imported_by>=2:+3; declares_own_package:+1; desc:library:+1"
"15","5","strong","Scale3-Labs/langtrace-python-sdk","https://github.com/Scale3-Labs/langtrace-python-sdk","5","langtrace_python_sdk","AgentToolkit/agent-mentor, MervinPraison/PraisonAI-Tools, agno-agi_agno","langtrace_python_sdk","0","","sdk","45","13","736","45","39","3","1","openai, langchain_openai, crewai, cohere, dspy, langchain_core, langchain, agents, langchain_anthropic, langchain_community, langgraph, mistralai, anthropic, langchain_ollama, langchain_cohere, groq, autogen, langchain_aws, langchain_google_genai, litellm, ollama, vertexai","","1","","Langtrace SDK for Python Applications","imported_by>=2:+3; declares_own_package:+1; desc:sdk:+1"
"16","5","strong","Pylons/pyramid","https://github.com/Pylons/pyramid","6","pyramid","DataDog/dd-trace-py, Kotti/Kotti, ProzorroUKR/openprocurement.api","pyramid","0","","framework","4086","354","5360","0","0","0","0","","","1","","Pyramid - A Python web framework","imported_by>=2:+3; declares_own_package:+1; desc:framework:+1"
"17","5","strong","elevenlabs/elevenlabs-python","https://github.com/elevenlabs/elevenlabs-python","30","elevenlabs","Devsoul2026/Hermes-One-Click, NousResearch/hermes-agent, PostHog/posthog","elevenlabs","0","","sdk","3014","56","3448","0","0","0","0","","","1","","The official Python SDK for the ElevenLabs API.","imported_by>=2:+3; declares_own_package:+1; desc:sdk:+1"
"18","5","strong","grll/mcpadapt","https://github.com/grll/mcpadapt","8","mcpadapt","MINDS-THU/HAMLET, OPPO-PersonalAI/Agent-KB, brightdata/brightdata-agent-showcase","mcpadapt","0","","framework","422","15","123","2","2","0","0","smolagents, crewai, langchain_core, langchain_anthropic, langgraph, langchain","","1","","Unlock 650+ MCP servers tools in your favorite agentic framework.","imported_by>=2:+3; declares_own_package:+1; desc:framework:+1"
"19","5","strong","larksuite/oapi-sdk-python","https://github.com/larksuite/oapi-sdk-python","22","lark_oapi","AIAsys/AIASys, Citrus-bit/Anaxa, DemonDamon/AgenticX","lark_oapi","0","","sdk","528","11","73445","0","0","0","0","","","1","","Larksuite development interface SDK","imported_by>=2:+3; declares_own_package:+1; desc:sdk:+1"
"20","5","strong","singlestore-labs/singlestoredb-python","https://github.com/singlestore-labs/singlestoredb-python","5","singlestoredb","EpicStaff/EpicStaff, KruxAI/ragbuilder, The-Swarm-Corporation/swarms-memory","singlestoredb","0","","sdk","36","24","2552","0","0","0","0","langchain_openai, langchain_aws","","1","","Python SDK for the SingleStore database and workspace management APIs","imported_by>=2:+3; declares_own_package:+1; desc:sdk:+1"
"21","5","strong","ulgens/drf-haystack","https://github.com/ulgens/drf-haystack","2","drf_haystack","bcgov/aries-vcr, macports/macports-webapp","drf_haystack","0","","framework","265","40","224","0","0","0","0","haystack","0","1","","Haystack for Django REST Framework","imported_by>=2:+3; declares_own_package:+1; desc:framework:+1"
"22","4","likely","marimo-team/marimo","https://github.com/marimo-team/marimo","7","marimo","Health-Informatics-UoN/lettuce, KasarLabs/cairo-coder, MantisAI/sieves","marimo","0","","","21659","310","17919","12","11","8470","1","pydantic_ai, openai, anthropic, langchain, groq","","1","","A reactive notebook for Python — run reproducible experiments, query with SQL, execute as a script, deploy as an app, and version with git. Stored as pure Python. All in a modern, AI-native editor.","imported_by>=2:+3; declares_own_package:+1"
"23","4","likely","topoteretes/cognee","https://github.com/topoteretes/cognee","8","cognee","HUST-AI-HYZ/MemoryAgentBench, OpenNorve/CogniFold, SuperagenticAI/superqode","cognee","0","","","26111","191","10405","24","15","3193","0","litellm, openai, deepeval, langchain_aws, langchain_openai, mem0, anthropic, mistralai","","1","","Cognee is the open-source AI memory platform for agents. Give your AI agents persistent long-term memory across sessions with a self-hosted knowledge graph engine.","imported_by>=2:+3; declares_own_package:+1"
"24","4","likely","DataDog/dd-trace-py","https://github.com/DataDog/dd-trace-py","6","ddtrace","BerriAI/litellm, aws-solutions-library-samples/guidance-for-no-code-multi-agent-ai-orchestration-on-aws, binrogithub/1-3-Cloud-Adoption-Skills","ddtrace","0","","","642","400","26368","414","396","386","386","openai, anthropic, langchain_core, litellm, vertexai, langgraph, langchain, agents, pydantic_ai, langchain_openai, crewai, mistralai, deepeval, langchain_community, langchain_anthropic, langchain_google_genai, ragas, langchain_cohere","","1","","Datadog Python APM Client","imported_by>=2:+3; declares_own_package:+1"
"25","4","likely","hsliuping/TradingAgents-CN","https://github.com/hsliuping/TradingAgents-CN","7","tradingagents","BSTester/TradingAgentsWeb, IvanWng97/TradingAgents-Telegram, KylinMountain/TradingAgents-AShare","tradingagents","0","","","29346","19","5073","82","66","305","28","langchain_core, langchain_openai, langchain_google_genai, langchain, langgraph, openai, dashscope, langchain_anthropic, langchain_community","","0","","基于多智能体LLM的中文金融交易框架 - TradingAgents中文增强版","imported_by>=2:+3; declares_own_package:+1"
"26","4","likely","forge-sdlc/forge","https://github.com/forge-sdlc/forge","2","forge","Privatris/AgentLeak, Significant-Gravitas/AutoGPT","forge","0","","","13","9","3580","13","10","244","6","langgraph, langchain_core, langchain_anthropic, langchain_google_vertexai, langchain_google_genai","","1","","An intelligent orchestration system that automates the software development lifecycle from Feature ideation through code delivery using AI-powered planning and execution.","imported_by>=2:+3; declares_own_package:+1"
"27","4","likely","PostHog/posthog","https://github.com/PostHog/posthog","27","posthog","CharlesQ9/HistAgent, DemonDamon/AgenticX, EpicStaff/EpicStaff","posthog","0","","","35226","524","154620","371","347","237","237","langchain_core, openai, langgraph, anthropic, litellm, langchain_openai, langchain_anthropic, langchain, langchain_community","","0","","🦔 PostHog is an all-in-one developer platform for building successful products. We offer product analytics, web analytics, session replay, error tracking, feature flags, experimentation, surveys, data","imported_by>=2:+3; declares_own_package:+1"
"28","4","likely","MemoriLabs/Memori","https://github.com/MemoriLabs/Memori","5","memori","Arindam200/awesome-ai-apps, agno-agi_agno, modbender/skill-library-mcp","memori","0","","","15495","43","2199","278","236","222","222","openai, agno, langchain_core, anthropic, langchain_google_genai, langchain_aws, langchain_openai, litellm, langchain_community, langchain_google_vertexai","","1","","Memori is agent-native memory infrastructure. A LLM-agnostic layer that turns agent execution and conversation into structured, persistent state for production systems.","imported_by>=2:+3; declares_own_package:+1"
"29","4","likely","PostHog/posthog-python","https://github.com/PostHog/posthog-python","27","posthog","CharlesQ9/HistAgent, DemonDamon/AgenticX, EpicStaff/EpicStaff","posthog","0","","","59","76","3123","160","148","142","142","openai, anthropic, langchain_core, agents, litellm, langchain_openai, langgraph, langchain, autogen_agentchat, autogen_ext, crewai, dspy, pydantic_ai, semantic_kernel, smolagents, langchain_community, langchain_anthropic","","0","","Send usage data from your Python code to PostHog.","imported_by>=2:+3; declares_own_package:+1"
"30","4","likely","ScrapeGraphAI/Scrapegraph-ai","https://github.com/ScrapeGraphAI/Scrapegraph-ai","2","scrapegraphai","MervinPraison/PraisonAI-Tools, Shubhamsaboo/awesome-llm-apps","scrapegraphai","0","","","27885","120","848","35","29","132","1","langchain_core, langchain_openai, langchain_ollama, langchain_community, openai, langchain_mistralai, langchain_aws, langchain_google_genai, langchain_together, langchain, langchain_nvidia_ai_endpoints","","1","","Python scraper based on AI","imported_by>=2:+3; declares_own_package:+1"
"31","4","likely","seawaylee/tradingagent","https://github.com/seawaylee/tradingagent","7","tradingagents","BSTester/TradingAgentsWeb, IvanWng97/TradingAgents-Telegram, KylinMountain/TradingAgents-AShare","tradingagents","0","","","12","5","515","16","14","86","1","langchain_core, langchain_openai, langgraph, langchain_anthropic, openai, langchain_google_genai","","0","","","imported_by>=2:+3; declares_own_package:+1"
"32","4","likely","lastmile-ai/mcp-agent","https://github.com/lastmile-ai/mcp-agent","2","mcp_agent","Shubhamsaboo/awesome-llm-apps, grupa-ai/agent-mcp","mcp_agent","0","","","8396","60","4155","8","7","74","0","openai, anthropic, crewai, langchain_core, langchain_community, cohere","","1","","Build effective agents using Model Context Protocol and simple workflow patterns","imported_by>=2:+3; declares_own_package:+1"
"33","4","likely","vstorm-co/pydantic-ai-shields","https://github.com/vstorm-co/pydantic-ai-shields","2","pydantic_ai_shields","apache/airflow, vstorm-co/pydantic-deepagents","pydantic_ai_shields","0","","","74","6","123","64","56","50","50","pydantic_ai","","1","","Guardrail capabilities for Pydantic AI — cost tracking, prompt injection detection, PII filtering, secret redaction, tool permissions, and async guardrails. Built on pydantic-ai's native capabilities","imported_by>=2:+3; declares_own_package:+1"
"34","4","likely","microsoft/agent-lightning","https://github.com/microsoft/agent-lightning","5","agentlightning","af-74413592/DeepWerewolf, ericjiang18/Agent-Q-Mix, microsoft/agent-governance-toolkit","agentlightning","0","","","17360","31","3215","75","61","17","13","openai, agentops, litellm, langchain_core, autogen_core, autogen_agentchat, autogen_ext, langgraph, langchain, agents, crewai, langchain_community, anthropic, langchain_openai","","0","","The absolute trainer to light up AI agents.","imported_by>=2:+3; declares_own_package:+1"
"35","4","likely","open-compass/opencompass","https://github.com/open-compass/opencompass","12","opencompass","InternLM/lmdeploy, InternScience/SciReason, JetAstra/SDAR","opencompass","0","","","7137","172","5256","8","8","10","0","lagent, openai, anthropic, zhipuai, langchain, litellm, dashscope","","0","","OpenCompass is an LLM evaluation platform, supporting a wide range of models (Llama3, Mistral, InternLM2,GPT-4,LLaMa2, Qwen,GLM, Claude, etc) over 100+ datasets.","imported_by>=2:+3; declares_own_package:+1"
"36","4","likely","hinthornw/trustcall","https://github.com/hinthornw/trustcall","3","trustcall","langflow-ai/langflow, vibesurf-ai/VibeSurf, zjunlp/LightMem","trustcall","0","","","1075","6","88","13","11","9","5","langchain_core, langgraph, langchain_openai, langchain","","1","","Tenacious tool calling built on LangGraph","imported_by>=2:+3; declares_own_package:+1"
"37","4","likely","mims-harvard/ToolUniverse","https://github.com/mims-harvard/ToolUniverse","2","tooluniverse","FreedomIntelligence/OpenClaw-Medical-Skills, gabrielmoreira/agent-skills-mirror","tooluniverse","0","","","1527","17","18291","8","7","5","0","openai","uncovered","1","","Democratizing AI scientists with ToolUniverse","imported_by>=2:+3; declares_own_package:+1"
"38","4","likely","agentscope-ai/agentscope-runtime","https://github.com/agentscope-ai/agentscope-runtime","0","","","agentscope_runtime","0","agent_framework","framework","828","38","2665","20","15","2","2","dashscope, openai, langchain_core, langgraph, langchain, langchain_openai, agno, agent_framework, autogen_core, autogen_ext, autogen_agentchat","","1","","A production-ready runtime framework for agent apps with secure tool sandboxing, Agent-as-a-Service APIs, scalable deployment, full-stack observability, and broad framework compatibility.","owner_matches:+2; declares_own_package:+1; desc:framework:+1"
"39","4","likely","langchain-ai/langgraph-swarm-py","https://github.com/langchain-ai/langgraph-swarm-py","5","langgraph_swarm","LangConfig/langconfig, ababdotai/awesome-agent-quickstart, femto/minion-agent","langgraph_swarm","0","","","1532","10","21","4","2","2","2","langchain, langchain_core, langgraph, langchain_openai","","1","","For your multi-agent needs","imported_by>=2:+3; declares_own_package:+1"
"40","4","likely","agentscope-ai/agentscope","https://github.com/agentscope-ai/agentscope","8","agentscope","Serverless-Devs/agentrun-sdk-python, af-74413592/DeepWerewolf, agentbay-ai/wuying-agentbay-sdk","agentscope","0","","","27300","72","4993","8","8","1","0","openai, dashscope, mem0, ollama, anthropic","","1","","Build and run agents you can see, understand and trust.","imported_by>=2:+3; declares_own_package:+1"
"41","4","likely","ClairMeta/ClairMeta","https://github.com/ClairMeta/ClairMeta","0","","","clairmeta","0","clai","python package","95","15","481","0","0","0","0","","0","1","","Clairmeta is a python package for Digital Cinema Package (DCP) probing and checking.","owner_matches:+2; declares_own_package:+1; desc:python package:+1"
"42","4","likely","EvoAgentX/EvoAgentX","https://github.com/EvoAgentX/EvoAgentX","2","evoagentx","Shubhamsaboo/awesome-llm-apps, modbender/skill-library-mcp","evoagentx","0","","","3108","32","3270","6","6","0","0","openai, dspy, litellm, ollama","","1","","🚀 EvoAgentX: Building a Self-Evolving Ecosystem of AI Agents","imported_by>=2:+3; declares_own_package:+1"
"43","4","likely","InternLM/xtuner","https://github.com/InternLM/xtuner","5","xtuner","InternScience/SciEvalKit, SmartFlowAI/EmoLLM, SocialAI-tianji/Tianji","xtuner","0","","","5153","60","5352","0","0","0","0","lagent","uncovered","0","","A Next-Generation Training Engine Built for Ultra-Large MoE Models","imported_by>=2:+3; declares_own_package:+1"
"44","4","likely","StonyBrookNLP/appworld","https://github.com/StonyBrookNLP/appworld","5","appworld","Osilly/Vision-DeepResearch, Purewhiter/mobilegym, Trampoline-AI/predict-rlm","appworld","0","","","446","5","1844","2","2","0","0","openai, smolagents, litellm, agents, together","","1","","🌍 AppWorld: A Controllable World of Apps and People for Benchmarking Function Calling and Interactive Coding Agent, ACL'24 Best Resource Paper.","imported_by>=2:+3; declares_own_package:+1"
"45","4","likely","huggingface/diffusers","https://github.com/huggingface/diffusers","39","diffusers","1170300714/Local-DPO, 360CVGroup/FLUX-Makeup, CAI-testbooks/LLM-Course","diffusers","0","","","33955","1131","26049","0","0","0","0","","","1","","🤗 Diffusers: State-of-the-art diffusion models for image, video, and audio generation in PyTorch.","imported_by>=2:+3; declares_own_package:+1"
"46","4","likely","mongodb/motor","https://github.com/mongodb/motor","22","motor","AgentToolkit/agent-mentor, Azure-Samples/autoauth-solution-accelerator, BG8CFB/TradingAgents-CN","motor","0","","","2530","62","880","0","0","0","0","","","1","","Motor - the async Python driver for MongoDB and Tornado or asyncio","imported_by>=2:+3; declares_own_package:+1"
"47","4","likely","tavily-ai/langchain-tavily","https://github.com/tavily-ai/langchain-tavily","12","langchain_tavily","Arindam200/awesome-ai-apps, IBM/watsonx-developer-hub, NVIDIA-AI-Blueprints/aiq","langchain_tavily","0","","","25","14","84","0","0","0","0","langchain_core","","1","","","imported_by>=2:+3; declares_own_package:+1"
"48","4","likely","uriyyo/fastapi-pagination","https://github.com/uriyyo/fastapi-pagination","4","fastapi_pagination","THUIR/MemoryBench, koldakov/futuramaapi, langflow-ai/langflow","fastapi_pagination","0","","","1670","61","563","0","0","0","0","","","1","","FastAPI pagination 📖","imported_by>=2:+3; declares_own_package:+1"
"49","3","likely","vstorm-co/pydantic-deepagents","https://github.com/vstorm-co/pydantic-deepagents","1","pydantic_deep","potpie-ai/potpie","pydantic_deep","0","","framework","907","15","4525","35","32","1365","11","pydantic_ai","","0","","Open-source, self-hosted Claude Code - a terminal AI assistant and the Python framework behind it. Tool-calling, sandboxed execution, multi-agent teams, skills, checkpoints, unlimited context - on Pyd","imported_by==1:+1; declares_own_package:+1; desc:framework:+1"
"50","3","likely","seanchatmangpt/dspygen","https://github.com/seanchatmangpt/dspygen","1","dspygen","seanchatmangpt/dslmodel","dspygen","0","","framework","133","6","3726","221","213","249","1","dspy, openai, ollama, groq","","0","","A Ruby on Rails style framework for the DSPy (Demonstrate, Search, Predict) project for Language Models like GPT, BERT, and LLama.","imported_by==1:+1; declares_own_package:+1; desc:framework:+1"
"51","3","likely","haohervchb/GooseLLM","https://github.com/haohervchb/GooseLLM","63","vllm","5zjk5/prompt-engineering, Alex8791-cyber/cognithor, BerriAI/litellm","vllm","0","","","14","6","30062","433","280","232","232","openai, anthropic, langchain_core, langchain_community, langchain_openai, cohere, lagent","","0","","1CatV2 with TileLANG written FA-v100 and many goodies","imported_by>=2:+3"
"52","3","likely","sands-lab/FOCUS","https://github.com/sands-lab/FOCUS","17","lmdeploy","FanDongzhe123/RAGSearch, InternLM/InternLM, InternLM/lmdeploy","lmdeploy","0","","","16","131","63007","283","234","166","166","openai, lagent, anthropic, zhipuai, langchain, dashscope, dspy, litellm, vertexai, ollama","","0","","[ICML 2026] Official implementation of ""FOCUS: DLLMs Know How to Tame Their Compute Bound"".","imported_by>=2:+3"
"53","3","likely","datarobot-oss/datarobot-genai","https://github.com/datarobot-oss/datarobot-genai","1","datarobot_genai","datarobot-community/datarobot-agent-templates","datarobot_genai","0","","library","14","29","7433","38","38","158","30","langchain_core, openai, crewai, litellm, langgraph, langchain_openai, langchain, deepeval, mem0","","0","","Repository for datarobot-genai library","imported_by==1:+1; declares_own_package:+1; desc:library:+1"
"54","3","likely","DeepXiv/deepxiv_sdk","https://github.com/DeepXiv/deepxiv_sdk","1","deepxiv_sdk","gabrielmoreira/agent-skills-mirror","deepxiv_sdk","0","","python package","731","5","271","2","1","90","0","langgraph, openai, langchain_core","","0","","Talk to research papers like talking to authors - Python package with AI agent for arXiv papers","imported_by==1:+1; declares_own_package:+1; desc:python package:+1"
"55","3","likely","swarmauri/swarmauri-sdk","https://github.com/swarmauri/swarmauri-sdk","0","","","","0","swarm","sdk","104","19","15987","8","8","16","0","openai","uncovered","1","","Modular Python SDK and monorepo for AI agents, LLM integrations, tools, parsers, embeddings, vector stores, and extensible application workflows.","owner_matches:+2; desc:sdk:+1"
"56","3","likely","af-74413592/DeepWerewolf","https://github.com/af-74413592/DeepWerewolf","5","agentlightning","ericjiang18/Agent-Q-Mix, microsoft/agent-governance-toolkit, microsoft/agent-lightning","agentlightning","0","","","72","2","505","24","17","2","0","agentops, openai, litellm, autogen_ext, autogen_agentchat, agents, langgraph, langchain_community, langchain, langchain_core, autogen_core, langchain_openai","","0","","","imported_by>=2:+3"
"57","3","likely","AdventurePilotDev/AdventurePilot","https://github.com/AdventurePilotDev/AdventurePilot","2","openpilot","BluePilotDev/bluepilot, sunnypilot/sunnypilot","openpilot","0","","","13","749","7071","0","0","0","0","","","0","","","imported_by>=2:+3"
"58","3","likely","BluePilotDev/bluepilot","https://github.com/BluePilotDev/bluepilot","2","openpilot","AdventurePilotDev/AdventurePilot, sunnypilot/sunnypilot","openpilot","0","","","124","753","8299","0","0","0","0","","","0","","","imported_by>=2:+3"
"59","3","likely","EnVision-Research/DualCamCtrl","https://github.com/EnVision-Research/DualCamCtrl","8","diffsynth","Echo-Team-Joy-Future-Academy-JD/Echo-Memory, RedMediaTech/ODTSR, SkyworkAI/Matrix-3D","diffsynth","0","","","75","41","2340","0","0","0","0","","","0","","[ECCV 2026] DualCamCtrl: Dual-Branch Diffusion Model for Geometry-Aware Camera-Controlled Video Generation","imported_by>=2:+3"
"60","3","likely","InternScience/SciReason","https://github.com/InternScience/SciReason","12","opencompass","InternLM/lmdeploy, JetAstra/SDAR, Jize-W/RouteMoA","opencompass","0","","","90","149","3514","5","5","0","0","lagent, openai, anthropic, zhipuai, langchain, dashscope","","0","","","imported_by>=2:+3"
"61","3","likely","RedMediaTech/ODTSR","https://github.com/RedMediaTech/ODTSR","8","diffsynth","Echo-Team-Joy-Future-Academy-JD/Echo-Memory, EnVision-Research/DualCamCtrl, SkyworkAI/Matrix-3D","diffsynth","0","","","174","2","2357","0","0","0","0","","","0","","[CVPR2026] ODTSR: This repo is the official implementation of ""One-Step Diffusion Transformer for Controllable Real-World Image Super-Resolution""","imported_by>=2:+3"
"62","3","likely","StellarCN/py-stellar-base","https://github.com/StellarCN/py-stellar-base","1","stellar_sdk","KOSASIH/nexus-revoluter","stellar_sdk","0","","client library","369","51","10118","0","0","0","0","","0","0","","Stellar client library for the Python language","imported_by==1:+1; declares_own_package:+1; desc:client library:+1"
"63","3","likely","camelot-dev/camelot","https://github.com/camelot-dev/camelot","0","","","","0","camel","library","3767","81","749","0","0","0","0","","","1","","A Python library to extract tabular data from PDFs","owner_matches:+2; desc:library:+1"
"64","3","likely","mozilla-ai/mcpd-sdk-python","https://github.com/mozilla-ai/mcpd-sdk-python","1","mcpd","mozilla-ai/agent-factory","mcpd","0","","sdk","23","6","245","0","0","0","0","pydantic_ai, any_agent","","0","","Python SDK for mcpd","imported_by==1:+1; declares_own_package:+1; desc:sdk:+1"
"65","3","likely","nottelabs/bua","https://github.com/nottelabs/bua","0","","","bua","0","notte","","14","14","139","0","0","0","0","","","1","","Browser using agent (bua) notte model on any browser environment","owner_matches:+2; declares_own_package:+1"
"66","3","likely","sunnypilot/sunnypilot","https://github.com/sunnypilot/sunnypilot","2","openpilot","AdventurePilotDev/AdventurePilot, BluePilotDev/bluepilot","openpilot","0","","","1997","745","5192","0","0","0","0","","","0","","sunnypilot is an open source driver assistance system. sunnypilot offers the user a unique driving experience for over 350 supported car makes and models with modified behaviors of driving assist enga","imported_by>=2:+3"
"67","3","likely","uni-medical/SlideChat","https://github.com/uni-medical/SlideChat","5","xtuner","InternLM/xtuner, InternScience/SciEvalKit, SmartFlowAI/EmoLLM","xtuner","0","","","122","3","1086","0","0","0","0","lagent","uncovered","0","","SlideChat: A Large Vision-Language Assistant for Whole-Slide Pathology Image Understanding","imported_by>=2:+3"
"68","3","likely","vita-epfl/Stable-Video-Infinity","https://github.com/vita-epfl/Stable-Video-Infinity","8","diffsynth","Echo-Team-Joy-Future-Academy-JD/Echo-Memory, EnVision-Research/DualCamCtrl, RedMediaTech/ODTSR","diffsynth","0","","","2518","4","2225","0","0","0","0","dashscope","uncovered","0","","[ICLR 26 Oral] Stable Video Infinity: Infinite-Length Video Generation with Error Recycling","imported_by>=2:+3"
"69","2","weak","DeytaHQ/khora","https://github.com/DeytaHQ/khora","0","","","khora","0","","library","92","8","16449","8","7","8108","1","litellm, agents, langgraph, openai, crewai","","0","","Library for creating knowledge repositories from multi-source data and expose a single query substrate","declares_own_package:+1; desc:library:+1"
