"full_name","github_url","import_token","importer_count","importer_files","importers","token_shared_with","passes_fork_check","in_scope","framework_suspect","triage_band","triage_score","stars","nd_tests","llm_calls","invokers_direct","frameworks_imported","description"
"InternLM/lmdeploy","https://github.com/InternLM/lmdeploy","lmdeploy","17","749","FanDongzhe123/RAGSearch; InternLM/InternLM; InternLM/xtuner; InternScience/SciEvalKit; InternScience/SciReason; JetAstra/SDAR; Jize-W/RouteMoA; ML-GSAI/LLaDA; MigoXLab/dingo; Osilly/Vision-DeepResearch; haohervchb/GooseLLM; jiangxxxue/KOCO-bench; open-compass/GTA; open-compass/opencompass; pprp/ACBench; sands-lab/FOCUS; yjyddq/DARE","sands-lab/FOCUS","1","uncovered","0","strong","5","7929","133","134","101","openai, lagent, anthropic","LMDeploy is a toolkit for compressing, deploying, and serving LLMs."
"langchain-ai/langchain-postgres","https://github.com/langchain-ai/langchain-postgres","langchain_postgres","17","33","ENDEVSOLS/Long-Trainer; KruxAI/ragbuilder; RedHatInsights/tangerine-backend; agencyenterprise/draft-detective; cognizant-ai-lab/neuro-san-studio; daxa-ai/pebblo; googleapis/langchain-google-alloydb-pg-python; googleapis/langchain-google-cloud-sql-pg-python; jeremiedecock/snippets; kafein-technology/KAI-Flow; lksnext-ai-lab/ai-core-tools; open-edge-platform/edge-ai-libraries; project-ryoma/ryoma; stevereiner/flexible-graphrag; timothy-odofin/agenthub-be; trpc-group/trpc-agent-python; xt765/LangChain-Chinese-Comment","","1","","1","strong","6","277","0","0","0","langchain_core, langchain_community, langchain_openai","LangChain abstractions backed by Postgres Backend"
"langchain-ai/langchain-litellm","https://github.com/langchain-ai/langchain-litellm","langchain_litellm","15","24","BerriAI/litellm; MODSetter/SurfSense; NVIDIA/NeMo-Agent-Toolkit; RevoltSecurities/RAI; SREGym/SREGym; bvcyber/Cyber-AutoAgent-ng; causalNLP/causal-agent; cuga-project/cuga-agent; datarobot-community/datarobot-agent-templates; datarobot-oss/datarobot-genai; double16/Cyber-AutoAgent-ng; femto/minion-agent; maseval/MASEval; thiswillbeyourgithub/wdoc; wandb/weave","","1","","1","strong","6","42","2","2","2","litellm, langchain_core","🦜🔗 LangChain interface to LiteLLM"
"wandb/weave","https://github.com/wandb/weave","weave","14","44","BioGeMT/agentomics-ml; HeKun-NVIDIA/hackathon_aiqtoolkit; MervinPraison/PraisonAI-Tools; NVIDIA/NeMo-Agent-Toolkit; Osilly/Vision-DeepResearch; Purewhiter/mobilegym; StonyBrookNLP/appworld; agno-agi_agno; deepset-ai/haystack-core-integrations; jiangxxxue/KOCO-bench; ltjed/multiagent-coaching; marimo-team/marimo; microsoft/agent-lightning; uiuc-kang-lab/text_to_sql_benchmarks","","1","","1","strong","5","1105","3758","111","102","openai, litellm, agents, langchain_core, dspy, anthropic, autogen_ext, cohere, crewai, groq, mistralai, vertexai, autogen_core, autogen_agentchat, langchain_google_genai, langchain_google_vertexai, langchain_cohere, langchain_community, langchain_anthropic, langchain_openai, langchain, langchain_nvidia_ai_endpoints, smolagents","Weave is a toolkit for developing AI-powered applications, built by Weights & Biases."
"InternScience/SciReason","https://github.com/InternScience/SciReason","opencompass","12","11133","InternLM/lmdeploy; JetAstra/SDAR; Jize-W/RouteMoA; ML-GSAI/LLaDA; Osilly/Vision-DeepResearch; haohervchb/GooseLLM; modelscope/evalscope; open-compass/GTA; open-compass/opencompass; pprp/ACBench; sands-lab/FOCUS; yjyddq/DARE","open-compass/opencompass","0","","0","likely","3","90","0","5","5","lagent, openai, anthropic, zhipuai, langchain, dashscope",""
"open-compass/opencompass","https://github.com/open-compass/opencompass","opencompass","12","10777","InternLM/lmdeploy; InternScience/SciReason; JetAstra/SDAR; Jize-W/RouteMoA; ML-GSAI/LLaDA; Osilly/Vision-DeepResearch; haohervchb/GooseLLM; modelscope/evalscope; open-compass/GTA; pprp/ACBench; sands-lab/FOCUS; yjyddq/DARE","InternScience/SciReason","1","","0","likely","4","7137","10","8","8","lagent, openai, anthropic, zhipuai, langchain, litellm, dashscope","OpenCompass is an LLM evaluation platform, supporting a wide range of models (Llama3, Mistral, InternLM2,GPT-4,LLaMa2, Qwen,GLM, Claude, etc) over 100+ datasets."
"tavily-ai/langchain-tavily","https://github.com/tavily-ai/langchain-tavily","langchain_tavily","12","20","Arindam200/awesome-ai-apps; IBM/watsonx-developer-hub; NVIDIA-AI-Blueprints/aiq; OpenSourceAGI/ai-broker-investing-agent; THUIR/MemoryBench; UiPath/uipath-langchain-python; ai-forever/giga_agent; awslabs/threat-designer; codemie-ai/codemie; kafein-technology/KAI-Flow; mifunedev/orchestra; trpc-group/trpc-agent-python","","1","","1","likely","4","25","0","0","0","langchain_core",""
"vita-epfl/Stable-Video-Infinity","https://github.com/vita-epfl/Stable-Video-Infinity","diffsynth","8","396","Echo-Team-Joy-Future-Academy-JD/Echo-Memory; EnVision-Research/DualCamCtrl; RedMediaTech/ODTSR; SkyworkAI/Matrix-3D; TIGER-AI-Lab/Context-Forcing; TUM-AVS/target-bench; Yaofang-Liu/Pusa-VidGen; kungfuai/CVlization","RedMediaTech/ODTSR; EnVision-Research/DualCamCtrl","0","uncovered","0","likely","3","2518","0","0","0","dashscope","[ICLR 26 Oral] Stable Video Infinity: Infinite-Length Video Generation with Error Recycling"
"EnVision-Research/DualCamCtrl","https://github.com/EnVision-Research/DualCamCtrl","diffsynth","8","340","Echo-Team-Joy-Future-Academy-JD/Echo-Memory; RedMediaTech/ODTSR; SkyworkAI/Matrix-3D; TIGER-AI-Lab/Context-Forcing; TUM-AVS/target-bench; Yaofang-Liu/Pusa-VidGen; kungfuai/CVlization; vita-epfl/Stable-Video-Infinity","vita-epfl/Stable-Video-Infinity; RedMediaTech/ODTSR","0","","0","likely","3","75","0","0","0","","[ECCV 2026] DualCamCtrl: Dual-Branch Diffusion Model for Geometry-Aware Camera-Controlled Video Generation"
"topoteretes/cognee","https://github.com/topoteretes/cognee","cognee","8","318","HUST-AI-HYZ/MemoryAgentBench; OpenNorve/CogniFold; SuperagenticAI/superqode; bonigarcia/context-engineering; deepset-ai/haystack-core-integrations; mnemosyne-oss/mnemosyne; nhadaututtheky/neural-memory; run-llama/llama_index","","1","","1","likely","4","26111","3193","24","15","litellm, openai, deepeval, langchain_aws, langchain_openai, mem0, anthropic, mistralai","Cognee is the open-source AI memory platform for agents. Give your AI agents persistent long-term memory across sessions with a self-hosted knowledge graph engine."
"RedMediaTech/ODTSR","https://github.com/RedMediaTech/ODTSR","diffsynth","8","200","Echo-Team-Joy-Future-Academy-JD/Echo-Memory; EnVision-Research/DualCamCtrl; SkyworkAI/Matrix-3D; TIGER-AI-Lab/Context-Forcing; TUM-AVS/target-bench; Yaofang-Liu/Pusa-VidGen; kungfuai/CVlization; vita-epfl/Stable-Video-Infinity","vita-epfl/Stable-Video-Infinity; EnVision-Research/DualCamCtrl","0","","0","likely","3","174","0","0","0","","[CVPR2026] ODTSR: This repo is the official implementation of ""One-Step Diffusion Transformer for Controllable Real-World Image Super-Resolution"""
"agentscope-ai/agentscope","https://github.com/agentscope-ai/agentscope","agentscope","8","60","Serverless-Devs/agentrun-sdk-python; af-74413592/DeepWerewolf; agentbay-ai/wuying-agentbay-sdk; agentscope-ai/agentscope-runtime; alibaba/loongsuite-python; braintrustdata/braintrust-sdk-python; massgen/MassGen; modelscope/ms-agent","","1","","1","likely","4","27300","1","8","8","openai, dashscope, mem0, ollama, anthropic","Build and run agents you can see, understand and trust."
"grll/mcpadapt","https://github.com/grll/mcpadapt","mcpadapt","8","20","MINDS-THU/HAMLET; OPPO-PersonalAI/Agent-KB; brightdata/brightdata-agent-showcase; cloudera/CAI_STUDIO_AGENT; datarobot-oss/datarobot-genai; femto/minion; jiangxxxue/KOCO-bench; linora-u/AgentLoom","","1","","1","strong","5","422","0","2","2","smolagents, crewai, langchain_core, langchain_anthropic, langgraph, langchain","Unlock 650+ MCP servers tools in your favorite agentic framework."
"seawaylee/tradingagent","https://github.com/seawaylee/tradingagent","tradingagents","7","712","BSTester/TradingAgentsWeb; IvanWng97/TradingAgents-Telegram; KylinMountain/TradingAgents-AShare; TNT-Likely/PanWatch; TauricResearch/TradingAgents; hsliuping/TradingAgents-CN; huygiatrng/AlpacaTradingAgent","hsliuping/TradingAgents-CN; TauricResearch/TradingAgents","1","","0","likely","4","12","86","16","14","langchain_core, langchain_openai, langgraph, langchain_anthropic, openai, langchain_google_genai",""
"TauricResearch/TradingAgents","https://github.com/TauricResearch/TradingAgents","tradingagents","7","682","BSTester/TradingAgentsWeb; IvanWng97/TradingAgents-Telegram; KylinMountain/TradingAgents-AShare; TNT-Likely/PanWatch; hsliuping/TradingAgents-CN; huygiatrng/AlpacaTradingAgent; seawaylee/tradingagent","hsliuping/TradingAgents-CN; seawaylee/tradingagent","1","","0","strong","5","90193","126","20","15","langchain_core, langgraph, langchain_openai, langchain_anthropic, langchain_aws, langchain_google_genai","TradingAgents: Multi-Agents LLM Financial Trading Framework"
"hsliuping/TradingAgents-CN","https://github.com/hsliuping/TradingAgents-CN","tradingagents","7","306","BSTester/TradingAgentsWeb; IvanWng97/TradingAgents-Telegram; KylinMountain/TradingAgents-AShare; TNT-Likely/PanWatch; TauricResearch/TradingAgents; huygiatrng/AlpacaTradingAgent; seawaylee/tradingagent","TauricResearch/TradingAgents; seawaylee/tradingagent","1","","0","likely","4","29346","305","82","66","langchain_core, langchain_openai, langchain_google_genai, langchain, langgraph, openai, dashscope, langchain_anthropic, langchain_community","基于多智能体LLM的中文金融交易框架 - TradingAgents中文增强版"
"NVIDIA-NeMo/Guardrails","https://github.com/NVIDIA-NeMo/Guardrails","nemoguardrails","7","20","Arvo-AI/aurora; NVIDIA-AI-Blueprints/aiq; NVIDIA/NeMo-Agent-Toolkit; datarobot-oss/datarobot-genai; datastax/ragstack-ai; red-hat-data-services/agentic-starter-kits; truera/trulens","","1","","1","strong","5","6587","3596","164","130","langchain_core, openai, langchain, langchain_community, langchain_nvidia_ai_endpoints, langchain_openai, cohere, langgraph","NeMo Guardrails is an open-source toolkit for easily adding programmable guardrails to LLM-based conversational systems."
"marimo-team/marimo","https://github.com/marimo-team/marimo","marimo","7","11","Health-Informatics-UoN/lettuce; KasarLabs/cairo-coder; MantisAI/sieves; gabrielmoreira/agent-skills-mirror; hongbo-miao/hongbomiao.com; lastmile-ai/mcp-agent; project-ryoma/ryoma","","1","","1","likely","4","21659","8470","12","11","pydantic_ai, openai, anthropic, langchain, groq","A reactive notebook for Python — run reproducible experiments, query with SQL, execute as a script, deploy as an app, and version with git. Stored as pure Python. All in a modern, AI-native editor."
"Pylons/pyramid","https://github.com/Pylons/pyramid","pyramid","6","137","DataDog/dd-trace-py; Kotti/Kotti; ProzorroUKR/openprocurement.api; Vocab-Apps/anki-hyper-tts; alibaba/loongsuite-python; getsentry/sentry-python","","1","","1","strong","5","4086","0","0","0","","Pyramid - A Python web framework"
"DataDog/dd-trace-py","https://github.com/DataDog/dd-trace-py","ddtrace","6","16","BerriAI/litellm; aws-solutions-library-samples/guidance-for-no-code-multi-agent-ai-orchestration-on-aws; binrogithub/1-3-Cloud-Adoption-Skills; deepset-ai/haystack-core-integrations; dimagi/commcare-hq; rand/cc-polymath","","1","","1","likely","4","642","386","414","396","openai, anthropic, langchain_core, litellm, vertexai, langgraph, langchain, agents, pydantic_ai, langchain_openai, crewai, mistralai, deepeval, langchain_community, langchain_anthropic, langchain_google_genai, ragas, langchain_cohere","Datadog Python APM Client"
"uni-medical/SlideChat","https://github.com/uni-medical/SlideChat","xtuner","5","1418","InternLM/xtuner; InternScience/SciEvalKit; SmartFlowAI/EmoLLM; SocialAI-tianji/Tianji; wenhaochai/aurora","InternLM/xtuner","0","uncovered","0","likely","3","122","0","0","0","lagent","SlideChat: A Large Vision-Language Assistant for Whole-Slide Pathology Image Understanding"
"InternLM/xtuner","https://github.com/InternLM/xtuner","xtuner","5","440","InternScience/SciEvalKit; SmartFlowAI/EmoLLM; SocialAI-tianji/Tianji; uni-medical/SlideChat; wenhaochai/aurora","uni-medical/SlideChat","1","uncovered","0","likely","4","5153","0","0","0","lagent","A Next-Generation Training Engine Built for Ultra-Large MoE Models"
"af-74413592/DeepWerewolf","https://github.com/af-74413592/DeepWerewolf","agentlightning","5","175","ericjiang18/Agent-Q-Mix; microsoft/agent-governance-toolkit; microsoft/agent-lightning; modbender/skill-library-mcp; volcengine/veadk-python","microsoft/agent-lightning","0","","0","likely","3","72","2","24","17","agentops, openai, litellm, autogen_ext, autogen_agentchat, agents, langgraph, langchain_community, langchain, langchain_core, autogen_core, langchain_openai",""
"microsoft/agent-lightning","https://github.com/microsoft/agent-lightning","agentlightning","5","28","af-74413592/DeepWerewolf; ericjiang18/Agent-Q-Mix; microsoft/agent-governance-toolkit; modbender/skill-library-mcp; volcengine/veadk-python","af-74413592/DeepWerewolf","1","","0","likely","4","17360","17","75","61","openai, agentops, litellm, langchain_core, autogen_core, autogen_agentchat, autogen_ext, langgraph, langchain, agents, crewai, langchain_community, anthropic, langchain_openai","The absolute trainer to light up AI agents."
"MemoriLabs/Memori","https://github.com/MemoriLabs/Memori","memori","5","18","Arindam200/awesome-ai-apps; agno-agi_agno; modbender/skill-library-mcp; shibing624/agentica; swarm-ai-research/swarm","","1","","1","likely","4","15495","222","278","236","openai, agno, langchain_core, anthropic, langchain_google_genai, langchain_aws, langchain_openai, litellm, langchain_community, langchain_google_vertexai","Memori is agent-native memory infrastructure. A LLM-agnostic layer that turns agent execution and conversation into structured, persistent state for production systems."
"StonyBrookNLP/appworld","https://github.com/StonyBrookNLP/appworld","appworld","5","9","Osilly/Vision-DeepResearch; Purewhiter/mobilegym; Trampoline-AI/predict-rlm; agentscope-ai/agentscope-runtime; jmanhype/claude-code-plugin-marketplace","","1","","1","likely","4","446","0","2","2","openai, smolagents, litellm, agents, together","🌍 AppWorld: A Controllable World of Apps and People for Benchmarking Function Calling and Interactive Coding Agent, ACL'24 Best Resource Paper."
"Scale3-Labs/langtrace-python-sdk","https://github.com/Scale3-Labs/langtrace-python-sdk","langtrace_python_sdk","5","8","AgentToolkit/agent-mentor; MervinPraison/PraisonAI-Tools; agno-agi_agno; itbench-hub/ITBench-CISO-CAA-Agent; rungalileo/sdk-examples","","1","","1","strong","5","45","3","45","39","openai, langchain_openai, crewai, cohere, dspy, langchain_core, langchain, agents, langchain_anthropic, langchain_community, langgraph, mistralai, anthropic, langchain_ollama, langchain_cohere, groq, autogen, langchain_aws, langchain_google_genai, litellm, ollama, vertexai","Langtrace SDK for Python Applications"
"singlestore-labs/singlestoredb-python","https://github.com/singlestore-labs/singlestoredb-python","singlestoredb","5","7","EpicStaff/EpicStaff; KruxAI/ragbuilder; The-Swarm-Corporation/swarms-memory; multimindlab/multimind-sdk; run-llama/llama_index","","1","","1","strong","5","36","0","0","0","langchain_openai, langchain_aws","Python SDK for the SingleStore database and workspace management APIs"
"langchain-ai/langgraph-swarm-py","https://github.com/langchain-ai/langgraph-swarm-py","langgraph_swarm","5","6","LangConfig/langconfig; ababdotai/awesome-agent-quickstart; femto/minion-agent; gtesei/agentic_design_patterns; oracle/agent-spec","","1","","1","likely","4","1532","2","4","2","langchain, langchain_core, langgraph, langchain_openai","For your multi-agent needs"
"uriyyo/fastapi-pagination","https://github.com/uriyyo/fastapi-pagination","fastapi_pagination","4","35","THUIR/MemoryBench; koldakov/futuramaapi; langflow-ai/langflow; vibesurf-ai/VibeSurf","","1","","1","likely","4","1670","0","0","0","","FastAPI pagination 📖"
"hinthornw/trustcall","https://github.com/hinthornw/trustcall","trustcall","3","6","langflow-ai/langflow; vibesurf-ai/VibeSurf; zjunlp/LightMem","","1","","1","likely","4","1075","9","13","11","langchain_core, langgraph, langchain_openai, langchain","Tenacious tool calling built on LangGraph"
