"full_name","html_url","clone_url","default_branch","description","matched_frameworks","stars","forks","language","topics","open_issues","size_kb","created_at","updated_at","pushed_at","license","lifetime_days","contributors","total_commits","commits_per_month","real_ai_app","analyzed","reason"
"avibe-bot/avibe","https://github.com/avibe-bot/avibe","https://github.com/avibe-bot/avibe.git","master","The local-first Agent OS — your AI partner lives on your own machine. Drive the official Claude Code, Codex & OpenCode from your browser or any chat app.","clai","478","68","Python","agent,agent-os,ai,ai-agents,chatops,claude,claude-code,codex,devtools,discord-bot,lark-bot,llm,local-first,opencode,slack-bot,vibe-coding,wechat","11","61962","2025-08-09T14:04:57Z","2026-06-29T13:57:19Z","2026-06-29T16:25:40Z","MIT","324","14","2273","210.46","0","0","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"future-agi/future-agi","https://github.com/future-agi/future-agi","https://github.com/future-agi/future-agi.git","main","Open-source, end-to-end platform for evaluating, observing, and improving LLM and AI agent applications. Tracing · Evals · Simulations · Datasets · Gateway · Guardrails. Self-hostable. Apache 2.0.","smolagents","1255","291","Python","ai,ai-gateway,evals,llm,observability,simulation","350","109470","2026-04-23T14:11:31Z","2026-06-29T16:01:12Z","2026-06-29T15:14:18Z","Apache-2.0","67","35","1268","567.76","1","1","pyan produced no usable graph (cg_source=none, 18 direct invokers, 0 transitive)"
"rush86999/atom","https://github.com/rush86999/atom","https://github.com/rush86999/atom.git","main","Atom Agent, Open-Source AI Agent Platform for Self-Hosted Automation","graphrag","773","79","Python","agentic-workflow,ai,ai-agent,calendar,finance,gdrive,gmail,google-calendar,notion,productivity,scheduler,shopify,slack,tasks,zoho,zoom","0","628195","2023-01-22T15:55:04Z","2026-06-29T13:16:29Z","2026-06-29T13:15:34Z","AGPL-3.0","1253","9","8941","214.07","1","1","pyan produced no usable graph (cg_source=none, 7 direct invokers, 0 transitive)"
"Alex8791-cyber/cognithor","https://github.com/Alex8791-cyber/cognithor","https://github.com/Alex8791-cyber/cognithor.git","main","Cognithor · Agent OS: Local-first autonomous agent operating system. 19 LLM providers, 18 channels, 145 MCP tools, 6-tier memory, Agent Packs marketplace, zero telemetry. Python 3.12+, Apache 2.0.","autogen_agentchat, autogen_ext","150","22","Python","agent-os,ai-agent,anthropic,autonomous-agent,discord-bot,document-analysis,gdpr-compliant,gemini,hierarchical-retrieval,knowledge-graph,knowledge-synthesis,knowledge-vault,llm,local-first,mcp,multi-llm,obsidian,ollama,openai,telegram-bot","3","64125","2026-02-25T01:24:40Z","2026-06-28T20:55:02Z","2026-06-29T10:38:58Z","Apache-2.0","124","4","2034","492.1","1","1","pyan produced no usable graph (cg_source=none, 1 direct invokers, 0 transitive)"
"getsentry/sentry","https://github.com/getsentry/sentry","https://github.com/getsentry/sentry.git","master","Developer-first error tracking and performance monitoring","camel, honcho","44190","4728","Python","apm,crash-reporting,crash-reports,csp-report,devops,django,error-logging,error-monitoring,fair-source,hacktoberfest,monitor,monitoring,python,sentry,tag-production","2093","901573","2010-08-30T22:06:41Z","2026-06-29T16:15:52Z","2026-06-29T16:31:26Z","NOASSERTION","5781","1060","106362","551.96","1","1","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"apache/airflow","https://github.com/apache/airflow","https://github.com/apache/airflow.git","main","Apache Airflow - A platform to programmatically author, schedule, and monitor workflows","langchain, langchain_text_splitters","45969","17307","Python","airflow,apache,apache-airflow,automation,dag,data-engineering,data-integration,data-orchestrator,data-pipelines,data-science,elt,etl,machine-learning,mlops,orchestration,python,scheduler,workflow,workflow-engine,workflow-orchestration","1696","649162","2015-04-13T18:04:58Z","2026-06-29T16:28:45Z","2026-06-29T16:28:34Z","Apache-2.0","4094","4464","39442","289.02","1","1","pyan produced no usable graph (cg_source=none, 19 direct invokers, 0 transitive)"
"shellphish/artiphishell","https://github.com/shellphish/artiphishell","https://github.com/shellphish/artiphishell.git","main","","langchain_anthropic, langchain_core, langchain_openai","138","29","Python","","2","358611","2025-07-28T04:43:55Z","2026-05-29T14:18:45Z","2025-08-27T19:52:54Z","MIT","30","2","6","6.0","1","1","pyan produced no usable graph (cg_source=none, 19 direct invokers, 0 transitive)"
"microsoft/agent-governance-toolkit","https://github.com/microsoft/agent-governance-toolkit","https://github.com/microsoft/agent-governance-toolkit.git","main","AI Agent Governance Toolkit — Policy enforcement, zero-trust identity, execution sandboxing, and reliability engineering for autonomous AI agents. Covers 10/10 OWASP Agentic Top 10.","agent_framework, agentops, autogen_ext, haystack, pydantic_ai, smolagents","4547","653","Python","agent-framework,ai-agents,ai-safety,compliance,governance,microsoft,owasp,policy-engine,python,security,trust,zero-trust","62","41169","2026-03-02T22:11:47Z","2026-06-29T16:05:51Z","2026-06-29T10:44:47Z","MIT","118","116","2184","555.25","1","1","pyan produced no usable graph (cg_source=none, 52 direct invokers, 0 transitive)"
"microsoft/Sico","https://github.com/microsoft/Sico","https://github.com/microsoft/Sico.git","main","An open-source Digital Worker platform for reliable execution and continuous co-evolution.","agent_framework","44","3","Python","agent-evolution,agent-framework,agent-management,agent-orchestration,agent-platform,ai-agent,bpo,co-evolution,digital-worker,enterprise-agents,human-in-the-loop,llm,production-ai","9","30930","2026-03-09T13:44:18Z","2026-06-25T07:06:59Z","2026-06-19T23:57:18Z","MIT","102","8","34","10.0","1","1","pyan produced no usable graph (cg_source=none, 3 direct invokers, 0 transitive)"
"Significant-Gravitas/AutoGPT","https://github.com/Significant-Gravitas/AutoGPT","https://github.com/Significant-Gravitas/AutoGPT.git","master","AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.","agent_protocol","185209","46122","Python","agentic-ai,agents,ai,artificial-intelligence,autonomous-agents,claude,gpt,llama-api,llm,openai,python","456","624713","2023-03-16T09:21:07Z","2026-06-29T17:31:15Z","2026-06-29T17:40:04Z","NOASSERTION","1201","827","8739","218.29","1","0","pyan produced no usable graph (cg_source=none, 21 direct invokers, 0 transitive)"
"Skyvern-AI/skyvern","https://github.com/Skyvern-AI/skyvern","https://github.com/Skyvern-AI/skyvern.git","main","Automate browser based workflows with AI","agent_protocol","22035","2059","Python","ai,api,automation,browser,browser-automation,computer,gpt,llm,playwright,powerautomate,puppeteer,python,rpa,selenium,vision,workflow","177","575825","2024-02-28T15:45:19Z","2026-06-29T17:32:36Z","2026-06-29T17:32:33Z","AGPL-3.0","852","89","5578","196.41","1","0","pyan produced no usable graph (cg_source=none, 6 direct invokers, 0 transitive)"
"Checkmk/checkmk","https://github.com/Checkmk/checkmk","https://github.com/Checkmk/checkmk.git","master","Checkmk - Best-in-class infrastructure & application monitoring","agent_protocol","2301","542","Python","monitoring","43","6402467","2019-02-20T12:29:54Z","2026-06-29T16:59:46Z","2026-06-29T16:59:40Z","GPL-2.0","2686","409","105085","1173.7","1","0","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"run-llama/llama_index","https://github.com/run-llama/llama_index","https://github.com/run-llama/llama_index.git","main","LlamaIndex is the leading document agent and OCR platform","agentops, langchain","50504","7651","Python","agents,application,data,fine-tuning,framework,llamaindex,llm,multi-agents,rag,vector-database","524","470816","2022-11-02T04:24:54Z","2026-06-29T17:34:31Z","2026-06-26T14:23:35Z","MIT","1332","1963","7855","176.91","1","1","pyan produced no usable graph (cg_source=none, 28 direct invokers, 0 transitive)"
"EpicStaff/EpicStaff","https://github.com/EpicStaff/EpicStaff","https://github.com/EpicStaff/EpicStaff.git","main","Source-available, self-hosted platform for building AI agent flows - visual editor over a Django backend.","agentops, crewai, crewai_tools, graphrag, langchain_groq, langchain_mistralai, mem0","265","41","Python","ade,ai,aiagents,aiagentsframework,gui,low-code,multi-agent-systems,no-code,nodebasedprogramming,orchestration,python","30","223443","2025-03-20T12:10:00Z","2026-06-28T15:18:22Z","2026-06-29T15:24:51Z","NOASSERTION","466","32","4507","290.15","1","1","pyan produced no usable graph (cg_source=none, 236 direct invokers, 0 transitive)"
"techloset/agentic-ai","https://github.com/techloset/agentic-ai","https://github.com/techloset/agentic-ai.git","master","Cloud-Native Applied AI Agentic Developer","crewai","53","35","Python","","2","17384","2024-08-25T08:22:27Z","2026-06-24T21:46:08Z","2026-06-24T21:46:03Z","","668","4","126","5.66","1","1","pyan produced no usable graph (cg_source=none, 50 direct invokers, 0 transitive)"
"modbender/skill-library-mcp","https://github.com/modbender/skill-library-mcp","https://github.com/modbender/skill-library-mcp.git","main","An MCP server that provides on-demand skill loading for AI coding assistants.","honcho, langgraph","10","3","Python","","3","176310","2026-02-14T08:11:50Z","2026-06-24T18:47:07Z","2026-06-16T12:58:45Z","MIT","122","2","46","11.31","1","1","pyan produced no usable graph (cg_source=none, 85 direct invokers, 0 transitive)"
"Azure/azure-sdk-for-python","https://github.com/Azure/azure-sdk-for-python","https://github.com/Azure/azure-sdk-for-python.git","main","This repository is for active development of the Azure SDK for Python. For consumers of the SDK we recommend visiting our public developer docs at https://learn.microsoft.com/python/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-python. ","camel","5568","3315","Python","azure,azure-sdk,hacktoberfest,python","1179","983645","2012-04-24T16:46:12Z","2026-06-29T18:25:34Z","2026-06-29T18:43:08Z","MIT","5179","941","22830","132.25","1","1","pyan produced no usable graph (cg_source=none, 331 direct invokers, 0 transitive)"
"benseverndev-oss/goldenmatch","https://github.com/benseverndev-oss/goldenmatch","https://github.com/benseverndev-oss/goldenmatch.git","main","Zero-config entity resolution & record linkage. The zero-tuning Fellegi-Sunter path beats hand-tuned Splink head-to-head and scales from a CSV to a verified 100M-row dedupe in 9.2 min. Fuzzy/exact/probabilistic + PPRL + LLM + identity graph. Python + edge-safe TypeScript (WASM), SQL-native in Postgres & DuckDB, MCP/REST + dbt/Airflow.","headroom","119","12","Python","data-cleaning,data-engineering,data-matching,data-quality,deduplication,entity-resolution,fellegi-sunter,fuzzy-matching,knowledge-graph,llm,master-data-management,mcp-server,polars,pprl,python,record-linkage,rust,splink,typescript,zero-config","45","78677","2026-03-16T20:13:08Z","2026-06-29T13:21:00Z","2026-06-29T17:56:12Z","MIT","104","4","1867","538.56","1","0","pyan produced no usable graph (cg_source=none, 15 direct invokers, 0 transitive)"
"snowsky/yourfinanceworks","https://github.com/snowsky/yourfinanceworks","https://github.com/snowsky/yourfinanceworks.git","main","self-hosted finance books for developers and small businesses","langchain_anthropic","13","3","Python","ai,finance-management,investment,llm,personal-finance,self-hosted","4","19481","2025-06-14T22:21:15Z","2026-06-29T16:26:06Z","2026-06-29T16:26:04Z","NOASSERTION","379","4","1027","81.29","1","1","pyan produced no usable graph (cg_source=none, 5 direct invokers, 0 transitive)"
"erfanzar/Xerxes-Agents","https://github.com/erfanzar/Xerxes-Agents","https://github.com/erfanzar/Xerxes-Agents.git","main","Agents for intelligence and coordination","honcho","24","1","Python","easydel","0","21592","2024-01-15T18:16:16Z","2026-06-27T19:35:19Z","2026-06-27T19:35:15Z","Apache-2.0","894","2","226","7.58","1","0","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"mindroom-ai/mindroom","https://github.com/mindroom-ai/mindroom","https://github.com/mindroom-ai/mindroom.git","main","Your AI is trapped in apps. We set it free.","agno, mem0","37","5","Python","","44","25609","2026-01-19T23:06:18Z","2026-06-29T06:38:48Z","2026-06-29T06:39:06Z","Apache-2.0","160","3","3881","727.69","1","1","pyan produced no usable graph (cg_source=none, 30 direct invokers, 0 transitive)"
"Sumanth077/Hands-On-AI-Engineering","https://github.com/Sumanth077/Hands-On-AI-Engineering","https://github.com/Sumanth077/Hands-On-AI-Engineering.git","main","A curated collection of practical AI projects implementing OCR systems, RAG, AI agents, and other AI use cases.","agno, crewai, haystack, smolagents","2538","681","Python","agents,ai,ai-agents,ai-engineering,generative-ai,llms,mcp,ocr,python,rag","6","186971","2025-02-24T19:15:35Z","2026-06-29T16:41:07Z","2026-06-29T00:20:13Z","","489","9","541","33.19","1","1","pyan produced no usable graph (cg_source=none, 42 direct invokers, 0 transitive)"
"sunnypilot/sunnypilot","https://github.com/sunnypilot/sunnypilot","https://github.com/sunnypilot/sunnypilot.git","master","sunnypilot is an open source driver assistance system. sunnypilot offers the user a unique driving experience for over 350 supported car makes and models with modified behaviors of driving assist engagements. sunnypilot complies with the safety policy from comma.ai's openpilot as accurately as possible.","agno","1997","1385","Python","acura,audi,autopilot,chrysler,comma,fsd,genesis,honda,hyundai,jeep,kia,lexus,mazda,nissan,openpilot,ram,selfdriving,tesla,toyota,volkswagen","82","4027249","2021-07-23T21:28:21Z","2026-06-29T02:56:21Z","2026-06-29T16:56:44Z","MIT","1801","745","18172","302.7","1","1","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"BluePilotDev/bluepilot","https://github.com/BluePilotDev/bluepilot","https://github.com/BluePilotDev/bluepilot.git","bp-dev","","agno","124","69","Python","","9","1866231","2024-05-09T01:20:27Z","2026-06-29T04:55:04Z","2026-06-27T21:22:53Z","MIT","779","753","18539","713.95","1","1","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"AdventurePilotDev/AdventurePilot","https://github.com/AdventurePilotDev/AdventurePilot","https://github.com/AdventurePilotDev/AdventurePilot.git","dev","","agno","13","9","Python","","1","378969","2026-03-20T17:07:32Z","2026-06-29T13:19:31Z","2026-06-29T13:17:24Z","MIT","100","749","18245","5473.5","1","1","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"braintrustdata/braintrust-sdk-python","https://github.com/braintrustdata/braintrust-sdk-python","https://github.com/braintrustdata/braintrust-sdk-python.git","main","Python Tracing & Evals library for Braintrust","agno, crewai, dspy, langchain_openai, pydantic_ai","14","10","Python","","59","54557","2026-02-20T16:37:47Z","2026-06-29T15:24:44Z","2026-06-29T16:46:26Z","Apache-2.0","129","67","1604","373.02","1","1","pyan produced no usable graph (cg_source=none, 153 direct invokers, 0 transitive)"
"hepai-lab/hepai","https://github.com/hepai-lab/hepai","https://github.com/hepai-lab/hepai.git","main","This is High energy AI Framework (HAI) for models, datasets and applications","autogen_agentchat, autogen_ext","11","2","Python","ai,hep,high-energy-physics,machine-learning","1","9199","2023-10-24T10:56:40Z","2026-05-12T10:59:00Z","2025-09-08T18:08:28Z","","685","6","264","11.56","1","1","pyan produced no usable graph (cg_source=none, 35 direct invokers, 0 transitive)"
"PostHog/posthog","https://github.com/PostHog/posthog","https://github.com/PostHog/posthog.git","master","🦔 PostHog is an all-in-one developer platform for building successful products. We offer product analytics, web analytics, session replay, error tracking, feature flags, experimentation, surveys, data warehouse, a CDP, and an AI product assistant to help debug your code, ship features faster, and keep all your usage and customer data in one stack.","langchain_core","35226","2905","Python","ab-testing,ai-analytics,analytics,cdp,data-warehouse,experiments,feature-flags,javascript,product-analytics,python,react,session-replay,surveys,typescript,web-analytics","4005","5418130","2020-01-23T22:46:58Z","2026-06-29T19:56:50Z","2026-06-29T19:57:41Z","NOASSERTION","2348","524","48890","624.66","1","1","pyan produced no usable graph (cg_source=none, 347 direct invokers, 0 transitive)"
"4teamwork/opengever.core","https://github.com/4teamwork/opengever.core","https://github.com/4teamwork/opengever.core.git","master","OneGov GEVER core package","patchwork","12","5","Python","","73","131574","2013-05-01T08:28:16Z","2026-06-12T07:51:24Z","2026-06-23T13:15:34Z","","4801","70","27834","173.93","1","0","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"globocom/GloboNetworkAPI","https://github.com/globocom/GloboNetworkAPI","https://github.com/globocom/GloboNetworkAPI.git","master","API to automate IP Networking management, resource allocation and provisioning.","notte","87","69","Python","automation,cloud,datacenter,dcim,ipam,network-programming,network-topology,provisioning","44","8460","2014-08-07T19:47:43Z","2026-06-17T15:13:13Z","2026-06-25T18:04:57Z","Apache-2.0","4339","70","4179","28.89","1","1","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"aiteachme/AITeachMe","https://github.com/aiteachme/AITeachMe","https://github.com/aiteachme/AITeachMe.git","main","","langgraph","26","0","Python","","0","40064","2026-03-10T14:49:34Z","2026-06-29T03:37:59Z","2026-06-29T03:37:55Z","AGPL-3.0","110","6","2017","550.09","1","1","pyan produced no usable graph (cg_source=none, 1 direct invokers, 0 transitive)"
"basicmachines-co/basic-memory","https://github.com/basicmachines-co/basic-memory","https://github.com/basicmachines-co/basic-memory.git","main","AI conversations that actually remember. Never re-explain your project to your AI again. Join our Discord: https://discord.gg/tyvKNccgqN","mem0","3334","220","Python","ai,claude,knowledge-management,knowlege-graph,llm,local-first,markdown,mcp,obsidian,obsidian-md,open-source,privacy-first,privacy-first-ai,productivity,python","92","47788","2024-12-02T22:40:43Z","2026-06-29T16:36:42Z","2026-06-29T04:53:30Z","AGPL-3.0","573","28","1487","77.85","1","1","pyan produced no usable graph (cg_source=none, 2 direct invokers, 0 transitive)"
"siddsachar/row-bot","https://github.com/siddsachar/row-bot","https://github.com/siddsachar/row-bot.git","main","Row-Bot - Personal AI Sovereignty. A local-first AI assistant with integrated tools, a personal knowledge graph, voice, vision, shell, browser automation, scheduled tasks, health tracking, and messaging channels. Run locally via Ollama or add opt-in cloud models. Your data stays on your machine.","langchain_core, langchain_ollama, langchain_openrouter, langchain_xai","1316","156","Python","ai-assistant,langchain,langchain-python,local-llm,ollama,privacy,react-agent,sovereign-ai","20","77134","2026-03-06T19:50:36Z","2026-06-29T20:44:28Z","2026-06-29T17:47:15Z","Apache-2.0","114","6","349","91.84","1","1","pyan produced no usable graph (cg_source=none, 123 direct invokers, 0 transitive)"
"LearningCircuit/local-deep-research","https://github.com/LearningCircuit/local-deep-research","https://github.com/LearningCircuit/local-deep-research.git","main"," ~95% on SimpleQA (e.g. Qwen3.6-27B on a 3090). Supports all local and cloud LLMs (llama.cpp, Ollama, Google, ...). 10+ search engines - arXiv, PubMed, your private documents. Everything Local & Encrypted.","langchain_core, langchain_text_splitters","8617","758","Python","academia,anthropic,arxiv,brave,deep-research,encryption,home-automation,homeserver,local,local-deep-research,local-llm,mistral,ollama,openai,pubmed,research,research-tool,retrieval-augmented-generation,searxng,self-hosted","273","60490","2025-02-09T15:41:32Z","2026-06-29T21:53:40Z","2026-06-29T21:55:41Z","MIT","505","59","7156","425.11","1","1","pyan produced no usable graph (cg_source=none, 104 direct invokers, 0 transitive)"
"xt765/LangChain-Chinese-Comment","https://github.com/xt765/LangChain-Chinese-Comment","https://github.com/xt765/LangChain-Chinese-Comment.git","master","本项目是一个专为中文开发者打造的 LangChain 框架源码注释与文档库。LangChain 作为业界领先的大语言模型（LLM）应用开发框架，其架构设计精妙、功能丰富，但源码复杂度较高。本项目通过系统性地整理核心模块的中文注释，帮助开发者深入理解 LangChain 的实现原理、设计思想及最佳实践。","langchain_anthropic, langchain_chroma, langchain_classic, langchain_core, langchain_deepseek, langchain_exa, langchain_fireworks, langchain_groq, langchain_huggingface, langchain_mistralai, langchain_model_profiles, langchain_nomic, langchain_ollama, langchain_perplexity, langchain_qdrant, langchain_tests, langchain_xai","18","6","Python","ai,ai-agent,ai-agents,ai-assistant,china,china-access,chinese,chinese-translation,comments,deepagent,langchain,langchain-python,langgraph","0","15544","2026-02-01T14:46:13Z","2026-05-20T05:03:07Z","2026-03-06T06:32:50Z","MIT","32","2","11","10.31","1","1","pyan produced no usable graph (cg_source=none, 1282 direct invokers, 0 transitive)"
"Renyus/astrbot_plugin_self_evolution","https://github.com/Renyus/astrbot_plugin_self_evolution","https://github.com/Renyus/astrbot_plugin_self_evolution.git","master","A self-evolution plugin for AstrBot that enables persona evolution, long-term memory, and meta-programming.","astrbot","70","7","Python","","7","1603","2026-03-06T13:07:59Z","2026-06-28T10:44:44Z","2026-05-06T11:39:15Z","NOASSERTION","60","3","838","419.0","1","1","pyan produced no usable graph (cg_source=none, 7 direct invokers, 0 transitive)"
"drussell23/JARVIS","https://github.com/drussell23/JARVIS","https://github.com/drussell23/JARVIS.git","main","Trinity AGI OS -- Autonomous self-evolving AI operating system. Ouroboros + Venom proactive self-development engine, 19 sensors, 11-phase governance pipeline, Trinity consciousness, VLA vision pipeline, voice biometric auth. The organism develops itself.","metagpt","19","4","Python","agi,asyncio,autonomous-agents,governance,macos,ouroboros,python,rsi,self-development,self-evolving,trinity,vision-language-action,voice-biometric","28","272818","2025-08-13T18:15:43Z","2026-06-29T23:44:06Z","2026-06-29T23:44:04Z","","320","4","9017","845.34","1","0","pyan produced no usable graph (cg_source=none, 81 direct invokers, 0 transitive)"
"solpbc/solstone-journal","https://github.com/solpbc/solstone-journal","https://github.com/solpbc/solstone-journal.git","main","Navigate Life Intelligently","headroom","14","7","Python","","1","62764","2025-05-26T02:31:17Z","2026-06-29T22:02:53Z","2026-06-29T22:02:49Z","AGPL-3.0","399","3","5765","433.46","1","0","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"jiangxxxue/KOCO-bench","https://github.com/jiangxxxue/KOCO-bench","https://github.com/jiangxxxue/KOCO-bench.git","main","","langchain_deepseek, smolagents","12","3","Python","","2","333681","2025-12-30T01:07:28Z","2026-04-23T15:51:36Z","2026-04-03T08:02:46Z","","94","6","30","9.57","1","1","pyan produced no usable graph (cg_source=none, 309 direct invokers, 0 transitive)"
"DataDog/dd-trace-py","https://github.com/DataDog/dd-trace-py","https://github.com/DataDog/dd-trace-py.git","main","Datadog Python APM Client","crewai, langchain, langchain_anthropic, langchain_core, langgraph, pydantic_ai","642","517","Python","apm,ci,datadog,debugging,error-monitoring,observability,profiling,python,security,tracing","289","199474","2016-06-20T18:52:23Z","2026-06-29T21:42:55Z","2026-06-30T03:32:14Z","NOASSERTION","3661","400","12140","99.48","1","1","pyan produced no usable graph (cg_source=none, 396 direct invokers, 0 transitive)"
